scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,ci95_low,ci95_high,ci_method
frequent_break,delay_only,delivery_ratio,20,1,20,0.1484375,0.04610726057075156,0.1296875,0.16796874999999997,hierarchical_bootstrap_5000
frequent_break,delay_only,drop_rate,20,1,20,0.36796875000000007,0.08413938227531179,0.33384765625,0.40546875,hierarchical_bootstrap_5000
frequent_break,delay_only,throughput_packets_per_slot,20,1,20,0.9500000000000002,0.29508646765281,0.8266666666666665,1.0766666666666667,hierarchical_bootstrap_5000
frequent_break,delay_only,average_delay_slots,20,1,20,7.726565386768961,1.4863767185849062,7.039083798051712,8.311527275525487,hierarchical_bootstrap_5000
frequent_break,delay_only,p95_delay_slots,20,1,20,17.15,3.688067529921755,15.567437499999999,18.712562499999997,hierarchical_bootstrap_5000
frequent_break,delay_only,mean_queue_packets,20,1,20,2.5113888888888893,0.3850018775850185,2.3518645833333336,2.675003472222222,hierarchical_bootstrap_5000
frequent_break,delay_only,routing_switches,20,1,20,125.5,16.77560886023452,118.15,132.65,hierarchical_bootstrap_5000
frequent_break,delay_only,episode_reward,20,1,20,-27.133975491644986,3.0706067485646718,-28.411612020391267,-25.85799425972356,hierarchical_bootstrap_5000
frequent_break,delay_only,global_delay_cost,20,1,20,0.31548424155868665,0.03591993660467875,0.29949917674545035,0.3303255605490529,hierarchical_bootstrap_5000
frequent_break,delay_only,global_queue_cost,20,1,20,0.05830401234567902,0.009040842082468206,0.05445922067901234,0.06210991512345678,hierarchical_bootstrap_5000
frequent_break,delay_only,global_load_imbalance,20,1,20,0.6981935716855986,0.021404131816115026,0.6889719219281973,0.7074159319505026,hierarchical_bootstrap_5000
frequent_break,delay_only,global_switch_cost,20,1,20,0.21631904421967857,0.02323843257033295,0.20618673021448547,0.22578830007232992,hierarchical_bootstrap_5000
frequent_break,delay_only,global_throughput_reward,20,1,20,0.05084331670838098,0.014500347308574319,0.04460572019632732,0.05681292666130693,hierarchical_bootstrap_5000
frequent_break,delay_only,global_control_overhead_ratio,20,1,20,0.049144348448042205,0.003940659525465298,0.047497161194911215,0.05091507474924862,hierarchical_bootstrap_5000
frequent_break,delay_only,global_drop_cost,20,1,20,0.12337500108574613,0.03296704543193043,0.10967266661219477,0.13798807888688447,hierarchical_bootstrap_5000
frequent_break,full_heuristic,delivery_ratio,20,1,20,0.2830729166666667,0.07121837668361188,0.25338541666666664,0.31354817708333327,hierarchical_bootstrap_5000
frequent_break,full_heuristic,drop_rate,20,1,20,0.2984375,0.08744809707487948,0.26093750000000004,0.33542317708333325,hierarchical_bootstrap_5000
frequent_break,full_heuristic,throughput_packets_per_slot,20,1,20,1.8116666666666663,0.45579761077511594,1.6166666666666671,2.003333333333333,hierarchical_bootstrap_5000
frequent_break,full_heuristic,average_delay_slots,20,1,20,7.55878617613873,0.8564441917151158,7.177497593693449,7.913466456876683,hierarchical_bootstrap_5000
frequent_break,full_heuristic,p95_delay_slots,20,1,20,15.987499999999997,2.553422625666023,14.924999999999997,17.09262499999999,hierarchical_bootstrap_5000
frequent_break,full_heuristic,mean_queue_packets,20,1,20,2.136736111111111,0.33551082002783533,1.9864444444444442,2.275487847222222,hierarchical_bootstrap_5000
frequent_break,full_heuristic,routing_switches,20,1,20,63.3,18.539005821297575,55.05,70.7,hierarchical_bootstrap_5000
frequent_break,full_heuristic,episode_reward,20,1,20,-20.615843678878615,3.531326078463216,-22.06127932989812,-19.13391169879326,hierarchical_bootstrap_5000
frequent_break,full_heuristic,global_delay_cost,20,1,20,0.26926812207152123,0.03351595916977956,0.2550983345854827,0.28457160257081004,hierarchical_bootstrap_5000
frequent_break,full_heuristic,global_queue_cost,20,1,20,0.04959259259259259,0.007936112055268793,0.04622067901234568,0.05286435185185186,hierarchical_bootstrap_5000
frequent_break,full_heuristic,global_load_imbalance,20,1,20,0.6945409603932181,0.020256824964062337,0.685672309732678,0.7033492062387546,hierarchical_bootstrap_5000
frequent_break,full_heuristic,global_switch_cost,20,1,20,0.11010913071824702,0.03173752697036988,0.09592316298462167,0.12351077541064605,hierarchical_bootstrap_5000
frequent_break,full_heuristic,global_throughput_reward,20,1,20,0.09890102633540512,0.024897742428185803,0.08813125023799723,0.10936575117657277,hierarchical_bootstrap_5000
frequent_break,full_heuristic,global_control_overhead_ratio,20,1,20,0.04961292833585569,0.003785896567868279,0.04808353154690435,0.05131926221855978,hierarchical_bootstrap_5000
frequent_break,full_heuristic,global_drop_cost,20,1,20,0.10090052332366237,0.03323238365886822,0.08706855876526488,0.11530268914532905,hierarchical_bootstrap_5000
frequent_break,global_dijkstra,delivery_ratio,20,1,20,0.4447916666666666,0.09045437911064559,0.40703125,0.4828124999999999,hierarchical_bootstrap_5000
frequent_break,global_dijkstra,drop_rate,20,1,20,0.2052083333333333,0.07731487864910812,0.1739583333333333,0.2390625,hierarchical_bootstrap_5000
frequent_break,global_dijkstra,throughput_packets_per_slot,20,1,20,2.8466666666666667,0.5789080263081318,2.5983333333333336,3.085,hierarchical_bootstrap_5000
frequent_break,global_dijkstra,average_delay_slots,20,1,20,7.397061341123494,0.7691193274615847,7.0704046255458,7.725560161549205,hierarchical_bootstrap_5000
frequent_break,global_dijkstra,p95_delay_slots,20,1,20,16.307499999999997,2.673715874760698,15.167499999999999,17.457562499999998,hierarchical_bootstrap_5000
