scenario,policy,delivery_ratio,drop_rate,backlog_rate,decision_switch_rate
hotspot_high_load,persistent_global_dijkstra,0.2972,0.1724,0.5304,0.0
hotspot_high_load,persistent_global_dijkstra_purge,0.31839999999999996,0.477,0.2046,0.0
hotspot_high_load,persistent_global_dijkstra_purge_srpf,0.33099999999999996,0.4744,0.1946,0.0
hotspot_high_load,q_routing,0.314,0.1668,0.5192,0.390002203341749
hotspot_high_load,q_routing_purge,0.3356666666666667,0.4659333333333333,0.1984,0.377522867027954
hotspot_high_load,q_routing_purge_srpf,0.33673333333333333,0.46853333333333336,0.19473333333333334,0.3792719589962739
hotspot_high_load,qos_only_constrained,0.2976,0.16953333333333334,0.5328666666666667,0.01918009475484021
hotspot_high_load,qos_only_constrained_purge,0.32026666666666664,0.4936,0.18613333333333335,0.01649114975431461
hotspot_high_load,qos_only_constrained_purge_srpf,0.3276666666666667,0.5087333333333334,0.1636,0.017042353337627106
medium_load,persistent_global_dijkstra,0.7218749999999999,0.025,0.253125,0.0
medium_load,persistent_global_dijkstra_purge,0.7302083333333333,0.14010416666666667,0.1296875,0.0
medium_load,persistent_global_dijkstra_purge_srpf,0.7317708333333333,0.1515625,0.11666666666666667,0.0
medium_load,q_routing,0.7864583333333334,0.002951388888888889,0.21059027777777778,0.27483850853691766
medium_load,q_routing_purge,0.7939236111111111,0.09097222222222222,0.11510416666666666,0.26233064073360735
medium_load,q_routing_purge_srpf,0.7930555555555555,0.1125,0.09444444444444444,0.26607472400128956
medium_load,qos_only_constrained,0.779513888888889,0.009548611111111112,0.2109375,0.04665970205649692
medium_load,qos_only_constrained_purge,0.7855902777777777,0.10347222222222222,0.1109375,0.0441092162978182
medium_load,qos_only_constrained_purge_srpf,0.7788194444444444,0.1265625,0.09461805555555555,0.03895748055113147
