slot_sec,load_x,n_episodes,mappo_mean,mappo_lo,mappo_hi,dijkstra_mean,dijkstra_lo,dijkstra_hi,gap_pp,wilcoxon_p,mappo_deadline_drops,dijkstra_deadline_drops,mappo_wait_events,dijkstra_wait_events
1.0,1,16,0.8296,0.818,0.841,0.7812,0.7701,0.7924,4.84,1.526e-04,0,0,450,383
0.5,2,16,0.8296,0.818,0.841,0.7812,0.7701,0.7924,4.84,1.526e-04,0,0,419,363
0.25,4,16,0.7587,0.7394,0.777,0.7406,0.7245,0.7552,1.81,4.431e-02,148,85,440,315
0.125,8,16,0.3454,0.3194,0.377,0.3559,0.3303,0.3908,-1.04,2.312e-01,941,854,361,303
env,0,16,0.7646,0.752,0.777,,,,,,,,,
env,0,16,,,,0.7181,0.707,0.7289,,,,,,
