fault_point,policy,metric,n,mean,ci95_low,ci95_high
fr0.00,full_heuristic,delivery_ratio,15,0.3253472222222222,0.3097222222222223,0.34062499999999996
fr0.00,full_heuristic,drop_rate,15,0.16145833333333334,0.14791666666666667,0.17256944444444441
fr0.00,full_heuristic,throughput_packets_per_slot,15,2.082222222222222,1.9822222222222226,2.1799999999999997
fr0.00,full_heuristic,average_delay_slots,15,8.698391635640421,8.344181916363874,9.03484225911742
fr0.00,full_heuristic,p95_delay_slots,15,18.27333333333333,17.049916666666668,19.42675
fr0.00,full_heuristic,mean_queue_packets,15,2.5055555555555555,2.456201388888889,2.554817129629629
fr0.00,global_dijkstra,delivery_ratio,15,0.7284722222222222,0.714236111111111,0.7423611111111111
fr0.00,global_dijkstra,drop_rate,15,0.020138888888888887,0.016666666666666666,0.024305555555555556
fr0.00,global_dijkstra,throughput_packets_per_slot,15,4.662222222222223,4.571111111111111,4.751111111111111
fr0.00,global_dijkstra,average_delay_slots,15,6.2981752158565545,6.117395166303971,6.4946751052052045
fr0.00,global_dijkstra,p95_delay_slots,15,12.663333333333332,11.94,13.480083333333331
fr0.00,global_dijkstra,mean_queue_packets,15,1.4229629629629632,1.374162037037037,1.4744467592592592
fr0.00,mappo,delivery_ratio,120,0.7366319444444444,0.7312934027777779,0.7417979600694444
fr0.00,mappo,drop_rate,120,0.021310763888888886,0.019357638888888886,0.023394097222222222
fr0.00,mappo,throughput_packets_per_slot,120,4.714444444444444,4.6802777777777775,4.747506944444445
fr0.00,mappo,average_delay_slots,120,5.98789635134805,5.914429844359146,6.062236473387571
fr0.00,mappo,p95_delay_slots,120,11.187083333333332,11.007479166666663,11.367083333333332
fr0.00,mappo,mean_queue_packets,120,1.3538425925925925,1.3365966435185184,1.3715636574074073
fr0.04,full_heuristic,delivery_ratio,15,0.33402777777777776,0.3170138888888889,0.3493055555555556
fr0.04,full_heuristic,drop_rate,15,0.159375,0.14722222222222223,0.171875
fr0.04,full_heuristic,throughput_packets_per_slot,15,2.137777777777778,2.0288888888888885,2.235555555555556
fr0.04,full_heuristic,average_delay_slots,15,9.083716049806988,8.791642826246242,9.356563184901411
fr0.04,full_heuristic,p95_delay_slots,15,19.92666666666667,19.2,20.67675
fr0.04,full_heuristic,mean_queue_packets,15,2.513703703703704,2.452219907407408,2.571944444444445
fr0.04,global_dijkstra,delivery_ratio,15,0.7256944444444444,0.710763888888889,0.7395833333333335
fr0.04,global_dijkstra,drop_rate,15,0.02222222222222222,0.017708333333333333,0.026744791666666542
fr0.04,global_dijkstra,throughput_packets_per_slot,15,4.644444444444445,4.54888888888889,4.733333333333333
fr0.04,global_dijkstra,average_delay_slots,15,6.335374435995614,6.1370026226648955,6.570181289354455
fr0.04,global_dijkstra,p95_delay_slots,15,12.476666666666665,11.823333333333336,13.193333333333333
fr0.04,global_dijkstra,mean_queue_packets,15,1.4362962962962966,1.3834236111111113,1.4919444444444447
fr0.04,mappo,delivery_ratio,120,0.7319878472222222,0.7267350260416666,0.7371961805555556
fr0.04,mappo,drop_rate,120,0.02209201388888889,0.020095486111111113,0.02417534722222222
fr0.04,mappo,throughput_packets_per_slot,120,4.684722222222223,4.6511041666666655,4.718055555555556
fr0.04,mappo,average_delay_slots,120,6.0858376140252135,6.014146240716256,6.159118373082315
fr0.04,mappo,p95_delay_slots,120,11.356666666666664,11.192499999999999,11.522927083333334
fr0.04,mappo,mean_queue_packets,120,1.3777430555555554,1.3607155671296296,1.395127314814815
fr0.08,full_heuristic,delivery_ratio,15,0.3267361111111111,0.31388888888888894,0.33958333333333335
fr0.08,full_heuristic,drop_rate,15,0.159375,0.14722222222222223,0.1715277777777778
fr0.08,full_heuristic,throughput_packets_per_slot,15,2.091111111111111,2.008888888888889,2.1733333333333333
