scenario,contrast,contrast_family,reference_variant,treatment_variant,changed_flags,component_kind,variant,metric,paired_policy_seeds,paired_workloads,paired_episode_cells,bootstrap_rng_seed,policy_seed_ids_json,policy_seed_mean_differences_json,policy_seed_pairing,reference_mean,treatment_mean,treatment_minus_reference,median_difference,policy_seed_mean_difference_std,difference_ci95_low,difference_ci95_high,bootstrap_standard_error,difference_ci_method,ci_resamples,paired_cohen_dz,paired_hedges_gz,rank_biserial_correlation,positive_policy_seed_fraction,sign_flip_statistic,sign_flip_permutations,sign_flip_tail_tie_permutations,sign_flip_zero_difference_count,sign_flip_tail_ties_included,raw_p_value,p_value_method,seed_level_wilcoxon_statistic,seed_level_wilcoxon_p,seed_level_wilcoxon_requested_method,seed_level_wilcoxon_zero_method,seed_level_wilcoxon_zero_count,seed_level_wilcoxon_absolute_tie_group_count,seed_level_wilcoxon_absolute_tied_value_count,seed_level_wilcoxon_method,confirmatory_holm_within_metric_p,within_metric_bh_sensitivity_p,within_metric_family_size,global_holm_sensitivity_p,global_bh_exploratory_p,global_family_size,multiplicity_role
fault_links,legacy_no_credit_vs_full,legacy_post_hoc,full,no_credit,,legacy_confounded,no_credit,throughput_packets_per_slot,8,50,400,18102,"[7,42,123,314,456,789,1024,2024]","[-0.1566666666666667,-2.097333333333333,-0.7206666666666668,-0.3773333333333332,-1.9420000000000002,-0.6126666666666666,-1.5433333333333334,-1.718666666666667]",matched_policy_seed,4.228416666666667,3.0823333333333336,-1.1460833333333331,-1.1320000000000001,0.7615260733011446,-1.6375270833333333,-0.6569750000000004,0.2528126327621465,crossed_pigeonhole_bootstrap_percentile,5000,-1.5049823945819332,-1.3377621285172738,-1.0,0.0,1.1460833333333333,256,2,0,True,0.0078125,exact_policy_seed_sign_flip_on_workload_means,0.0,0.0078125,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,0.234375,0.0390625,30,1.0,0.03125,240,legacy_exploratory
fault_links,legacy_no_credit_vs_full,legacy_post_hoc,full,no_credit,,legacy_confounded,no_credit,average_delay_slots,8,50,400,18103,"[7,42,123,314,456,789,1024,2024]","[0.2850501260597753,1.2169406812449488,0.5195024504892883,0.5044541574212356,1.7233989393667617,1.4091118527559932,1.4408273829620748,2.340448725870192]",matched_policy_seed,6.423799034669587,7.603765824190869,1.1799667895212838,1.3130262670004709,0.7027868908610396,0.7252941378964148,1.6490591162814683,0.23546486055002164,crossed_pigeonhole_bootstrap_percentile,5000,1.6789823556264878,1.492428760556878,1.0,1.0,1.1799667895212838,256,2,0,True,0.0078125,exact_policy_seed_sign_flip_on_workload_means,0.0,0.0078125,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,0.234375,0.0234375,30,1.0,0.03125,240,legacy_exploratory
fault_links,legacy_no_credit_vs_full,legacy_post_hoc,full,no_credit,,legacy_confounded,no_credit,p95_delay_slots,8,50,400,18104,"[7,42,123,314,456,789,1024,2024]","[1.0329999999999993,4.763999999999998,3.412999999999999,3.0599999999999983,6.736999999999998,3.728000000000001,4.8469999999999995,6.623000000000002]",matched_policy_seed,12.525499999999997,16.801125,4.275625,4.2459999999999996,1.8962328019749355,3.016574999999999,5.499950000000001,0.6380366560149998,crossed_pigeonhole_bootstrap_percentile,5000,2.2547996193014463,2.0042663282679523,1.0,1.0,4.275625,256,2,0,True,0.0078125,exact_policy_seed_sign_flip_on_workload_means,0.0,0.0078125,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,0.234375,0.029296875,30,1.0,0.03125,240,legacy_exploratory
fault_links,legacy_no_credit_vs_full,legacy_post_hoc,full,no_credit,,legacy_confounded,no_credit,mean_queue_packets,8,50,400,18105,"[7,42,123,314,456,789,1024,2024]","[0.08222222222222224,0.9164722222222222,0.3116944444444444,0.20183333333333334,0.8760555555555554,0.37772222222222224,0.7032777777777777,0.7808333333333333]",matched_policy_seed,1.5428541666666666,2.0741180555555556,0.5312638888888889,0.5405,0.325376514368036,0.3234492187500001,0.7387331597222223,0.1072367867144896,crossed_pigeonhole_bootstrap_percentile,5000,1.6327665502248636,1.4513480446443232,1.0,1.0,0.5312638888888889,256,2,0,True,0.0078125,exact_policy_seed_sign_flip_on_workload_means,0.0,0.0078125,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,0.234375,0.026041666666666668,30,1.0,0.03125,240,legacy_exploratory
fault_links,legacy_no_credit_vs_full,legacy_post_hoc,full,no_credit,,legacy_confounded,no_credit,routing_switches,8,50,400,18106,"[7,42,123,314,456,789,1024,2024]","[49.18,81.94,-15.92,-22.98,231.1,85.76,267.38,-1.74]",matched_policy_seed,35.185,119.525,84.34,65.56,110.36663419193839,16.208187500000008,159.3128749999999,36.92579884873683,crossed_pigeonhole_bootstrap_percentile,5000,0.7641802308959108,0.6792713163519207,0.6666666666666666,0.625,84.34,256,2,0,True,0.0625,exact_policy_seed_sign_flip_on_workload_means,6.0,0.109375,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,1.0,0.18028846153846154,30,1.0,0.14285714285714285,240,legacy_exploratory
fault_links,legacy_no_credit_vs_full,legacy_post_hoc,full,no_credit,,legacy_confounded,no_credit,global_control_overhead_ratio,8,50,400,18107,"[7,42,123,314,456,789,1024,2024]","[0.0016033403069992608,-0.0003120806538642393,0.0019029184412892954,0.005820847900863577,-0.003578647240116586,-0.0007900534269428266,-0.005075747396817246,-0.0023869203586955874]",matched_policy_seed,0.053134305801488084,0.05278226299807754,-0.0003520428034105438,-0.0005510670404035329,0.003465575425152717,-0.0025026240995923,0.0019948381419992098,0.0011596787321844935,crossed_pigeonhole_bootstrap_percentile,5000,-0.10158278502769298,-0.09029580891350487,-0.16666666666666666,0.375,0.00035204280341054415,256,2,0,True,0.765625,exact_policy_seed_sign_flip_on_workload_means,15.0,0.7421875,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,1.0,0.8828125,30,1.0,0.8708530805687204,240,legacy_exploratory
fault_links,legacy_no_lifetime_vs_full,legacy_post_hoc,full,no_lifetime,,legacy_confounded,no_lifetime,delivery_ratio,8,50,400,18200,"[7,42,123,314,456,789,1024,2024]","[0.054895833333333345,0.10729166666666667,0.0409375,0.04010416666666667,0.07749999999999999,0.1815625,0.06177083333333332,0.08125]",matched_policy_seed,0.6606901041666666,0.7413541666666665,0.0806640625,0.06963541666666666,0.04651288495623427,0.054451171875000016,0.11581119791666661,0.015737340790683455,crossed_pigeonhole_bootstrap_percentile,5000,1.7342304734677252,1.541538198637978,1.0,1.0,0.0806640625,256,2,0,True,0.0078125,exact_policy_seed_sign_flip_on_workload_means,0.0,0.0078125,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,0.234375,0.0390625,30,1.0,0.03125,240,legacy_exploratory
fault_links,legacy_no_lifetime_vs_full,legacy_post_hoc,full,no_lifetime,,legacy_confounded,no_lifetime,drop_rate,8,50,400,18201,"[7,42,123,314,456,789,1024,2024]","[-0.017083333333333332,-0.028125,-0.011875,-0.009270833333333334,-0.01989583333333333,-0.05072916666666666,-0.018958333333333334,-0.02510416666666667]",matched_policy_seed,0.042734375,0.020104166666666666,-0.022630208333333336,-0.01942708333333333,0.012937980446949009,-0.03225390625,-0.01510351562500001,0.004431493824463316,crossed_pigeonhole_bootstrap_percentile,5000,-1.749129891340183,-1.5547821256357182,-1.0,0.0,0.022630208333333332,256,2,0,True,0.0078125,exact_policy_seed_sign_flip_on_workload_means,0.0,0.0078125,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,0.234375,0.0390625,30,1.0,0.03125,240,legacy_exploratory
fault_links,legacy_no_lifetime_vs_full,legacy_post_hoc,full,no_lifetime,,legacy_confounded,no_lifetime,throughput_packets_per_slot,8,50,400,18202,"[7,42,123,314,456,789,1024,2024]","[0.3513333333333334,0.6866666666666665,0.2619999999999999,0.2566666666666666,0.49599999999999994,1.162,0.39533333333333337,0.5199999999999999]",matched_policy_seed,4.228416666666667,4.744666666666667,0.5162499999999999,0.44566666666666666,0.29768246371989937,0.34750000000000003,0.7272520833333332,0.09794442992671014,crossed_pigeonhole_bootstrap_percentile,5000,1.7342304734677247,1.5415381986379775,1.0,1.0,0.5162499999999999,256,2,0,True,0.0078125,exact_policy_seed_sign_flip_on_workload_means,0.0,0.0078125,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,0.234375,0.0390625,30,1.0,0.03125,240,legacy_exploratory
fault_links,legacy_no_lifetime_vs_full,legacy_post_hoc,full,no_lifetime,,legacy_confounded,no_lifetime,average_delay_slots,8,50,400,18203,"[7,42,123,314,456,789,1024,2024]","[-0.13847979775495392,-0.42339408491797315,-0.054076320513887985,-0.13442025721966464,-0.30491988676619997,-0.2941230646712932,-0.2673388049507848,-0.3166854334591824]",matched_policy_seed,6.423799034669587,6.182119328387844,-0.2416797062817425,-0.280730934811039,0.12154001751836872,-0.3352542302302874,-0.14907565639692322,0.0477327525936417,crossed_pigeonhole_bootstrap_percentile,5000,-1.9884784552151038,-1.7675364046356477,-1.0,0.0,0.24167970628174248,256,2,0,True,0.0078125,exact_policy_seed_sign_flip_on_workload_means,0.0,0.0078125,auto,wilcox,0,0,0,scipy_wilcoxon_two_sided_on_workload_averaged_policy_seeds,0.234375,0.0234375,30,1.0,0.03125,240,legacy_exploratory
