episode,policy,workload_seed,generated,delivered,dropped,delivery_ratio,throughput_per_slot,mean_delay_slots,p95_delay_slots
0,mappo,21001,192,141,3,0.7344,4.7,6.22,12.0
1,mappo,21002,192,146,3,0.7604,4.8667,6.068,10.0
2,mappo,21003,192,156,1,0.8125,5.2,5.654,11.0
3,mappo,21004,192,137,7,0.7135,4.5667,6.81,12.2
4,mappo,21005,192,149,4,0.776,4.9667,5.664,10.6
5,mappo,21006,192,143,2,0.7448,4.7667,6.035,11.8
6,mappo,21007,192,154,3,0.8021,5.1333,5.799,11.0
7,mappo,21008,192,151,2,0.7865,5.0333,6.192,11.0
