policy,slot_sec,bw_kbps,qsize,sent,delivered,delivery_ratio,queue_drops,arrived,deadline_drops,wait_events,stranded,mean_delay_ms,p95_delay_ms,load_imbalance
mappo,1.0,36,8,1420,1177,0.828873,0,1177,0,189,0,1065.79,2345.78,0.629316
dijkstra,1.0,36,8,1337,663,0.495886,0,663,0,0,0,1006.31,2062.67,0.439975
mappo,0.5,36,8,1420,1177,0.828873,0,1177,0,180,0,1107.71,2054.67,0.629316
dijkstra,0.5,36,8,1337,659,0.492895,4,659,0,0,0,1181.32,2855.11,0.436835
mappo,0.25,36,8,1420,1091,0.76831,31,1146,56,178,0,1680.7,3554.67,0.6106
dijkstra,0.25,36,8,1337,624,0.466717,13,646,27,0,0,1661.95,3965.56,0.429541
mappo,0.125,36,8,1420,484,0.340845,256,798,461,157,0,1388.98,3299.33,0.466155
dijkstra,0.125,36,8,1337,307,0.229619,85,489,426,0,0,1551.53,3304.67,0.366581
