scenario,variant,metric,paired_samples,full_mean,ablated_mean,ablated_minus_full,median_difference,wilcoxon_statistic,raw_p_value,benjamini_hochberg_p
medium_load,no_queue,delivery_ratio,60,0.3943576388888889,0.3698784722222223,-0.024479166666666663,-0.013020833333333343,670.5,0.1519913493649526,0.20844527912907784
medium_load,no_queue,drop_rate,60,0.14852430555555554,0.16154513888888886,0.013020833333333334,0.013020833333333343,588.5,0.03866725317878786,0.059382411333758094
medium_load,no_queue,throughput_packets_per_slot,60,2.5238888888888886,2.367222222222223,-0.1566666666666667,-0.08333333333333337,671.5,0.1542211321015603,0.20852434763027872
medium_load,no_queue,average_delay_slots,60,8.256161010308745,8.124695261959229,-0.13146574834951594,0.08951100932176148,836.0,0.5608586208294731,0.6260747395305746
medium_load,no_queue,p95_delay_slots,60,18.024166666666662,17.62333333333333,-0.4008333333333322,0.22500000000000142,820.0,0.7834241586177727,0.8356524358589575
medium_load,no_queue,mean_queue_packets,60,2.339004629629629,2.362615740740741,0.02361111111111112,-0.015277777777777724,906.0,0.9471747294452432,0.9471747294452432
medium_load,no_queue,routing_switches,60,94.23333333333333,140.68333333333334,46.45,74.5,213.0,2.362765646222198e-07,1.0801214382730047e-06
medium_load,no_queue,global_control_overhead_ratio,60,0.04873106696465493,0.04731433282923528,-0.0014167341354196482,-0.0011393364101174724,454.0,0.0006895544238670298,0.0015394703416566247
medium_load,no_lifetime,delivery_ratio,60,0.3943576388888889,0.30095486111111114,-0.09340277777777775,-0.09635416666666669,237.0,5.990014767410118e-07,2.5001800768320493e-06
medium_load,no_lifetime,drop_rate,60,0.14852430555555554,0.19270833333333334,0.04418402777777778,0.04687499999999999,188.0,8.658134869939732e-08,4.889299691260084e-07
medium_load,no_lifetime,throughput_packets_per_slot,60,2.5238888888888886,1.9261111111111109,-0.5977777777777777,-0.6166666666666667,234.5,5.436425471942163e-07,2.3722583877565805e-06
medium_load,no_lifetime,average_delay_slots,60,8.256161010308745,8.61624807633149,0.36008706602274515,0.1972086025695141,746.0,0.21345874725585934,0.27322719648749993
medium_load,no_lifetime,p95_delay_slots,60,18.024166666666662,19.025833333333328,1.0016666666666663,0.9999999999999964,691.0,0.14310287278795356,0.19909964909628322
medium_load,no_lifetime,mean_queue_packets,60,2.339004629629629,2.5950462962962964,0.25604166666666667,0.18611111111111134,409.0,0.0001953375847038145,0.0004808309777324664
medium_load,no_lifetime,routing_switches,60,94.23333333333333,227.01666666666668,132.78333333333333,103.0,15.0,3.4526340674006353e-11,5.524214507841017e-10
medium_load,no_lifetime,global_control_overhead_ratio,60,0.04873106696465493,0.044931280706744584,-0.0037997862579103505,-0.0038578011656681364,46.0,1.5821779595052358e-10,1.6876564901389182e-09
medium_load,no_credit,delivery_ratio,60,0.3943576388888889,0.3262152777777778,-0.06814236111111112,-0.033854166666666685,340.5,0.00011270326460943334,0.00030054203895848894
medium_load,no_credit,drop_rate,60,0.14852430555555554,0.1885416666666667,0.040017361111111115,0.03125,156.0,9.872810688088646e-08,5.265499033647278e-07
medium_load,no_credit,throughput_packets_per_slot,60,2.5238888888888886,2.0877777777777777,-0.436111111111111,-0.21666666666666667,338.5,0.00010549278154304356,0.0002893516293752052
medium_load,no_credit,average_delay_slots,60,8.256161010308745,8.504567446309444,0.2484064360007004,-0.0343335282874393,783.0,0.33118409370472224,0.40245155690700424
medium_load,no_credit,p95_delay_slots,60,18.024166666666662,19.14083333333333,1.116666666666667,1.0750000000000064,594.0,0.018116194540789377,0.02947719789687763
medium_load,no_credit,mean_queue_packets,60,2.339004629629629,2.5566435185185186,0.21763888888888897,0.2006944444444443,394.5,0.00012724000263149353,0.0003301362230438751
medium_load,no_credit,routing_switches,60,94.23333333333333,144.75,50.516666666666666,75.0,206.0,1.7913272126545553e-07,9.050916442886174e-07
medium_load,no_credit,global_control_overhead_ratio,60,0.04873106696465493,0.04850813712206021,-0.0002229298425947215,-0.0012595371030069864,798.0,0.3890686778734408,0.4668824134481289
medium_load,no_packet_context,delivery_ratio,60,0.3943576388888889,0.36032986111111115,-0.03402777777777778,-0.03906250000000003,460.5,0.0022238668465998025,0.0047100709055181295
medium_load,no_packet_context,drop_rate,60,0.14852430555555554,0.16432291666666668,0.015798611111111114,0.013020833333333343,520.5,0.009462858471715649,0.01668636472236655
medium_load,no_packet_context,throughput_packets_per_slot,60,2.5238888888888886,2.3061111111111114,-0.21777777777777774,-0.25,461.5,0.0022819386894517776,0.0047100709055181295
medium_load,no_packet_context,average_delay_slots,60,8.256161010308745,6.360771005764554,-1.8953900045441894,-1.9316837231968802,80.0,7.899273547265943e-10,7.583302605375304e-09
medium_load,no_packet_context,p95_delay_slots,60,18.024166666666662,14.094999999999997,-3.9291666666666667,-3.8500000000000014,77.0,1.0683328955714608e-09,9.323632543169114e-09
medium_load,no_packet_context,mean_queue_packets,60,2.339004629629629,2.378796296296296,0.03979166666666668,0.034027777777777546,731.5,0.17674069175767404,0.23242611518817408
medium_load,no_packet_context,routing_switches,60,94.23333333333333,106.71666666666667,12.483333333333333,49.0,892.0,0.8655406414754233,0.8839563998046877
medium_load,no_packet_context,global_control_overhead_ratio,60,0.04873106696465493,0.051510908089460974,0.002779841124806051,0.0029974345561082118,158.0,2.5077307902768243e-08,1.719586827618394e-07
medium_load,flat_critic,delivery_ratio,60,0.3943576388888889,0.38550347222222225,-0.008854166666666663,-0.1328125,792.0,0.482646881514568,0.5650883404437885
medium_load,flat_critic,drop_rate,60,0.14852430555555554,0.1559027777777778,0.007378472222222223,0.03645833333333333,889.5,0.8510770178509671,0.8839563998046877
medium_load,flat_critic,throughput_packets_per_slot,60,2.5238888888888886,2.467222222222223,-0.056666666666666705,-0.8499999999999999,792.0,0.4826796241290694,0.5650883404437885
medium_load,flat_critic,average_delay_slots,60,8.256161010308745,7.093386508425984,-1.1627745018827598,-1.2563290400452005,272.0,2.2066929212926177e-06,7.846019275707086e-06
medium_load,flat_critic,p95_delay_slots,60,18.024166666666662,16.586666666666662,-1.4375000000000009,-1.949999999999994,511.0,0.004757756959694864,0.008783551310205901
medium_load,flat_critic,mean_queue_packets,60,2.339004629629629,2.3503935185185183,0.011388888888888893,0.28333333333333344,891.0,0.8597600114961732,0.8839563998046877
medium_load,flat_critic,routing_switches,60,94.23333333333333,94.56666666666666,0.3333333333333333,4.5,890.0,0.8539746807231008,0.8839563998046877
medium_load,flat_critic,global_control_overhead_ratio,60,0.04873106696465493,0.05017091491254606,0.0014398479478911206,0.0020548356598939985,689.0,0.09616794204602311,0.13988064297603361
medium_load,no_ppo_protection,delivery_ratio,60,0.3943576388888889,0.15034722222222224,-0.2440104166666667,-0.2604166666666667,0.0,1.6216458925418457e-11,3.9090930738354126e-10
medium_load,no_ppo_protection,drop_rate,60,0.14852430555555554,0.25772569444444443,0.10920138888888889,0.10416666666666669,0.0,1.61656138149574e-11,3.9090930738354126e-10
medium_load,no_ppo_protection,throughput_packets_per_slot,60,2.5238888888888886,0.9622222222222223,-1.561666666666667,-1.6666666666666665,0.0,1.624958663176615e-11,3.9090930738354126e-10
