schema_version,study_name,evaluation_role,spec_sha256,training_freeze_sha256,method,replicate_kind,environment_variant,source_model_sha256,decision_forced_switch_cost,scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio,avoidable_routing_switches,forced_routing_switches,switch_opportunities,avoidable_switch_rate,decision_avoidable_switches,decision_switch_opportunities,decision_forced_switches,decision_avoidable_switch_rate
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77011,192,151,1,40,0.7864583333333334,0.005208333333333333,5.033333333333333,5.814569536423841,10.0,1.2222222222222223,10,47,11.156080429339783,0.20539009446219542,0.028024691358024687,0.6900635989125055,0.0,0.3392177512030453,0.05583280654898826,0.0020833333333333333,0.7717391304347826,0.7794117647058824,0.84375,46,1,217,0.2119815668202765,46,217,1,0.2119815668202765
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77012,192,149,0,43,0.7760416666666666,0.0,4.966666666666667,5.74496644295302,9.0,1.225,9,69,10.76625839310537,0.20742658433441835,0.02817901234567901,0.7065588301597873,0.0,0.33256811271517156,0.056352684332238265,0.0,0.7777777777777778,0.75,0.8,69,0,249,0.27710843373493976,69,249,0,0.27710843373493976
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77013,192,155,2,35,0.8072916666666666,0.010416666666666666,5.166666666666667,5.52258064516129,11.0,1.176388888888889,8,53,13.194163615076368,0.1761423522207375,0.02685185185185185,0.698142813027458,0.0,0.3615622698594835,0.058809708781231526,0.005,0.8181818181818182,0.7346938775510204,0.8636363636363636,50,3,191,0.2617801047120419,50,191,3,0.2617801047120419
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77014,192,145,1,46,0.7552083333333334,0.005208333333333333,4.833333333333333,6.124137931034483,10.0,1.3097222222222222,11,61,10.54410872936684,0.19941786547894175,0.030154320987654325,0.7026747847742846,0.0,0.3276934748258279,0.05663413481822811,0.0022222222222222222,0.7938144329896907,0.7090909090909091,0.725,57,4,228,0.25,57,228,4,0.25
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77015,192,156,0,36,0.8125,0.0,5.2,5.596153846153846,9.25,1.1597222222222223,8,54,12.99808600814556,0.1864054443629925,0.026512345679012346,0.7053338116116231,0.0,0.3585889056477292,0.05759575623241579,0.0,0.8,0.7719298245614035,0.8888888888888888,51,3,214,0.2383177570093458,51,214,3,0.2383177570093458
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77016,192,162,0,30,0.84375,0.0,5.4,5.506172839506172,9.0,1.1402777777777777,8,44,14.43961318163052,0.18560294011507197,0.025895061728395067,0.7140379994713054,0.0,0.38246058679882217,0.058779447650415616,0.0,0.8494623655913979,0.8253968253968254,0.8611111111111112,43,1,203,0.21182266009852216,43,203,1,0.21182266009852216
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77017,192,155,1,36,0.8072916666666666,0.005208333333333333,5.166666666666667,5.658064516129032,10.299999999999983,1.2152777777777777,10,55,11.730727667659613,0.19736511942182272,0.02774691358024691,0.6791848383139254,0.0,0.3441419773037421,0.056118982347509436,0.0020833333333333333,0.7777777777777778,0.7931034482758621,0.8863636363636364,52,3,212,0.24528301886792453,52,212,3,0.24528301886792453
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77018,192,156,0,36,0.8125,0.0,5.2,5.32051282051282,10.25,1.125,7,57,12.482417442004968,0.19056577654891135,0.025740740740740734,0.6924439312464912,0.0,0.3510551784816491,0.056270132969795536,0.0,0.7941176470588235,0.8448275862068966,0.8125,54,3,225,0.24,54,225,3,0.24
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77019,192,153,0,39,0.796875,0.0,5.1,5.69281045751634,10.0,1.1972222222222222,9,79,11.822476445836745,0.19515098623259822,0.027438271604938273,0.694133129563132,0.0,0.34312262399336707,0.056477833193139496,0.0,0.7894736842105263,0.8360655737704918,0.75,76,3,227,0.33480176211453744,76,227,3,0.33480176211453744
1,ICC-AVOIDABLE-SWITCH-CLASSICAL-BASELINES-FORMAL-v1,classical_independent_gate_descriptive,80c657cb44bdb7ed3ba89fee0e67335da2f7a22236d9ae429265b8f0a7fc03c3,df7cf104d30360df898ef8239b64789c16e0baa9e87c78c52c08a676ecb62eba,q_routing,independently_trained_model,qos_only,4bfa5f08073720963144a29e0fb1bb3c91c217f302a9a1ea0da847f91182d2ca,0,medium_load,q_routing,626669596,77020,192,149,1,42,0.7760416666666666,0.005208333333333333,4.966666666666667,5.590604026845638,9.599999999999994,1.1958333333333333,9,59,11.167329553650186,0.19752429481270548,0.027499999999999993,0.6840698815104773,0.0,0.33510469922234637,0.055893525814887116,0.0022222222222222222,0.7373737373737373,0.8070175438596491,0.8333333333333334,57,2,206,0.2766990291262136,57,206,2,0.2766990291262136
