name,ok,drop,dropRate,avgDelay,p95Delay,avgHop,maxQ,jain,noCandidate,maxHopDrop,badFirstHop,ctrlBytes,dataBytes,ctrlRatio,overBudget,flops,maskRatio,rLocal
global_dijkstra,599,0,0,29.2274727201874,49.9913013968731,2.64106844741235,31,0.466802843204437,0,0,26,26208,718800,0.0364607679465776,0,345024,0,1.02560546659498
local_delay_noloop,586,13,0.0217028380634391,32.8046457226465,59.5169458209767,2.73037542662116,42,0.469091305061395,0,0,0,26208,703200,0.0372696245733788,0,9553408,0.166404282115869,0.934173582650802
local_q_life_noloop,598,1,0.00166944908180301,36.7293165986151,82.0136282465662,3.36622073578595,20,0.630926563546389,1,0,0,45864,717600,0.0639130434782609,1,11809408,0.245924605196128,0.898563267627292
local_q_life_export,598,1,0.00166944908180301,36.7293165986151,82.0136282465662,3.36622073578595,20,0.630926563546389,1,0,0,45864,717600,0.0639130434782609,1,11809408,0.245924605196128,0.898563267627292
