t,pid,name,src,dst,cur,act,hop,nCand,masked,qAct,delayAct,rhoAct,relAct,tremAct,reward,done,failCode
3,0,global_dijkstra,12,9,12,7,1,96,0,4,9.49848959981197,0.051525,0.988817,999,-0.344903092753361,0,0
3,0,global_dijkstra,13,9,13,14,1,96,0,1,8.98690808890957,0.013025,0.993437,999,-0.197721683874908,0,0
3,0,global_dijkstra,12,9,12,7,1,96,0,5,9.49848959981197,0.061525,0.987617,999,-0.382620870531139,0,0
3,0,global_dijkstra,22,9,22,16,1,96,0,0,11.5549581320874,0,0.995,9,-0.467081239937702,0,0
3,0,global_dijkstra,15,9,15,9,1,96,0,0,12.2684665316353,0.029075,0.991511,7,2.41596183770395,1,0
3,0,global_dijkstra,15,9,15,9,1,96,0,0,12.2684665316353,0.039075,0.990311,7,2.40602183770395,1,0
3,0,global_dijkstra,11,9,11,10,1,96,0,3,9.42658477444273,0.025025,0.991997,999,-0.287189073707121,0,0
4,0,global_dijkstra,12,22,12,18,1,96,0,1,10.8982060370958,0.021175,0.992459,2,-0.849736029632567,0,0
4,0,global_dijkstra,6,23,6,24,1,96,0,1,10.3819660112501,0.0143275,0.9932807,4,-0.679617613340283,0,0
4,0,global_dijkstra,2,15,2,3,1,96,0,1,9.32089329778511,0.01599125,0.99308105,999,-0.217369396818685,0,0
4,0,global_dijkstra,1,16,1,6,1,96,0,0,9.46239186827274,0.01816375,0.99282035,999,-0.198826012565288,0,0
4,0,global_dijkstra,16,21,16,22,1,96,0,0,11.2139499366922,0.0055,0.99434,9,-0.455497830167941,0,0
4,0,global_dijkstra,23,11,23,17,1,96,0,1,10.8982060370958,0.003025,0.994637,2,-0.831694929632568,0,0
4,0,global_dijkstra,17,9,17,11,1,96,0,0,11.2139499366922,0.01,0.9938,9,-0.459970830167941,0,0
4,0,global_dijkstra,23,9,23,17,1,96,0,2,10.8982060370958,0.013025,0.993437,2,-0.869412707410345,0,0
4,0,global_dijkstra,15,9,15,9,1,96,0,0,11.910270339299,0.02699125,0.99176105,7,2.43594289482077,1,0
4,0,global_dijkstra,8,9,8,9,1,96,0,0,9.32089329778511,0.0319275,0.9911687,999,2.79456774845909,1,0
4,0,global_dijkstra,8,9,8,9,1,96,0,0,9.32089329778511,0.0419275,0.9899687,999,2.78462774845909,1,0
4,0,global_dijkstra,7,9,7,8,1,96,0,1,9.17274722370204,0.0434775,0.9897827,999,-0.237283425614532,0,0
4,0,global_dijkstra,23,9,23,17,1,96,0,3,10.8982060370958,0.023025,0.992237,2,-0.907130485188123,0,0
4,0,global_dijkstra,10,9,10,9,1,96,0,0,9.42658477444273,0.06964125,0.98664305,999,2.75179570712621,1,0
4,0,global_dijkstra,23,9,23,17,1,96,0,4,10.8982060370958,0.033025,0.991037,2,-0.944848262965901,0,0
4,0,global_dijkstra,21,9,21,15,1,96,0,0,11.5549581320874,0.01,0.9938,8,-0.499937906604369,0,0
4,0,global_dijkstra,17,9,17,11,1,96,0,4,11.2139499366922,0.05,0.989,9,-0.610841941279052,0,0
4,0,global_dijkstra,1,9,1,2,1,96,0,0,9.17274722370204,0.01049125,0.99374105,999,-0.176717315336754,0,0
5,0,global_dijkstra,22,23,22,23,1,96,0,0,9.49848959981197,0.0055,0.99434,999,2.81195686835775,1,0
5,0,global_dijkstra,1,16,1,6,1,96,0,0,9.37929165882718,0.0154900625,0.9931411925,999,-0.19201335671801,0,0
5,0,global_dijkstra,10,15,10,16,1,96,0,0,11.2139499366922,0.00605,0.994274,8,-0.478961196834608,0,0
5,0,global_dijkstra,8,2,8,2,1,96,0,0,12.2684665316353,0,0.995,5,2.35057667341823,1,0
5,0,global_dijkstra,20,22,20,21,1,96,0,0,9.42658477444273,0.008182625,0.994018085,999,-0.187114419623788,0,0
5,0,global_dijkstra,5,9,5,11,1,96,0,2,11.2139499366922,0.0025788125,0.9946905425,8,-0.531066392015163,0,0
5,0,global_dijkstra,6,9,6,12,1,96,0,0,10.8982060370958,0.00605,0.994274,9,-0.440257335188123,0,0
5,0,global_dijkstra,10,9,10,9,1,96,0,0,9.4864246426519,0.0648026875,0.9872236775,999,2.75361324484075,1,0
5,0,global_dijkstra,10,9,10,9,1,96,0,0,9.4864246426519,0.0748026875,0.9860236775,999,2.74367324484075,1,0
5,0,global_dijkstra,22,9,22,16,1,96,0,1,10.8982060370958,0.008525,0.993977,9,-0.470495262965901,0,0
5,0,global_dijkstra,5,9,5,11,1,96,0,3,11.2139499366922,0.0125788125,0.9934905425,8,-0.568784169792941,0,0
5,0,global_dijkstra,11,9,11,10,1,96,0,6,9.49848959981197,0.0580950625,0.9880285925,999,-0.406989290433917,0,0
5,0,global_dijkstra,16,9,16,10,1,96,0,7,11.2139499366922,0.02605,0.991874,8,-0.693285641279052,0,0
5,0,global_dijkstra,13,9,13,14,1,96,0,0,9.32089329778511,0.0069650625,0.9941641925,999,-0.180619588665907,0,0
5,0,global_dijkstra,19,9,19,20,1,96,0,0,9.32089329778511,0.005157625,0.994381085,999,-0.178822995790907,0,0
5,0,global_dijkstra,4,9,4,10,1,96,0,8,11.5549581320874,0.004855125,0.994417385,7,-0.746510408790876,0,0
6,0,global_dijkstra,5,10,5,11,1,96,0,1,10.8982060370958,0.012418346875,0.993509798375,8,-0.497281916426318,0,0
6,0,global_dijkstra,19,7,19,13,1,96,0,0,11.5549581320874,0,0.995,6,-0.558747906604369,0,0
6,0,global_dijkstra,3,23,3,4,1,96,0,0,9.49848959981197,0.002167034375,0.994739955875,999,-0.184730163811,0,0
6,0,global_dijkstra,4,15,4,22,1,96,0,0,10.3819660112501,0.000503284375,0.994939605875,2,-0.775598565231255,0,0
6,0,global_dijkstra,7,16,7,12,1,96,0,0,9.25185988058195,0.017399971875,0.992912003375,999,-0.187540217724499,0,0
6,0,global_dijkstra,16,2,16,22,1,96,0,1,10.6178747020263,0.02018875,0.99257735,9,-0.468072463712425,0,0
6,0,global_dijkstra,5,9,5,11,1,96,0,2,10.8982060370958,0.022418346875,0.992309798375,8,-0.534999694204095,0,0
6,0,global_dijkstra,1,9,1,2,1,96,0,0,9.42658477444273,0.006198603125,0.994256167625,999,-0.185142301880038,0,0
6,0,global_dijkstra,1,9,1,2,1,96,0,1,9.42658477444273,0.016198603125,0.993056167625,999,-0.222860079657816,0,0
6,0,global_dijkstra,15,9,15,9,1,96,0,0,11.2139499366922,0.025214853125,0.991974217625,7,2.47252465344486,1,0
6,0,global_dijkstra,3,9,3,9,1,96,0,0,11.5549581320874,0.03120233125,0.99125572025,6,2.41023697613313,1,0
