policy,episodes,delivery_ratio_mean,drop_rate_mean,average_delay_slots_mean,p95_delay_slots_mean,throughput_mean
delay_only,20,0.04192708333333334,0.2721354166666667,8.396461455211455,17.952499999999997,0.26833333333333337
full_heuristic,20,0.10234375,0.24296875,9.182765043542554,20.1325,0.6549999999999999
random,20,0.11093749999999998,0.2390625,9.263317056959036,20.019999999999996,0.71
