load_point,policy,metric,n,mean,ci95_low,ci95_high
exo2,full_heuristic,delivery_ratio,15,0.6114583333333333,0.578125,0.6458333333333334
exo2,full_heuristic,drop_rate,15,0.103125,0.07395833333333333,0.13229166666666667
exo2,full_heuristic,throughput_packets_per_slot,15,1.3044444444444447,1.2333333333333334,1.3777777777777778
exo2,full_heuristic,average_delay_slots,15,6.625997107038564,6.448447339538342,6.796866816730063
exo2,full_heuristic,p95_delay_slots,15,12.609999999999998,12.096583333333333,13.166749999999999
exo2,full_heuristic,mean_queue_packets,15,0.5514814814814814,0.5299074074074074,0.5734282407407407
exo2,global_dijkstra,delivery_ratio,15,0.9083333333333333,0.8989583333333333,0.9166666666666666
exo2,global_dijkstra,drop_rate,15,0.0,0.0,0.0
exo2,global_dijkstra,throughput_packets_per_slot,15,1.9377777777777772,1.917777777777777,1.955555555555555
exo2,global_dijkstra,average_delay_slots,15,3.8132038089840545,3.7202698935586143,3.9105974727744393
exo2,global_dijkstra,p95_delay_slots,15,5.963333333333333,5.693333333333332,6.2333333333333325
exo2,global_dijkstra,mean_queue_packets,15,0.24268518518518514,0.23527546296296292,0.2505555555555555
exo2,mappo,delivery_ratio,120,0.9041666666666667,0.900390625,0.9079427083333333
exo2,mappo,drop_rate,120,0.0005208333333333333,0.00013020833333333333,0.0010416666666666667
exo2,mappo,throughput_packets_per_slot,120,1.9288888888888887,1.9208333333333332,1.936944444444444
exo2,mappo,average_delay_slots,120,3.876097853599161,3.8346447387854568,3.918845568439989
exo2,mappo,p95_delay_slots,120,6.1170833333333325,6.001666666666666,6.237510416666666
exo2,mappo,mean_queue_packets,120,0.24770833333333334,0.24431712962962962,0.2512039930555556
exo4,full_heuristic,delivery_ratio,15,0.48489583333333336,0.4661458333333333,0.5036458333333333
exo4,full_heuristic,drop_rate,15,0.11614583333333334,0.0953125,0.13541666666666666
exo4,full_heuristic,throughput_packets_per_slot,15,2.068888888888889,1.9888888888888887,2.1488888888888886
exo4,full_heuristic,average_delay_slots,15,7.755603555562429,7.51120961144186,7.999340509830235
exo4,full_heuristic,p95_delay_slots,15,15.996666666666664,15.176583333333333,16.766666666666662
