scenario,policy,delivery_ratio,drop_rate,backlog_rate,decision_switch_rate
hotspot_high_load,persistent_global_dijkstra,0.30260000000000004,0.1656,0.5318,0.0
hotspot_high_load,persistent_global_dijkstra_purge,0.32239999999999996,0.4618,0.2158,0.0
hotspot_high_load,persistent_global_dijkstra_purge_ls,0.301,0.4214,0.2776,0.0
hotspot_high_load,q_routing,0.31139999999999995,0.15873333333333334,0.5298666666666667,0.3974384764130335
hotspot_high_load,q_routing_purge,0.33699999999999997,0.4524,0.2106,0.3836682817908483
hotspot_high_load,q_routing_purge_ls,0.30499999999999994,0.4102,0.2848,0.40858143574569533
hotspot_high_load,qos_only_constrained,0.2946,0.1642,0.5412,0.01855812394236595
hotspot_high_load,qos_only_constrained_purge,0.32080000000000003,0.48633333333333334,0.19286666666666666,0.016390826882852108
hotspot_high_load,qos_only_constrained_purge_ls,0.28553333333333336,0.45713333333333334,0.25733333333333336,0.02506182717593425
medium_load,persistent_global_dijkstra,0.7364583333333333,0.0203125,0.24322916666666666,0.0
medium_load,persistent_global_dijkstra_purge,0.7458333333333333,0.13125,0.12291666666666666,0.0
medium_load,persistent_global_dijkstra_purge_ls,0.7390625,0.09375,0.1671875,0.0
medium_load,q_routing,0.7777777777777777,0.005729166666666666,0.21649305555555556,0.27738166179719353
medium_load,q_routing_purge,0.7859374999999998,0.09288194444444445,0.12118055555555556,0.26521414601047394
medium_load,q_routing_purge_ls,0.7854166666666668,0.06927083333333334,0.1453125,0.26608554280871494
medium_load,qos_only_constrained,0.7687499999999999,0.0109375,0.2203125,0.04602393706009198
medium_load,qos_only_constrained_purge,0.7763888888888889,0.10138888888888889,0.12222222222222222,0.04353810853756054
medium_load,qos_only_constrained_purge_ls,0.7781249999999998,0.07708333333333334,0.14479166666666668,0.05178128855367861
