group,baseline,metric,n_paired,mappo_mean,baseline_mean,mean_diff,median_diff,cohens_dz,wilcoxon_stat,raw_p,bh_p
oneweb_24,global_dijkstra,delivery_ratio,20,0.28141276041666663,0.3125,-0.031087239583333336,-0.029622395833333343,-1.6668738947924842,4.0,1.33514404296875e-05,2.6702880859375e-05
oneweb_24,global_dijkstra,drop_rate,20,0.33173828125,0.18072916666666666,0.15100911458333333,0.1494140625,7.705362379879765,0.0,1.9073486328125e-06,5.7220458984375e-06
oneweb_24,global_dijkstra,throughput_packets_per_slot,20,1.8010416666666669,2.0,-0.1989583333333333,-0.18958333333333321,-1.6668738947924835,4.0,0.00016264151523010342,0.00016264151523010342
oneweb_24,global_dijkstra,average_delay_slots,20,7.96219038370654,9.421708212622708,-1.4595178289161654,-1.4539448295442625,-3.3255992204042086,0.0,1.9073486328125e-06,5.7220458984375e-06
oneweb_24,global_dijkstra,p95_delay_slots,20,18.025624999999998,21.805,-3.7793750000000004,-3.7968749999999964,-2.599545106479495,0.0,8.844915021211901e-05,0.00010613898025454281
oneweb_24,global_dijkstra,mean_queue_packets,20,2.1084288194444443,2.5903472222222224,-0.4819184027777778,-0.4952256944444444,-5.339357691254058,0.0,8.844915021211901e-05,0.00010613898025454281
oneweb_24,full_heuristic,delivery_ratio,20,0.28141276041666663,0.19973958333333333,0.08167317708333333,0.08235677083333336,4.2484076810605105,0.0,8.832385863081277e-05,0.00013248578794621915
oneweb_24,full_heuristic,drop_rate,20,0.33173828125,0.39453125,-0.06279296875,-0.06445312500000003,-3.906671903849462,0.0,1.9073486328125e-06,5.7220458984375e-06
oneweb_24,full_heuristic,throughput_packets_per_slot,20,1.8010416666666669,1.2783333333333333,0.5227083333333333,0.5270833333333333,4.2484076810605105,0.0,8.819870204194453e-05,0.00013248578794621915
oneweb_24,full_heuristic,average_delay_slots,20,7.96219038370654,7.758162640090073,0.20402774361646708,0.29241405949956123,0.33432961170379477,55.0,0.06372261047363281,0.07646713256835938
oneweb_24,full_heuristic,p95_delay_slots,20,18.025624999999998,18.787499999999994,-0.7618750000000014,-0.46562500000000284,-0.4071190695091482,60.0,0.09730720520019531,0.09730720520019531
oneweb_24,full_heuristic,mean_queue_packets,20,2.1084288194444443,2.2595833333333335,-0.15115451388888893,-0.12569444444444433,-1.475819828037155,0.0,1.9073486328125e-06,5.7220458984375e-06
starlink_24,global_dijkstra,delivery_ratio,20,0.3642578125,0.3963541666666667,-0.03209635416666669,-0.03515625000000003,-1.5330712336008108,1.0,3.814697265625e-06,1.1444091796875e-05
starlink_24,global_dijkstra,drop_rate,20,0.2076822916666666,0.14244791666666665,0.06523437500000001,0.06803385416666669,3.488271442962285,0.0,1.9073486328125e-06,1.1444091796875e-05
starlink_24,global_dijkstra,throughput_packets_per_slot,20,2.33125,2.5366666666666666,-0.20541666666666672,-0.2250000000000001,-1.533071233600809,1.5,0.00011126928015754344,0.00016690392023631517
starlink_24,global_dijkstra,average_delay_slots,20,9.038890130400445,8.59206525071178,0.4468248796886637,0.5600523612306558,0.9060798619509576,21.0,0.000850677490234375,0.00102081298828125
starlink_24,global_dijkstra,p95_delay_slots,20,19.005937499999998,20.384999999999998,-1.3790624999999999,-1.137500000000001,-0.7890463604667562,25.0,0.001689910888671875,0.001689910888671875
starlink_24,global_dijkstra,mean_queue_packets,20,2.2431163194444443,2.352013888888889,-0.10889756944444444,-0.10538194444444438,-1.5310895000493325,3.0,9.5367431640625e-06,1.9073486328125e-05
starlink_24,full_heuristic,delivery_ratio,20,0.3642578125,0.11171875,0.25253906249999997,0.24869791666666669,6.772060735500093,0.0,8.844915021211901e-05,0.00010613898025454281
starlink_24,full_heuristic,drop_rate,20,0.2076822916666666,0.39869791666666665,-0.19101562499999997,-0.19661458333333331,-5.055663268686282,0.0,8.844915021211901e-05,0.00010613898025454281
starlink_24,full_heuristic,throughput_packets_per_slot,20,2.33125,0.715,1.6162500000000002,1.5916666666666666,6.772060735500094,0.0,8.844915021211901e-05,0.00010613898025454281
starlink_24,full_heuristic,average_delay_slots,20,9.038890130400445,8.0151332498572,1.0237568805432433,0.7849333958806826,0.9078396397557256,10.0,8.20159912109375e-05,0.00010613898025454281
starlink_24,full_heuristic,p95_delay_slots,20,19.005937499999998,15.809999999999997,3.1959374999999994,3.6812500000000004,0.9377067652182208,20.0,0.0007076263427734375,0.0007076263427734375
starlink_24,full_heuristic,mean_queue_packets,20,2.2431163194444443,2.608402777777778,-0.36528645833333334,-0.3932291666666665,-3.9578073662726587,0.0,1.9073486328125e-06,1.1444091796875e-05
