episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
0,97,15,9,0,15,1,19,1,5,12.62,15 9,
0,98,3,9,2,15,1,19,1,5,12.21,3 9,
0,99,23,17,2,15,1,17,1,3,13.0,23 17,
0,100,7,10,1,15,1,20,3,6,19.72,7 12 11 10,
0,101,20,9,1,15,1,21,3,7,29.27,20 14 8 9,
0,102,13,23,1,15,1,20,3,6,24.78,13 19 24 23,
0,103,18,9,0,16,1,27,4,12,32.09,18 13 7 8 9,
0,104,9,6,2,16,0,-1,3,-1,22.64,9 8 7 12,
0,105,20,23,2,16,1,21,3,6,20.89,20 19 24 23,
0,106,19,9,0,16,1,29,4,14,39.2,19 13 7 8 9,
0,107,7,9,0,16,1,25,2,10,13.69,7 8 9,
0,108,17,9,0,16,1,22,3,7,26.76,17 16 15 9,
0,109,13,9,1,17,1,28,3,12,26.49,13 7 8 9,
0,110,1,15,1,17,1,28,4,12,39.73,1 7 13 14 15,
0,111,3,9,0,17,1,20,1,4,12.62,3 9,
0,112,18,9,0,17,0,-1,3,-1,26.88,18 13 7 8,
0,113,4,9,1,17,1,21,2,5,19.57,4 3 9,
0,114,7,9,0,17,1,26,2,10,13.9,7 8 9,
0,115,6,8,0,18,1,26,3,9,25.61,6 1 7 8,
0,116,22,9,0,18,1,27,3,10,34.29,22 21 3 9,
0,117,3,9,2,18,1,22,1,5,13.34,3 9,
0,118,10,9,1,18,1,26,1,9,7.69,10 9,
0,119,5,9,0,18,1,25,3,8,26.97,5 4 3 9,
0,120,8,9,2,18,1,23,1,6,6.7,8 9,
0,121,21,16,1,19,1,23,2,5,20.71,21 15 16,
0,122,8,9,1,19,1,24,1,6,6.89,8 9,
0,123,9,11,2,19,1,27,2,9,14.82,9 10 11,
0,124,18,9,0,19,0,-1,2,-1,20.5,18 13 7,
0,125,13,19,2,19,1,23,1,5,13.62,13 19,
0,126,11,24,1,19,1,23,3,5,34.35,11 5 6 24,
0,127,18,9,0,20,0,-1,2,-1,21.07,18 13 7,
0,128,7,9,2,20,0,-1,1,-1,7.39,7 8,
0,129,10,21,1,20,0,-1,2,-1,25.83,10 4 22,
0,130,3,9,0,20,1,26,1,7,14.0,3 9,
0,131,1,18,0,20,0,-1,2,-1,21.51,1 7 12,
0,132,13,9,0,20,0,-1,1,-1,13.83,13 7,
0,133,5,8,0,21,0,-1,3,-1,27.57,5 4 3 9,
0,134,4,9,1,21,1,28,2,8,20.53,4 3 9,
0,135,24,9,1,21,0,-1,3,-1,34.56,24 19 1 7,
0,136,19,9,0,21,0,-1,2,-1,26.62,19 1 7,
