packet_id,delivered,delay_ms
1,1,1009.33
2,1,3032
3,1,4010.67
4,1,3032
5,1,1009.33
6,1,3032
7,1,2022.67
8,1,2018.67
9,1,2022.67
10,1,4033.33
11,1,2026.67
12,1,1013.33
13,1,3024
14,1,5034.67
15,1,2026.67
16,1,5037.33
17,1,6038.67
18,1,5034.67
19,1,5036
20,1,9033.33
21,1,5028
22,1,4045.33
23,1,5036
24,1,3025.33
25,1,5037.33
26,1,1013.33
27,1,3032
28,1,3032
29,1,5017.33
30,1,6030.67
31,1,8034.67
32,1,1033.33
33,1,2026.67
34,1,6040
35,1,4029.33
36,1,1009.33
37,1,4045.33
38,1,11040
39,1,1013.33
40,1,5010.67
41,1,2022.67
42,1,5032
43,1,2037.33
44,1,9038.67
45,1,3036
46,1,7025.33
47,1,8037.33
48,1,4052
49,1,5024
50,1,4024
51,1,4022.67
52,1,6036
53,1,5042.67
54,1,2038.67
55,1,1013.33
56,1,2018.67
57,1,3010.67
58,1,10042.7
59,1,5044
60,1,4041.33
61,1,2018.67
62,1,12046.7
63,1,3032
64,1,7048
65,1,2041.33
66,1,4041.33
67,1,7041.33
68,1,5028
69,1,4045.33
70,1,5046.67
71,1,4042.67
72,1,2022.67
73,1,2022.67
74,1,3028
75,1,11048
76,1,3036
77,1,2026.67
78,1,8044
79,1,3037.33
80,1,8053.33
81,1,6050.67
82,1,4038.67
83,1,8045.33
84,1,6044
85,1,9056
86,1,1013.33
87,1,4049.33
88,1,5010.67
89,1,5041.33
90,1,6052
91,1,4028
92,1,7054.67
93,1,3040
94,1,15056
95,1,4050.67
96,1,1013.33
97,1,8048
98,1,4042.67
99,1,6045.33
100,1,4045.33
101,1,1012
102,1,4024
103,1,10046.7
104,1,2018.67
105,1,9060
106,1,8058.67
107,1,3036
108,1,9050.67
109,1,5046.67
110,1,3032
111,1,4040
112,1,8045.33
113,1,3044
114,1,6057.33
115,1,6049.33
116,1,8052
117,1,3028
118,1,2022.67
119,1,1013.33
120,1,9053.33
121,1,5044
122,1,2026.67
123,1,4014.67
124,1,1013.33
125,1,3041.33
126,1,3036
127,1,8021.33
128,1,5017.33
129,1,1009.33
130,1,2018.67
131,1,6018.67
132,1,1013.33
133,1,7054.67
134,1,7049.33
135,1,3016
136,1,8050.67
137,1,1009.33
138,1,1013.33
139,1,4045.33
140,1,1009.33
141,1,1037.33
142,1,2026.67
143,1,3032
144,1,4045.33
145,1,1009.33
146,1,1009.33
147,1,1013.33
148,1,4020
149,1,4048
150,1,3032
151,1,2029.33
152,1,1009.33
153,1,1009.33
154,1,1014.67
155,1,2026.67
156,1,3032
157,1,1010.67
158,1,1013.33
159,1,2018.67
160,1,1013.33
161,1,2018.67
162,1,4048
163,1,2022.67
164,1,2056
165,1,1033.33
166,1,2040
167,1,1009.33
168,1,1010.67
169,1,1049.33
170,1,1009.33
171,1,2022.67
172,1,2057.33
173,1,1013.33
174,1,1009.33
175,1,2018.67
176,1,1009.33
177,1,2022.67
178,1,1010.67
179,1,2021.33
180,1,1009.33
181,1,1013.33
182,1,1009.33
183,1,1014.67
184,1,1009.33
185,1,1009.33
186,1,1009.33
187,0,-1
188,0,-1
189,0,-1
190,0,-1
191,0,-1
192,0,-1
