policy,slot_sec,bw_kbps,qsize,sent,delivered,delivery_ratio,queue_drops,mean_delay_ms,p95_delay_ms,load_imbalance
mappo,0.5,36,8,880,880,1,0,1001.09,2009.33,0.710079
dijkstra,0.5,36,8,882,882,1,0,1021.57,2191.56,0.649608
mappo,0.25,36,8,880,859,0.976136,21,1507.75,3533.33,0.688581
dijkstra,0.25,36,8,882,872,0.988662,10,1500.62,3695.56,0.63916
mappo,0.125,36,8,880,714,0.811364,166,2206.6,4952.22,0.55886
dijkstra,0.125,36,8,882,739,0.837868,143,2257.83,5432.22,0.50486
mappo,0.0625,36,8,880,584,0.663636,296,2740.21,6844.5,0.451106
dijkstra,0.0625,36,8,882,604,0.684807,278,2383.35,6038.67,0.342221
