load_point,policy,metric,n,mean,ci95_low,ci95_high
exo2,full_heuristic,delivery_ratio,15,0.5583333333333333,0.5333333333333333,0.5822916666666667
exo2,full_heuristic,drop_rate,15,0.13645833333333332,0.11979166666666667,0.153125
exo2,full_heuristic,throughput_packets_per_slot,15,1.1911111111111112,1.1377777777777778,1.2422222222222221
exo2,full_heuristic,average_delay_slots,15,7.090702246838224,6.716692219595735,7.473288708910377
exo2,full_heuristic,p95_delay_slots,15,12.686666666666664,12.066583333333332,13.343499999999995
exo2,full_heuristic,mean_queue_packets,15,0.6073148148148149,0.5927777777777778,0.6222222222222222
exo2,global_dijkstra,delivery_ratio,15,0.9083333333333333,0.8979166666666667,0.9177083333333333
exo2,global_dijkstra,drop_rate,15,0.0,0.0,0.0
exo2,global_dijkstra,throughput_packets_per_slot,15,1.9377777777777772,1.915555555555555,1.9577777777777774
exo2,global_dijkstra,average_delay_slots,15,3.863647154742851,3.7531031753133783,3.981194455552479
exo2,global_dijkstra,p95_delay_slots,15,6.1,5.81,6.399999999999998
exo2,global_dijkstra,mean_queue_packets,15,0.24638888888888885,0.23759259259259255,0.2557407407407407
exo2,mappo,delivery_ratio,120,0.88515625,0.8796875,0.8903645833333333
exo2,mappo,drop_rate,120,0.00390625,0.00234375,0.005598958333333333
exo2,mappo,throughput_packets_per_slot,120,1.888333333333333,1.8766666666666665,1.8994444444444445
exo2,mappo,average_delay_slots,120,4.140530391935663,4.082598389357872,4.201093193747503
exo2,mappo,p95_delay_slots,120,7.457916666666664,7.178718749999996,7.7500104166666635
exo2,mappo,mean_queue_packets,120,0.27410879629629625,0.2689230324074074,0.2794791666666666
exo4,full_heuristic,delivery_ratio,15,0.428125,0.4114583333333333,0.44479166666666664
exo4,full_heuristic,drop_rate,15,0.15885416666666666,0.14321614583333334,0.17291666666666666
exo4,full_heuristic,throughput_packets_per_slot,15,1.8266666666666667,1.7555555555555558,1.8977777777777776
exo4,full_heuristic,average_delay_slots,15,8.170827825635374,7.760886499232543,8.557509667495365
exo4,full_heuristic,p95_delay_slots,15,16.923333333333332,16.06333333333333,17.70666666666666
exo4,full_heuristic,mean_queue_packets,15,1.463703703703704,1.4187037037037038,1.5099074074074075
exo4,global_dijkstra,delivery_ratio,15,0.8364583333333333,0.8203125,0.8536458333333333
exo4,global_dijkstra,drop_rate,15,0.0010416666666666667,0.0,0.0026041666666666665
exo4,global_dijkstra,throughput_packets_per_slot,15,3.5688888888888886,3.5,3.6422222222222222
exo4,global_dijkstra,average_delay_slots,15,4.975180550067112,4.788908148164084,5.141844480995046
exo4,global_dijkstra,p95_delay_slots,15,9.286666666666665,8.759916666666665,9.83
exo4,global_dijkstra,mean_queue_packets,15,0.6958333333333334,0.6633333333333334,0.723425925925926
exo4,mappo,delivery_ratio,120,0.826953125,0.8223307291666667,0.8315104166666667
exo4,mappo,drop_rate,120,0.009635416666666667,0.0080078125,0.011263020833333333
exo4,mappo,throughput_packets_per_slot,120,3.5283333333333338,3.5086111111111107,3.5477777777777777
exo4,mappo,average_delay_slots,120,4.827237990568471,4.776308817358593,4.877450370629679
exo4,mappo,p95_delay_slots,120,8.629583333333331,8.472062499999998,8.787093749999999
exo4,mappo,mean_queue_packets,120,0.6805439814814814,0.6710063657407408,0.6900347222222223
exo6,full_heuristic,delivery_ratio,15,0.33645833333333336,0.3215277777777778,0.35173611111111114
exo6,full_heuristic,drop_rate,15,0.16145833333333334,0.15104166666666666,0.17118055555555556
exo6,full_heuristic,throughput_packets_per_slot,15,2.1533333333333338,2.057777777777778,2.2511111111111117
exo6,full_heuristic,average_delay_slots,15,8.870476940546501,8.636207627993082,9.13771365932031
exo6,full_heuristic,p95_delay_slots,15,19.319999999999993,18.60666666666666,20.07341666666666
exo6,full_heuristic,mean_queue_packets,15,2.4803703703703706,2.4241643518518514,2.535740740740741
exo6,global_dijkstra,delivery_ratio,15,0.732638888888889,0.7229166666666668,0.7440972222222222
exo6,global_dijkstra,drop_rate,15,0.01840277777777778,0.01423611111111111,0.02257812499999988
exo6,global_dijkstra,throughput_packets_per_slot,15,4.688888888888889,4.626666666666667,4.7622222222222215
