group,baseline,metric,n_paired,mappo_mean,baseline_mean,mean_diff,median_diff,cohens_dz,wilcoxon_stat,raw_p,bh_p
n110,global_dijkstra,delivery_ratio,10,0.22311452513966482,0.23519553072625698,-0.012081005586592173,-0.013687150837988826,-2.1926663382599925,0.0,0.001953125,0.00390625
n110,global_dijkstra,drop_rate,10,0.21431564245810053,0.20625698324022346,0.008058659217877096,0.009636871508379885,1.7225714079174688,1.0,0.00390625,0.0046875
n110,global_dijkstra,throughput_packets_per_slot,10,6.656250000000002,7.0166666666666675,-0.3604166666666663,-0.4083333333333332,-2.19266633825999,0.0,0.001953125,0.00390625
n110,global_dijkstra,average_delay_slots,10,11.223652492264984,10.523865131101106,0.6997873611638786,0.7399229731802608,2.548332239473332,0.0,0.001953125,0.00390625
n110,global_dijkstra,p95_delay_slots,10,22.248749999999998,21.46,0.7887499999999978,0.6062499999999975,0.7031545790611518,11.0,0.10546875,0.10546875
n110,global_dijkstra,mean_queue_packets,10,2.9285795454545456,2.9045757575757576,0.024003787878787895,0.02301136363636358,1.4866505160849206,1.0,0.00390625,0.0046875
n110,full_heuristic,delivery_ratio,10,0.22311452513966482,0.07217877094972068,0.15093575418994412,0.15174581005586593,10.491403452366328,0.0,0.001953125,0.0029296875
n110,full_heuristic,drop_rate,10,0.21431564245810053,0.29061452513966485,-0.07629888268156426,-0.07527932960893857,-12.089327703172787,0.0,0.001953125,0.0029296875
n110,full_heuristic,throughput_packets_per_slot,10,6.656250000000002,2.1533333333333333,4.502916666666667,4.527083333333334,10.49140345236633,0.0,0.001953125,0.0029296875
n110,full_heuristic,average_delay_slots,10,11.223652492264984,11.088329118836361,0.13532337342862152,0.4317449154851145,0.1367025110996966,17.0,0.322265625,0.322265625
n110,full_heuristic,p95_delay_slots,10,22.248749999999998,23.334999999999997,-1.0862499999999986,-1.6187499999999986,-0.6478405387151493,10.0,0.083984375,0.10078125
n110,full_heuristic,mean_queue_packets,10,2.9285795454545456,3.305848484848485,-0.37726893939393935,-0.36520833333333336,-8.486442903738707,0.0,0.001953125,0.0029296875
n132,global_dijkstra,delivery_ratio,10,0.15762310606060606,0.18892045454545456,-0.03129734848484848,-0.031072443181818177,-7.550383123420116,0.0,0.001953125,0.00234375
n132,global_dijkstra,drop_rate,10,0.2437973484848485,0.22935606060606065,0.014441287878787876,0.014382102272727279,2.243752601473825,0.0,0.001953125,0.00234375
n132,global_dijkstra,throughput_packets_per_slot,10,5.548333333333334,6.65,-1.1016666666666666,-1.09375,-7.550383123420108,0.0,0.001953125,0.00234375
n132,global_dijkstra,average_delay_slots,10,11.971486755373627,11.074038294572555,0.8974484608010744,0.9498960708135069,2.512601123429926,0.0,0.001953125,0.00234375
n132,global_dijkstra,p95_delay_slots,10,24.049374999999998,23.139999999999993,0.9093750000000022,1.1093750000000178,0.5836508239591971,11.0,0.10546875,0.10546875
n132,global_dijkstra,mean_queue_packets,10,3.0576010101010103,2.987323232323232,0.07027777777777784,0.0690498737373737,4.289969088611688,0.0,0.001953125,0.00234375
