slot_sec,load_x,n_episodes,mappo_mean,mappo_lo,mappo_hi,dijkstra_mean,dijkstra_lo,dijkstra_hi,gap_pp,wilcoxon_p,mappo_deadline_drops,dijkstra_deadline_drops,mappo_wait_events,dijkstra_wait_events
1.0,1,8,0.8286,0.8126,0.844,0.4929,0.3878,0.598,33.57,7.812e-03,0,0,189,0
0.5,2,8,0.8286,0.8126,0.844,0.49,0.384,0.5969,33.86,7.812e-03,0,0,180,0
0.25,4,8,0.7679,0.7431,0.7916,0.4634,0.3618,0.5666,30.44,7.812e-03,56,27,178,0
0.125,8,8,0.341,0.3023,0.3932,0.2273,0.1717,0.2833,11.37,3.906e-02,461,426,157,0
env,0,8,0.7663,0.7441,0.7877,,,,,,,,,
env,0,8,,,,0.4316,0.3327,0.5306,,,,,,
