episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
0,97,15,9,0,15,1,19,1,5,12.62,15 9,
0,98,3,9,2,15,1,21,1,7,13.0,3 9,
0,99,23,17,2,15,1,23,7,9,67.25,23 24 19 13 18 12 11 17,
0,100,7,10,1,15,1,18,3,4,19.52,7 12 11 10,
0,101,20,9,1,15,0,-1,4,-1,33.58,20 21 22 16 15,deadline_exceeded
0,102,13,23,1,15,1,21,3,7,26.97,13 18 17 23,
0,103,18,9,0,16,1,26,4,11,33.74,18 13 14 15 9,
0,104,9,6,2,16,1,24,4,9,34.48,9 10 11 12 6,
0,105,20,23,2,16,1,22,3,7,20.89,20 19 24 23,
0,106,19,9,0,16,1,27,4,12,40.86,19 20 21 15 9,
0,107,7,9,0,16,1,22,2,7,13.69,7 8 9,
0,108,17,9,0,16,1,26,3,11,28.09,17 16 10 9,
0,109,13,9,1,17,1,25,3,9,27.46,13 14 15 9,
0,110,1,15,1,17,1,27,6,11,55.57,1 2 20 21 22 16 15,
0,111,3,9,0,17,1,28,3,12,27.91,3 2 8 9,
0,112,18,9,0,17,1,28,4,12,33.4,18 13 14 15 9,
0,113,4,9,1,17,0,-1,3,-1,26.89,4 3 2 8,deadline_exceeded
0,114,7,9,0,17,1,23,2,7,13.59,7 8 9,
0,115,6,8,0,18,1,21,3,4,25.0,6 1 7 8,
0,116,22,9,0,18,1,30,5,13,46.34,22 21 20 14 15 9,
0,117,3,9,2,18,1,24,1,7,13.83,3 9,
0,118,10,9,1,18,1,22,1,5,6.7,10 9,
0,119,5,9,0,18,1,25,3,8,26.97,5 4 3 9,
0,120,8,9,2,18,0,-1,4,-1,35.33,8 7 13 14 15,
0,121,21,16,1,19,1,23,2,5,20.7,21 22 16,
0,122,8,9,1,19,1,26,1,8,7.39,8 9,
0,123,9,11,2,19,1,24,2,6,13.9,9 10 11,
0,124,18,9,0,19,1,27,4,9,35.59,18 17 16 10 9,
0,125,13,19,2,19,1,22,1,4,13.34,13 19,
0,126,11,24,1,19,1,22,3,4,34.36,11 12 6 24,
0,127,18,9,0,20,0,-1,3,-1,21.63,18 17 16 15,
0,128,7,9,2,20,1,27,2,8,14.2,7 8 9,
0,129,10,21,1,20,0,-1,2,-1,21.35,10 9 15,
0,130,3,9,0,20,1,26,1,7,14.0,3 9,
0,131,1,18,0,20,1,26,3,7,34.46,1 6 12 18,
0,132,13,9,0,20,1,29,3,10,28.71,13 14 8 9,
0,133,5,8,0,21,1,26,4,6,35.85,5 6 1 7 8,
0,134,4,9,1,21,1,27,2,7,20.66,4 3 9,
0,135,24,9,1,21,0,-1,5,-1,43.51,24 23 22 21 20 14,
0,136,19,9,0,21,0,-1,4,-1,35.92,19 20 21 3 4,
0,137,12,9,1,21,1,30,3,10,23.0,12 7 8 9,
0,138,16,9,1,21,0,-1,1,-1,6.89,16 15,
0,139,5,1,1,22,1,25,2,4,15.7,5 6 1,
0,140,11,17,1,22,1,24,1,3,13.96,11 17,
0,141,21,4,0,22,1,26,2,5,20.46,21 22 4,
0,142,19,9,0,22,0,-1,3,-1,27.08,19 20 21 3,
0,143,4,9,1,22,1,28,2,7,20.71,4 3 9,
0,144,15,23,0,22,0,-1,1,-1,8.61,15 16,
0,145,2,6,1,23,1,26,2,4,15.5,2 1 6,
0,146,14,17,1,23,1,28,3,6,24.65,14 13 18 17,
0,147,4,9,0,23,1,29,2,7,20.74,4 3 9,
0,148,17,9,2,23,0,-1,2,-1,20.73,17 16 10,
0,149,1,9,0,23,0,-1,2,-1,14.09,1 2 3,
0,150,16,9,2,23,0,-1,1,-1,7.69,16 15,
0,151,21,9,1,24,0,-1,3,-1,29.62,21 20 14 15,
0,152,5,9,1,24,0,-1,2,-1,15.38,5 4 3,
0,153,10,9,0,24,1,28,1,5,8.31,10 9,
0,154,24,9,0,24,0,-1,3,-1,24.31,24 23 22 21,
0,155,16,12,0,24,0,-1,2,-1,18.18,16 17 18,
0,156,23,9,0,24,0,-1,2,-1,21.62,23 17 16,
0,157,9,18,1,25,0,-1,2,-1,17.11,9 10 11,
0,158,22,9,2,25,0,-1,2,-1,20.62,22 21 15,
0,159,6,17,1,25,1,28,3,4,33.55,6 5 23 17,
0,160,4,9,0,25,0,-1,1,-1,8.0,4 3,
0,161,21,17,1,25,0,-1,1,-1,8.61,21 22,
0,162,16,2,2,25,0,-1,1,-1,12.21,16 22,
0,163,6,20,1,26,1,29,3,4,29.32,6 24 19 20,
0,164,8,9,2,26,0,-1,0,-1,0.0,8,
0,165,15,9,2,26,0,-1,0,-1,0.0,15,
0,166,18,9,0,26,0,-1,3,-1,30.49,18 17 11 10,
0,167,16,17,0,26,0,-1,0,-1,0.0,16,
0,168,13,9,2,26,0,-1,2,-1,21.03,13 14 8,
0,169,13,9,1,27,0,-1,1,-1,8.0,13 14,
0,170,21,9,2,27,0,-1,0,-1,0.0,21,
0,171,2,20,1,27,1,28,1,2,13.34,2 20,
0,172,22,9,0,27,0,-1,1,-1,8.61,22 21,
0,173,15,9,2,27,0,-1,0,-1,0.0,15,
0,174,9,1,1,27,0,-1,1,-1,8.0,9 8,
0,175,20,9,1,28,0,-1,1,-1,12.62,20 2,
0,176,7,18,2,28,1,30,2,3,21.09,7 12 18,
0,177,8,9,1,28,0,-1,0,-1,0.0,8,
0,178,3,9,2,28,0,-1,0,-1,0.0,3,
0,179,22,10,0,28,0,-1,1,-1,11.79,22 4,
0,180,12,9,2,28,0,-1,2,-1,18.23,12 11 10,
0,181,20,9,0,29,0,-1,0,-1,0.0,20,
0,182,14,9,0,29,0,-1,0,-1,0.0,14,
0,183,22,12,0,29,0,-1,0,-1,0.0,22,
0,184,19,9,0,29,0,-1,1,-1,8.31,19 20,
0,185,13,9,0,29,0,-1,1,-1,13.62,13 7,
0,186,21,9,2,29,0,-1,0,-1,0.0,21,
0,187,14,9,1,30,0,-1,0,-1,0.0,14,
0,188,5,9,1,30,0,-1,0,-1,0.0,5,
0,189,7,9,0,30,0,-1,0,-1,0.0,7,
0,190,8,1,0,30,0,-1,0,-1,0.0,8,
0,191,10,20,1,30,0,-1,0,-1,0.0,10,
0,192,3,10,1,30,0,-1,0,-1,0.0,3,
1,1,13,9,1,1,1,3,3,3,30.53,13 14 8 9,
1,2,16,9,1,1,1,2,2,2,21.32,16 15 9,
1,3,15,9,2,1,1,1,1,1,12.62,15 9,
1,4,2,9,0,1,1,2,2,2,21.5,2 3 9,
1,5,23,9,1,1,1,5,4,5,40.98,23 22 21 15 9,
1,6,4,9,2,1,1,3,2,3,21.32,4 3 9,
1,7,21,9,0,1,1,4,2,4,23.58,21 3 9,
1,8,1,3,1,1,1,2,2,2,17.72,1 2 3,
1,9,22,9,1,1,1,4,3,4,32.29,22 21 15 9,
1,10,9,11,0,1,1,2,2,2,18.54,9 10 11,
1,11,14,9,2,1,1,3,2,3,20.67,14 15 9,
1,12,11,2,0,1,1,5,4,5,39.94,11 10 9 8 2,
1,13,24,19,0,1,1,2,1,2,9.49,24 19,
1,14,3,9,0,1,1,5,1,5,11.38,3 9,
1,15,5,23,2,1,1,2,1,2,10.66,5 23,
1,16,12,15,0,1,1,5,4,5,39.48,12 11 17 16 15,
1,17,22,9,1,1,1,7,3,7,30.81,22 21 15 9,
1,18,4,21,0,1,1,6,2,6,19.47,4 3 21,
1,19,22,9,1,2,1,8,3,7,30.33,22 21 15 9,
1,20,17,9,2,2,1,5,3,4,29.98,17 16 10 9,
1,21,1,9,1,2,1,6,3,5,30.82,1 2 8 9,
1,22,14,9,0,2,1,6,2,5,19.96,14 15 9,
1,23,19,12,0,2,1,5,3,4,29.85,19 24 6 12,
1,24,8,16,0,2,1,9,3,8,30.16,8 14 15 16,
1,25,9,2,2,3,1,8,2,6,20.68,9 3 2,
1,26,3,18,1,3,1,11,5,9,47.46,3 2 20 19 24 18,
1,27,23,5,0,3,1,4,1,2,10.17,23 5,
1,28,18,9,0,3,1,8,4,6,38.29,18 12 7 8 9,
1,29,11,9,2,3,1,6,2,4,18.92,11 10 9,
1,30,13,18,2,3,1,4,1,2,9.3,13 18,
1,31,22,9,0,4,1,8,3,5,29.88,22 16 10 9,
1,32,23,9,0,4,1,10,4,7,38.46,23 22 4 10 9,
1,33,10,7,2,4,1,9,3,6,25.72,10 11 12 7,
1,34,2,15,1,4,1,7,3,4,30.33,2 20 21 15,
1,35,8,3,2,4,1,8,2,5,19.81,8 9 3,
1,36,14,9,0,4,1,10,2,7,19.49,14 15 9,
1,37,7,21,0,5,1,10,4,6,39.35,7 13 14 20 21,
1,38,3,6,0,5,1,20,5,16,45.69,3 4 10 11 12 6,
1,39,16,9,0,5,1,11,2,7,19.34,16 15 9,
1,40,13,11,2,5,1,8,3,4,27.76,13 18 17 11,
1,41,11,9,0,5,1,9,2,5,18.18,11 10 9,
1,42,12,9,0,5,1,9,3,5,27.42,12 7 8 9,
1,43,19,9,0,6,1,13,4,8,39.1,19 1 2 3 9,
1,44,6,9,0,6,1,13,4,8,35.45,6 5 4 10 9,
1,45,16,8,0,6,1,12,3,7,26.67,16 10 9 8,
1,46,7,9,0,6,1,10,2,5,18.18,7 8 9,
1,47,4,9,1,6,1,11,2,6,19.11,4 3 9,
1,48,5,9,1,6,1,12,3,7,26.78,5 11 10 9,
1,49,3,4,0,7,1,10,1,4,8.61,3 4,
1,50,18,15,1,7,1,10,3,4,26.49,18 13 14 15,
1,51,6,9,1,7,1,13,4,7,35.65,6 1 2 8 9,
1,52,5,9,2,7,1,14,3,8,25.7,5 11 10 9,
1,53,4,3,0,7,1,9,1,3,8.88,4 3,
1,54,9,24,0,7,0,-1,12,-1,104.44,9 8 7 12 6 5 4 22 21 20 14 13 18,ttl_exceeded
1,55,24,9,1,8,1,16,5,9,45.68,24 19 13 14 15 9,
1,56,3,9,0,8,1,12,1,5,10.04,3 9,
1,57,7,15,2,8,1,12,3,5,27.37,7 13 14 15,
1,58,9,16,0,8,1,15,2,8,19.99,9 10 16,
1,59,2,9,1,8,1,12,2,5,18.48,2 8 9,
1,60,16,9,0,8,1,12,2,5,19.05,16 15 9,
1,61,9,16,1,9,1,13,2,5,17.73,9 15 16,
1,62,18,9,0,9,1,16,4,8,33.2,18 12 7 8 9,
1,63,11,24,0,9,0,-1,10,-1,81.51,11 12 6 5 4 3 2 1 19 20 21,
1,64,24,8,1,9,1,14,4,6,37.13,24 19 20 2 8,
1,65,23,21,0,9,1,11,2,3,16.62,23 22 21,
1,66,5,9,0,9,1,16,5,8,43.0,5 6 1 2 3 9,
1,67,4,9,0,10,1,14,2,5,18.38,4 3 9,
1,68,10,9,1,10,1,16,1,7,6.89,10 9,
1,69,18,9,0,10,1,14,4,5,33.73,18 17 16 15 9,
1,70,16,12,2,10,1,14,3,5,26.91,16 17 18 12,
1,71,14,9,0,10,1,14,2,5,17.69,14 8 9,
1,72,1,9,0,10,1,15,3,6,27.86,1 2 3 9,
1,73,9,5,2,11,1,19,3,9,23.38,9 3 4 5,
1,74,4,9,0,11,1,18,2,8,19.48,4 3 9,
1,75,5,9,0,11,1,19,3,9,27.29,5 4 3 9,
