run_id,record_type,environment_steps,update_round,optimizer_updates,actor_loss,critic_loss,normalized_entropy,approx_kl,clip_fraction,actor_gradient_pre_clip,critic_gradient_pre_clip,actor_gradient_post_clip,critic_gradient_post_clip,explained_variance,advantage_mean,advantage_std,return_mean,return_std,action_slot_frequency
leo_multi__frequent_break__seed-1024__2026-07-15_13-59-18__EXP-004,training_update,60,1,12,-0.001698982436209917,158.84643109639487,0.6278942128022512,6.465896452330829e-06,0.0,0.015827290636176865,276.36467361450195,0.015827290636176865,0.4999999900658925,-0.006524324417114258,1.8003035506808374e-08,1.0,-13.758600234985352,5.451328754425049,"[0.0, 0.26428571343421936, 0.2612244784832001, 0.30408161878585815, 0.17040815949440002, 0.0, 0.0]"
leo_multi__frequent_break__seed-1024__2026-07-15_13-59-18__EXP-004,training_update,120,2,24,-0.0025138817727565765,155.41112899780273,0.5669220685958862,1.6141160017468792e-06,0.0,0.01549156871624291,496.14857482910156,0.01549156871624291,0.5000000024835268,0.015947341918945312,-5.373623324089749e-08,0.9999999403953552,-19.495466232299805,5.546881675720215,"[0.0, 0.25868725776672363, 0.2210424691438675, 0.3011583089828491, 0.21911196410655975, 0.0, 0.0]"
leo_multi__frequent_break__seed-1024__2026-07-15_13-59-18__EXP-004,training_update,180,3,36,-0.008706703316420317,108.2109743754069,0.6821828732887903,2.6590138926252394e-06,0.0,0.021016963524743915,652.6061019897461,0.021016963524743915,0.4999999826153119,-0.02693009376525879,3.872170850627299e-08,1.0,-25.976200103759766,4.977528095245361,"[0.0, 0.25944840908050537, 0.2676200270652771, 0.26353421807289124, 0.2093973457813263, 0.0, 0.0]"
leo_multi__frequent_break__seed-1024__2026-07-15_13-59-18__EXP-004,training_update,240,4,48,-0.002652041109589239,74.93146053949992,0.7104183336098989,5.832737752342609e-06,0.0,0.021660114948948223,796.3461685180664,0.021660114948948223,0.4999999900658925,0.26278072595596313,-2.862479675513896e-07,0.9999999403953552,-34.584449768066406,5.165677547454834,"[0.0, 0.2606924772262573, 0.2698574364185333, 0.2708757519721985, 0.19857433438301086, 0.0, 0.0]"
leo_multi__frequent_break__seed-1024__2026-07-15_13-59-18__EXP-004,training_update,300,5,60,-0.00223790411837399,75.51722327868144,0.6417312175035477,1.1685362281355083e-05,0.0,0.02270946915571888,1005.8707427978516,0.02270946915571888,0.5000000024835268,0.3252185583114624,2.701337962207617e-07,1.0,-45.06377029418945,4.850072383880615,"[0.0, 0.23906977474689484, 0.2632558047771454, 0.2474418580532074, 0.2502325475215912, 0.0, 0.0]"
leo_multi__frequent_break__seed-42__2026-07-15_13-58-51__EXP-004,training_update,60,1,12,-0.0018689995631575584,188.64148076375326,0.6204961091279984,1.1096720835250077e-05,0.0,0.014622718289804956,227.9983278910319,0.014622718289804956,0.4999999925494194,0.012502014636993408,6.182086309536317e-08,1.0,-13.734891891479492,5.525635719299316,"[0.0, 0.24755381047725677, 0.2857142984867096, 0.2945205569267273, 0.17221134901046753, 0.0, 0.0]"
leo_multi__frequent_break__seed-42__2026-07-15_13-58-51__EXP-004,training_update,120,2,24,-0.0028570576881368956,198.65728759765625,0.5794620762268702,1.0364020468500712e-06,0.0,0.014778685717222592,381.11695098876953,0.014778685717222592,0.4999999900658925,0.020883917808532715,1.4423858374357224e-07,1.0,-16.905216217041016,5.529383659362793,"[0.0, 0.263671875, 0.240234375, 0.306640625, 0.189453125, 0.0, 0.0]"
leo_multi__frequent_break__seed-42__2026-07-15_13-58-51__EXP-004,training_update,180,3,36,-0.005469541531056166,166.59739112854004,0.6793709198633829,1.2578354769014291e-05,0.0,0.01442608997846643,573.9131978352865,0.01442608997846643,0.4999999751647313,0.005811214447021484,1.4798393976889201e-07,0.9999999403953552,-19.65623664855957,5.008202075958252,"[0.0, 0.2596348822116852, 0.2849898636341095, 0.26267749071121216, 0.19269776344299316, 0.0, 0.0]"
leo_multi__frequent_break__seed-42__2026-07-15_13-58-51__EXP-004,training_update,240,4,48,-0.004188496852293611,119.49768320719402,0.7064977834622065,2.4517687708206872e-06,0.0,0.014383709679047266,727.2417958577474,0.014383709679047266,0.4999999875823657,0.021593987941741943,-2.5858334140593797e-08,1.0,-23.444034576416016,4.915660381317139,"[0.0, 0.26567164063453674, 0.25572139024734497, 0.26467663049697876, 0.21393035352230072, 0.0, 0.0]"
leo_multi__frequent_break__seed-42__2026-07-15_13-58-51__EXP-004,training_update,300,5,60,-0.004404880339279771,132.95086574554443,0.6608268121878306,1.68193774463532e-06,0.0,0.013535139616578817,1075.8795115152996,0.013535139616578817,0.4999999975164731,-0.005745291709899902,-1.7961170328817389e-07,1.0,-31.327007293701172,5.10292911529541,"[0.0, 0.23709368705749512, 0.24856597185134888, 0.26003822684288025, 0.25430211424827576, 0.0, 0.0]"
leo_multi__frequent_break__seed-7__2026-07-15_13-58-25__EXP-004,training_update,60,1,12,-0.0031800453240672746,164.6819814046224,0.6210915793975195,3.402100063946515e-05,0.0,0.018001403504361708,240.43739954630533,0.018001403504361708,0.4999999900658925,0.0074860453605651855,3.67872416973114e-08,1.0,-13.488600730895996,5.321326732635498,"[0.0, 0.26171875, 0.30078125, 0.279296875, 0.158203125, 0.0, 0.0]"
leo_multi__frequent_break__seed-7__2026-07-15_13-58-25__EXP-004,training_update,120,2,24,-0.0036884799289206662,176.93080266316733,0.5738897124926249,1.7653104791293117e-06,0.0,0.014365629215414325,416.2588144938151,0.014365629215414325,0.4999999875823657,0.01054161787033081,-2.2646316821806067e-08,1.0,-17.648908615112305,5.432392120361328,"[0.0, 0.23818707466125488, 0.2584378123283386, 0.30086788535118103, 0.20250722765922546, 0.0, 0.0]"
leo_multi__frequent_break__seed-7__2026-07-15_13-58-25__EXP-004,training_update,180,3,36,-0.002902346197515726,138.61899375915527,0.6793120702107748,1.5824736501931131e-06,0.0,0.01597525862356027,606.7282485961914,0.01597525862356027,0.4999999950329463,-0.013477444648742676,-1.7339533542326535e-07,0.9999999403953552,-21.627178192138672,5.007741928100586,"[0.0, 0.25740551948547363, 0.27272728085517883, 0.2614913284778595, 0.20837590098381042, 0.0, 0.0]"
leo_multi__frequent_break__seed-7__2026-07-15_13-58-25__EXP-004,training_update,240,4,48,-0.001389746864636739,105.41785319646199,0.7231512814760208,7.917126911394234e-06,0.0,0.022238402782628935,797.4516398111979,0.022238402782628935,0.4999999875823657,-0.06438875198364258,-1.9972996767592122e-07,1.0,-28.199668884277344,5.033168315887451,"[0.0, 0.26267749071121216, 0.2281947284936905, 0.2870182693004608, 0.22210952639579773, 0.0, 0.0]"
leo_multi__frequent_break__seed-7__2026-07-15_13-58-25__EXP-004,training_update,300,5,60,-0.001245304166028897,98.55883757273357,0.6575108418862025,1.162582749240452e-05,0.0,0.0196903458951662,1052.5840810139973,0.0196903458951662,0.4999999801317851,0.14038830995559692,9.608084639012304e-08,1.0,-37.02214813232422,5.053792476654053,"[0.0, 0.21814671158790588, 0.26833978295326233, 0.26061776280403137, 0.2528957426548004, 0.0, 0.0]"
leo_multi__medium_load__seed-1024__2026-07-15_13-57-45__EXP-004,training_update,60,1,12,-0.01090738953401645,124.30167198181152,0.9742578069368998,1.4383944370403393e-05,0.0,0.01903433391513924,244.35239028930664,0.01903433391513924,0.4999999801317851,-0.004518628120422363,-1.5331025338127802e-07,1.0,-12.570538520812988,4.67631721496582,"[0.0, 0.24415794014930725, 0.27397260069847107, 0.27316680550575256, 0.20870265364646912, 0.0, 0.0]"
leo_multi__medium_load__seed-1024__2026-07-15_13-57-45__EXP-004,training_update,120,2,24,-0.006676989297072093,109.20242055257161,0.9745119114716848,7.859723571831031e-06,0.0,0.023686896543949842,412.97642517089844,0.023686896543949842,0.4999999950329463,0.0397946834564209,-5.3464706439854126e-08,1.0,-17.72338104248047,4.437532424926758,"[0.0, 0.24167987704277039, 0.26545166969299316, 0.27733755111694336, 0.2155309021472931, 0.0, 0.0]"
