episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
0,98,3,9,2,15,1,20,1,6,12.62,3 9,
0,99,23,17,2,15,1,17,1,3,13.0,23 17,
0,100,7,10,1,15,1,19,3,5,19.52,7 12 11 10,
0,101,20,9,1,15,1,25,3,11,33.89,20 21 15 9,
0,102,13,23,1,15,1,20,3,6,26.84,13 18 17 23,
0,103,18,9,0,16,1,27,4,12,33.61,18 13 14 15 9,
0,104,9,6,2,16,1,21,4,6,33.74,9 10 11 12 6,
0,105,20,23,2,16,1,20,3,5,20.29,20 19 24 23,
0,106,19,9,0,16,1,24,4,9,41.14,19 20 21 3 9,
0,107,7,9,0,16,1,20,2,5,13.39,7 8 9,
0,108,17,9,0,16,1,28,3,13,26.63,17 16 15 9,
0,109,13,9,1,17,1,26,3,10,27.41,13 14 15 9,
0,110,1,15,1,17,1,24,4,8,41.03,1 2 3 9 15,
0,111,3,9,0,17,1,21,1,5,13.0,3 9,
0,112,18,9,0,17,1,24,4,8,33.16,18 13 14 8 9,
0,113,4,9,1,17,1,19,2,3,18.72,4 10 9,
0,114,7,9,0,17,1,22,2,6,13.27,7 8 9,
0,115,6,8,0,18,1,21,3,4,25.89,6 1 2 8,
0,116,22,9,0,18,1,27,3,10,34.29,22 21 3 9,
0,117,3,9,2,18,1,22,1,5,13.34,3 9,
0,118,10,9,1,18,1,20,1,3,6.51,10 9,
0,119,5,9,0,18,1,25,3,8,26.97,5 4 3 9,
0,120,8,9,2,18,1,21,1,4,6.51,8 9,
0,121,21,16,1,19,1,23,2,5,20.7,21 22 16,
0,122,8,9,1,19,1,23,1,5,6.7,8 9,
0,123,9,11,2,19,1,21,2,3,13.21,9 10 11,
0,124,18,9,0,19,1,30,4,12,33.66,18 17 16 15 9,
0,125,13,19,2,19,1,21,1,3,13.0,13 19,
0,126,11,24,1,19,1,23,3,5,34.46,11 12 6 24,
0,127,18,9,0,20,1,26,4,7,35.92,18 17 16 10 9,
0,128,7,9,2,20,1,25,2,6,13.63,7 8 9,
0,129,10,21,1,20,1,28,3,9,33.32,10 9 3 21,
0,130,3,9,0,20,1,26,1,7,14.0,3 9,
0,131,1,18,0,20,1,23,3,4,34.77,1 6 24 18,
0,132,13,9,0,20,0,-1,2,-1,13.21,13 14 15,
0,133,5,8,0,21,1,26,4,6,35.96,5 6 1 2 8,
0,134,4,9,1,21,1,23,2,3,20.5,4 10 9,
0,135,24,9,1,21,0,-1,4,-1,34.8,24 19 20 21 15,
0,136,19,9,0,21,1,29,4,9,40.78,19 20 21 3 9,
0,137,12,9,1,21,1,26,3,6,21.78,12 7 8 9,
0,138,16,9,1,21,1,24,2,4,20.95,16 10 9,
0,139,5,1,1,22,1,25,2,4,15.7,5 6 1,
0,140,11,17,1,22,1,23,1,2,14.0,11 17,
0,141,21,4,0,22,1,24,2,3,20.71,21 22 4,
0,142,19,9,0,22,0,-1,3,-1,27.16,19 20 21 3,
0,143,4,9,1,22,1,25,2,4,21.22,4 10 9,
0,144,15,23,0,22,0,-1,2,-1,17.72,15 16 17,
0,145,2,6,1,23,1,26,2,4,15.31,2 1 6,
0,146,14,17,1,23,1,26,3,4,23.32,14 13 18 17,
0,147,4,9,0,23,1,30,2,8,20.46,4 3 9,
0,148,17,9,2,23,0,-1,2,-1,15.08,17 16 15,
0,149,1,9,0,23,0,-1,2,-1,13.82,1 2 3,
0,150,16,9,2,23,0,-1,1,-1,7.39,16 15,
0,151,21,9,1,24,0,-1,1,-1,13.62,21 3,
0,152,5,9,1,24,1,28,3,5,29.96,5 4 10 9,
0,153,10,9,0,24,1,27,1,4,8.0,10 9,
0,154,24,9,0,24,0,-1,3,-1,24.31,24 23 22 21,
0,155,16,12,0,24,1,29,3,6,29.4,16 17 18 12,
0,156,23,9,0,24,0,-1,3,-1,27.99,23 22 21 3,
0,157,9,18,1,25,1,29,4,5,36.1,9 8 7 12 18,
0,158,22,9,2,25,0,-1,2,-1,20.62,22 21 15,
0,159,6,17,1,25,1,28,3,4,33.55,6 5 23 17,
0,160,4,9,0,25,0,-1,1,-1,8.0,4 3,
0,161,21,17,1,25,0,-1,2,-1,17.43,21 22 23,
0,162,16,2,2,25,0,-1,1,-1,13.0,16 22,
0,163,6,20,1,26,1,29,3,4,29.57,6 1 2 20,
0,164,8,9,2,26,1,28,1,3,8.0,8 9,
0,165,15,9,2,26,0,-1,0,-1,0.0,15,
0,166,18,9,0,26,0,-1,2,-1,17.49,18 17 16,
0,167,16,17,0,26,1,29,1,4,8.88,16 17,
0,168,13,9,2,26,1,29,3,4,29.53,13 14 8 9,
0,169,13,9,1,27,0,-1,2,-1,16.0,13 14 15,
0,170,21,9,2,27,0,-1,0,-1,0.0,21,
0,171,2,20,1,27,1,28,1,2,13.34,2 20,
0,172,22,9,0,27,0,-1,2,-1,25.21,22 4 10,
0,173,15,9,2,27,0,-1,0,-1,0.0,15,
0,174,9,1,1,27,0,-1,2,-1,16.31,9 8 7,
0,175,20,9,1,28,0,-1,1,-1,8.31,20 21,
0,176,7,18,2,28,0,-1,1,-1,9.3,7 12,
0,177,8,9,1,28,0,-1,0,-1,0.0,8,
0,178,3,9,2,28,0,-1,0,-1,0.0,3,
0,179,22,10,0,28,0,-1,0,-1,0.0,22,
0,180,12,9,2,28,0,-1,1,-1,9.3,12 11,
0,181,20,9,0,29,0,-1,1,-1,13.0,20 14,
0,182,14,9,0,29,0,-1,1,-1,13.34,14 8,
0,183,22,12,0,29,0,-1,0,-1,0.0,22,
0,184,19,9,0,29,0,-1,1,-1,8.31,19 20,
0,185,13,9,0,29,0,-1,1,-1,8.31,13 14,
0,186,21,9,2,29,0,-1,0,-1,0.0,21,
0,187,14,9,1,30,0,-1,0,-1,0.0,14,
0,188,5,9,1,30,0,-1,0,-1,0.0,5,
0,189,7,9,0,30,0,-1,0,-1,0.0,7,
0,190,8,1,0,30,0,-1,0,-1,0.0,8,
0,191,10,20,1,30,0,-1,0,-1,0.0,10,
0,192,3,10,1,30,0,-1,0,-1,0.0,3,
1,1,13,9,1,1,1,3,3,3,30.53,13 14 8 9,
1,2,16,9,1,1,1,2,2,2,21.32,16 15 9,
1,3,15,9,2,1,1,1,1,1,12.62,15 9,
1,4,2,9,0,1,1,2,2,2,21.5,2 3 9,
1,5,23,9,1,1,1,5,4,5,40.98,23 22 21 3 9,
1,6,4,9,2,1,1,3,2,3,21.32,4 3 9,
1,7,21,9,0,1,1,3,2,3,24.0,21 15 9,
1,8,1,3,1,1,1,2,2,2,17.72,1 2 3,
1,9,22,9,1,1,1,5,3,5,31.91,22 21 15 9,
1,10,9,11,0,1,1,2,2,2,18.54,9 10 11,
1,11,14,9,2,1,1,4,2,4,20.26,14 15 9,
1,12,11,2,0,1,1,5,4,5,39.94,11 10 9 8 2,
1,13,24,19,0,1,1,2,1,2,9.49,24 19,
1,14,3,9,0,1,1,4,1,4,11.79,3 9,
1,15,5,23,2,1,1,2,1,2,10.66,5 23,
1,16,12,15,0,1,1,5,4,5,40.9,12 7 13 14 15,
1,17,22,9,1,1,1,7,3,7,30.81,22 21 15 9,
1,18,4,21,0,1,1,4,2,4,20.49,4 22 21,
1,19,22,9,1,2,1,8,3,7,30.05,22 21 15 9,
1,20,17,9,2,2,1,5,3,4,29.98,17 16 10 9,
1,21,1,9,1,2,1,6,3,5,30.82,1 2 8 9,
1,22,14,9,0,2,1,6,2,5,19.96,14 15 9,
1,23,19,12,0,2,1,5,3,4,29.85,19 24 6 12,
1,24,8,16,0,2,1,9,3,8,30.16,8 14 15 16,
1,25,9,2,2,3,1,7,2,5,20.81,9 3 2,
1,26,3,18,1,3,1,10,5,8,47.33,3 21 22 23 24 18,
1,27,23,5,0,3,1,4,1,2,10.17,23 5,
1,28,18,9,0,3,1,9,4,7,39.29,18 13 7 8 9,
1,29,11,9,2,3,1,6,2,4,18.92,11 10 9,
1,30,13,18,2,3,1,5,1,3,9.11,13 18,
1,31,22,9,0,4,1,11,3,8,29.52,22 16 15 9,
1,32,23,9,0,4,1,9,4,6,38.4,23 17 16 10 9,
1,33,10,7,2,4,1,9,3,6,25.72,10 11 12 7,
1,34,2,15,1,4,1,8,3,5,30.2,2 20 21 15,
1,35,8,3,2,4,1,8,2,5,19.81,8 9 3,
1,36,14,9,0,4,1,10,2,7,19.54,14 8 9,
1,37,7,21,0,5,1,10,4,6,38.8,7 8 14 20 21,
1,38,3,6,0,5,1,10,3,6,25.72,3 4 5 6,
1,39,16,9,0,5,1,10,2,6,19.43,16 15 9,
1,40,13,11,2,5,1,9,3,5,27.26,13 18 17 11,
1,41,11,9,0,5,1,8,2,4,18.41,11 10 9,
1,42,12,9,0,5,1,11,3,7,26.92,12 7 8 9,
1,43,19,9,0,6,1,13,4,8,37.71,19 20 14 8 9,
1,44,6,9,0,6,1,12,4,7,37.2,6 1 2 3 9,
1,45,16,8,0,6,1,12,3,7,26.92,16 10 9 8,
1,46,7,9,0,6,1,12,2,7,17.61,7 8 9,
1,47,4,9,1,6,1,9,2,4,19.47,4 3 9,
1,48,5,9,1,6,1,11,3,6,27.09,5 11 10 9,
1,49,3,4,0,7,1,10,1,4,8.61,3 4,
1,50,18,15,1,7,1,11,3,5,25.72,18 13 14 15,
1,51,6,9,1,7,1,13,4,7,34.61,6 5 11 10 9,
1,52,5,9,2,7,1,13,3,7,27.66,5 4 3 9,
1,53,4,3,0,7,1,8,1,2,9.11,4 3,
1,54,9,24,0,7,1,15,5,9,48.1,9 10 11 12 18 24,
1,55,24,9,1,8,1,13,5,6,46.49,24 19 20 21 15 9,
1,56,3,9,0,8,1,11,1,4,10.0,3 9,
1,57,7,15,2,8,1,13,3,6,27.05,7 13 14 15,
1,58,9,16,0,8,1,14,2,7,19.61,9 10 16,
1,59,2,9,1,8,1,14,2,7,17.86,2 8 9,
1,60,16,9,0,8,1,15,2,8,17.16,16 10 9,
1,61,9,16,1,9,1,12,2,4,18.04,9 15 16,
1,62,18,9,0,9,1,16,4,8,33.12,18 13 7 8 9,
1,63,11,24,0,9,1,13,3,5,30.48,11 12 18 24,
1,64,24,8,1,9,1,14,4,6,36.83,24 19 20 2 8,
1,65,23,21,0,9,1,11,2,3,16.62,23 22 21,
1,66,5,9,0,9,1,17,3,9,24.56,5 11 10 9,
1,67,4,9,0,10,1,14,2,5,18.69,4 3 9,
1,68,10,9,1,10,1,16,1,7,6.89,10 9,
1,69,18,9,0,10,1,15,4,6,34.06,18 17 16 15 9,
1,70,16,12,2,10,1,14,3,5,26.91,16 17 18 12,
1,71,14,9,0,10,1,14,2,5,18.97,14 15 9,
1,72,1,9,0,10,1,15,3,6,27.86,1 2 3 9,
1,73,9,5,2,11,1,19,3,9,27.2,9 10 11 5,
1,74,4,9,0,11,1,16,2,6,19.0,4 3 9,
1,75,5,9,0,11,1,20,3,10,24.01,5 11 10 9,
1,76,14,1,0,11,1,19,5,9,45.49,14 13 19 24 6 1,
1,77,12,9,2,11,1,18,3,8,21.59,12 7 8 9,
1,78,18,9,1,11,1,21,4,11,35.89,18 13 14 15 9,
1,79,22,9,0,12,1,17,3,6,30.18,22 16 15 9,
1,80,8,9,0,12,1,15,1,4,7.39,8 9,
1,81,21,10,2,12,1,16,3,5,30.86,21 22 16 10,
1,82,5,9,0,12,1,17,3,6,26.16,5 4 3 9,
1,83,6,9,2,12,1,19,4,8,31.19,6 1 7 8 9,
1,84,14,9,0,12,1,19,2,8,20.01,14 15 9,
