packet_id,delivered,delay_ms
2000021,1,2865.78
2000022,0,-1
2000023,0,-1
2000024,1,1375.11
2000025,0,-1
2000026,0,-1
2000027,1,1029.33
2000028,1,1525.33
2000029,1,683.556
2000030,0,-1
2000031,1,1517.33
2000032,1,517.333
2000033,1,691.556
2000034,1,1175.56
2000035,1,550.667
2000036,0,-1
2000037,0,-1
2000038,1,683.556
2000039,1,1517.33
2000040,0,-1
2000041,0,-1
2000042,0,-1
2000043,1,1533.33
2000044,1,1204.89
2000045,1,1867.11
2000046,0,-1
2000047,0,-1
2000048,0,-1
2000049,1,1700.89
2000050,1,2034.67
2000051,0,-1
2000052,1,1538.67
2000053,1,345.778
2000054,0,-1
2000055,0,-1
2000056,1,1375.11
2000057,1,704.889
2000058,1,687.556
2000059,1,2202.22
2000060,0,-1
2000061,1,1375.11
2000062,0,-1
2000063,1,1368.44
2000064,1,1206.22
2000065,1,872.444
2000066,1,1873.78
2000067,1,341.778
2000068,1,1040
2000069,1,2041.33
2000070,0,-1
2000071,1,2708.89
2000072,0,-1
2000073,0,-1
2000074,1,1207.56
2000075,0,-1
2000076,0,-1
2000077,1,1716.89
2000078,1,1375.11
2000079,1,517.333
2000080,1,1371.11
2000081,1,687.556
2000082,1,869.778
2000083,1,1375.11
2000084,1,536
2000085,1,703.556
2000086,1,345.778
2000087,1,1712.89
2000088,1,1542.67
2000089,1,1679.56
2000090,0,-1
2000091,0,-1
2000092,1,537.333
2000093,0,-1
2000094,1,345.778
2000095,0,-1
2000096,1,1376.44
2000097,0,-1
2000098,0,-1
2000099,1,687.556
2000100,1,1033.33
2000101,0,-1
2000102,1,345.778
2000103,1,867.111
2000104,0,-1
2000105,1,710.222
2000106,1,1175.56
2000107,0,-1
2000108,0,-1
2000109,0,-1
2000110,0,-1
2000111,1,1720.89
2000112,1,683.556
2000113,0,-1
2000114,1,1029.33
2000115,1,687.556
2000116,0,-1
2000117,0,-1
2000118,1,687.556
2000119,1,1029.33
2000120,0,-1
2000121,0,-1
2000122,0,-1
2000123,0,-1
2000124,1,1029.33
2000125,1,2025.33
2000126,0,-1
2000127,0,-1
2000128,0,-1
2000129,0,-1
2000130,0,-1
2000131,0,-1
2000132,0,-1
2000133,1,687.556
2000134,0,-1
2000135,0,-1
2000136,0,-1
2000137,0,-1
2000138,1,691.556
2000139,0,-1
2000140,0,-1
2000141,0,-1
2000143,0,-1
2000144,0,-1
2000145,0,-1
2000146,0,-1
2000147,0,-1
2000148,0,-1
2000149,0,-1
2000150,0,-1
2000151,0,-1
2000152,0,-1
2000153,0,-1
2000154,0,-1
2000155,0,-1
2000157,0,-1
2000158,1,687.556
2000159,0,-1
2000160,0,-1
2000161,0,-1
2000162,0,-1
2000163,0,-1
2000164,1,863.111
2000165,0,-1
2000166,0,-1
2000167,0,-1
2000168,0,-1
2000169,0,-1
2000170,0,-1
2000173,0,-1
2000174,0,-1
2000178,0,-1
2000179,0,-1
2000180,0,-1
2000185,0,-1
2000186,0,-1
3000001,1,1375.11
3000002,1,341.778
3000003,1,683.556
3000004,1,1371.11
3000005,1,1033.33
3000006,1,1696.89
3000007,1,1033.33
3000008,1,1716.89
3000009,1,1017.33
3000010,0,-1
3000011,1,687.556
3000012,0,-1
3000013,0,-1
3000014,1,1855.11
3000015,0,-1
3000016,1,687.556
3000017,0,-1
3000018,1,1371.11
3000019,0,-1
3000020,1,1852.44
3000021,1,521.333
3000022,1,341.778
3000023,0,-1
3000024,1,1518.67
3000025,0,-1
3000026,1,1686.22
3000027,1,2020
3000028,1,684.889
3000029,1,1050.67
3000030,0,-1
3000031,1,687.556
3000032,1,530.667
3000033,1,1375.11
3000034,1,1375.11
3000035,1,542.667
3000036,1,687.556
3000037,1,384.444
3000038,1,1353.78
3000039,1,3234.22
3000040,1,1208.89
3000041,1,1542.67
3000042,0,-1
3000043,1,1371.11
3000044,0,-1
3000045,1,1187.56
3000046,0,-1
3000047,0,-1
3000048,1,345.778
3000049,1,1688.89
3000050,1,341.778
3000051,1,1716.89
3000052,1,687.556
3000053,0,-1
3000054,1,1021.33
3000055,1,1029.33
3000056,0,-1
3000057,0,-1
3000058,1,1856.44
3000059,1,1522.67
3000060,1,345.778
3000061,1,355.111
3000062,0,-1
3000063,0,-1
3000064,1,2691.56
3000065,1,1050.67
3000066,1,341.778
3000067,1,1857.78
3000068,1,1720.89
3000069,0,-1
3000070,1,1190.22
3000071,1,2525.33
3000072,1,1375.11
3000073,0,-1
3000074,0,-1
3000075,1,3032
3000076,0,-1
3000077,1,1029.33
3000078,1,1363.11
3000079,1,687.556
3000080,1,2880.44
3000081,1,1859.11
3000082,1,345.778
3000083,0,-1
3000084,1,1864.44
3000085,0,-1
3000086,1,2026.67
3000087,1,2365.78
3000088,1,345.778
3000089,1,341.778
3000090,1,696.889
3000091,0,-1
3000092,1,1033.33
3000093,1,691.556
3000094,1,687.556
3000095,1,345.778
3000096,0,-1
3000097,1,1375.11
3000098,1,2033.33
3000099,1,855.111
3000100,0,-1
3000101,1,521.333
3000102,1,345.778
3000103,0,-1
3000104,1,688.889
3000105,1,860.444
3000106,0,-1
3000107,0,-1
3000108,1,1199.56
3000109,0,-1
3000110,0,-1
3000111,1,1375.11
3000112,0,-1
3000113,0,-1
3000114,0,-1
3000116,0,-1
3000117,1,687.556
3000118,0,-1
3000119,1,867.111
3000120,1,341.778
3000121,1,700.889
3000122,0,-1
3000123,0,-1
3000124,0,-1
3000125,1,708.889
3000127,0,-1
3000129,0,-1
3000130,0,-1
3000131,0,-1
3000132,1,1033.33
3000134,0,-1
3000135,0,-1
3000136,0,-1
3000137,0,-1
3000138,1,341.778
3000139,0,-1
3000141,0,-1
3000142,1,1033.33
3000143,0,-1
3000145,0,-1
3000146,0,-1
3000147,1,1029.33
3000148,0,-1
3000149,0,-1
3000151,1,345.778
3000152,1,1375.11
3000153,0,-1
3000154,0,-1
3000155,1,345.778
3000156,0,-1
3000157,0,-1
3000158,1,691.556
3000159,1,687.556
3000161,1,708.889
3000162,0,-1
3000163,0,-1
3000164,0,-1
3000165,0,-1
3000166,0,-1
3000167,0,-1
3000169,0,-1
3000171,0,-1
3000172,0,-1
3000173,0,-1
3000174,0,-1
3000175,0,-1
3000177,1,687.556
3000178,0,-1
3000179,0,-1
3000184,0,-1
3000185,0,-1
3000186,0,-1
4000001,0,-1
4000002,1,683.556
4000003,1,1371.11
4000004,0,-1
4000005,1,345.778
4000006,1,341.778
4000007,1,4191.56
4000008,1,1017.33
4000009,1,1029.33
4000010,0,-1
4000011,1,341.778
4000012,1,2848.44
4000013,1,1513.33
4000014,1,2514.67
4000015,1,691.556
4000016,0,-1
4000017,1,1179.56
4000018,1,2054.67
4000019,1,1184.89
4000020,0,-1
4000021,1,1680.89
4000022,1,1347.11
4000023,1,345.778
4000024,1,517.333
4000025,0,-1
4000026,1,3517.33
4000027,0,-1
4000028,1,687.556
4000029,1,351.111
4000030,1,2182.22
4000031,1,2683.56
4000032,1,2016
4000033,0,-1
4000034,1,2062.67
4000035,1,1371.11
4000036,1,3684.89
4000037,0,-1
4000038,1,2851.11
4000039,1,683.556
4000040,1,1175.56
4000041,1,341.778
4000042,1,687.556
4000043,0,-1
4000044,1,691.556
4000045,1,1175.56
4000046,1,1384.44
4000047,1,1712.89
4000048,1,345.778
4000049,1,341.778
4000050,1,1552
4000051,1,1033.33
4000052,1,2852.44
4000053,0,-1
4000054,1,687.556
4000055,0,-1
4000056,0,-1
4000057,1,341.778
4000058,1,1385.78
4000059,1,2018.67
4000060,1,718.222
4000061,1,687.556
4000062,1,687.556
4000063,0,-1
4000064,1,3517.33
4000065,0,-1
4000066,0,-1
4000067,1,3198.22
4000068,1,1200.89
4000069,0,-1
4000070,1,521.333
4000071,0,-1
4000072,1,1029.33
4000073,1,688.889
4000074,1,1363.11
4000075,1,1696.89
4000076,0,-1
4000077,0,-1
4000078,1,1029.33
4000079,0,-1
4000080,1,687.556
4000081,1,2062.67
4000082,0,-1
4000083,1,1020
4000084,1,683.556
4000085,0,-1
4000086,1,1521.33
4000087,1,341.778
4000088,1,687.556
4000089,1,1030.67
4000090,1,2032
4000091,0,-1
4000092,1,1355.11
4000093,0,-1
4000094,0,-1
4000095,1,687.556
4000096,0,-1
4000097,0,-1
4000098,1,683.556
4000099,0,-1
4000100,0,-1
4000101,1,1699.56
4000102,1,345.778
4000103,0,-1
4000104,0,-1
4000105,1,687.556
4000106,0,-1
4000107,1,524
4000108,1,865.778
4000109,0,-1
4000110,1,1029.33
4000111,0,-1
4000112,0,-1
4000113,0,-1
4000114,1,341.778
4000115,1,1029.33
4000116,0,-1
4000117,0,-1
4000118,1,1175.56
4000119,0,-1
4000120,0,-1
4000121,1,341.778
4000122,0,-1
4000123,0,-1
4000124,0,-1
4000125,0,-1
4000126,0,-1
4000127,0,-1
4000128,0,-1
4000129,1,687.556
4000131,0,-1
4000132,1,341.778
4000133,0,-1
4000134,0,-1
4000135,1,683.556
4000136,0,-1
4000137,0,-1
4000138,0,-1
4000139,0,-1
4000140,0,-1
4000141,1,1029.33
4000142,0,-1
4000143,0,-1
4000144,0,-1
4000145,1,1892.44
4000146,0,-1
4000147,1,341.778
4000148,0,-1
4000149,0,-1
4000151,0,-1
4000152,1,341.778
4000153,0,-1
4000154,1,696.889
4000155,0,-1
4000156,0,-1
4000157,0,-1
4000158,0,-1
4000159,0,-1
4000160,0,-1
4000161,0,-1
4000162,0,-1
4000163,0,-1
4000164,1,1029.33
4000166,0,-1
4000167,0,-1
4000168,0,-1
4000169,0,-1
4000170,0,-1
4000172,0,-1
4000173,1,341.778
4000174,0,-1
4000175,0,-1
4000176,0,-1
4000178,0,-1
4000180,0,-1
4000181,0,-1
4000182,0,-1
4000183,1,345.778
4000184,0,-1
5000001,1,3088
5000002,1,4037.33
5000003,1,1371.11
5000004,1,2368.44
5000005,1,687.556
5000006,1,1367.11
5000007,1,1025.33
5000008,0,-1
5000009,1,2066.67
5000010,0,-1
5000011,1,2034.67
5000012,1,1033.33
5000013,1,1367.11
5000014,1,1025.33
5000015,1,4877.78
5000016,1,2746.22
5000017,1,2694.22
5000018,1,341.778
5000019,0,-1
5000020,1,341.778
5000021,1,1200.89
5000022,1,345.778
5000023,1,1534.67
5000024,1,2234.22
5000025,1,359.111
5000026,1,1029.33
5000027,1,3544
5000028,1,2036
5000029,1,700.889
5000030,1,1368.44
5000031,1,2376.44
5000032,1,1869.78
5000033,1,1029.33
5000034,0,-1
5000035,1,900.444
5000036,1,1202.22
5000037,1,1542.67
5000038,1,3368.44
5000039,1,1712.89
5000040,1,1703.56
5000041,0,-1
5000042,1,1767.56
5000043,1,3045.33
5000044,1,687.556
5000045,0,-1
5000046,1,1871.11
5000047,1,2017.33
5000048,0,-1
5000049,0,-1
5000050,1,687.556
5000051,1,704.889
5000052,1,1720.89
5000053,0,-1
5000054,1,2066.67
5000055,1,1029.33
5000056,1,341.778
5000057,1,710.222
5000058,1,2234.22
5000059,1,1711.56
5000060,1,341.778
5000061,1,345.778
5000062,0,-1
5000063,1,1371.11
5000064,0,-1
5000065,1,687.556
5000066,0,-1
5000067,1,1379.11
5000068,1,1712.89
5000069,0,-1
5000070,1,692.889
5000071,0,-1
5000072,1,900.444
5000073,1,1068
5000074,0,-1
5000075,1,345.778
5000076,0,-1
5000077,1,1388.44
5000078,0,-1
5000079,1,1569.33
5000080,0,-1
5000081,0,-1
5000082,1,1046.67
5000083,0,-1
5000084,0,-1
5000085,0,-1
5000086,1,2909.78
5000087,1,880.444
5000088,1,341.778
5000089,1,1029.33
5000090,0,-1
5000091,0,-1
5000092,0,-1
5000093,1,513.333
5000094,0,-1
5000095,0,-1
5000096,1,687.556
5000097,0,-1
5000098,0,-1
5000099,1,341.778
5000100,0,-1
5000101,0,-1
5000102,0,-1
5000103,1,345.778
5000104,0,-1
5000105,0,-1
5000106,1,345.778
5000107,1,691.556
5000108,0,-1
5000109,1,341.778
5000110,0,-1
5000111,0,-1
5000112,0,-1
5000113,1,1033.33
5000114,1,345.778
5000115,0,-1
5000116,0,-1
5000117,0,-1
5000118,0,-1
5000119,0,-1
5000120,0,-1
5000121,0,-1
5000122,0,-1
5000123,1,550.667
5000124,0,-1
5000125,0,-1
5000126,1,345.778
5000127,1,345.778
5000128,1,683.556
5000129,0,-1
5000130,0,-1
5000131,1,341.778
5000133,0,-1
5000134,0,-1
5000135,0,-1
5000136,0,-1
5000137,0,-1
5000138,0,-1
5000140,1,345.778
5000141,0,-1
5000142,0,-1
5000143,0,-1
5000144,0,-1
5000145,0,-1
5000146,0,-1
5000147,0,-1
5000148,0,-1
5000149,1,1033.33
5000150,0,-1
5000152,0,-1
5000153,0,-1
5000154,1,683.556
5000155,1,345.778
5000156,0,-1
5000157,0,-1
5000158,0,-1
5000159,0,-1
5000160,0,-1
5000161,0,-1
5000162,0,-1
5000163,0,-1
5000164,0,-1
5000165,0,-1
5000167,1,341.778
5000169,0,-1
5000170,0,-1
5000171,0,-1
5000174,0,-1
5000176,0,-1
5000177,1,341.778
5000178,0,-1
5000180,0,-1
6000001,1,1375.11
6000002,1,683.556
6000003,1,1371.11
6000004,1,345.778
6000005,0,-1
6000006,1,1375.11
6000007,0,-1
6000008,1,1175.56
6000009,1,687.556
6000010,0,-1
6000011,1,1033.33
6000012,1,1355.11
6000013,1,1029.33
6000014,1,1688.89
6000015,1,2188.89
6000016,0,-1
6000017,1,1021.33
6000018,1,1675.56
6000019,1,341.778
6000020,1,2022.67
6000021,1,687.556
6000022,1,687.556
6000023,1,2009.33
6000024,1,1021.33
6000025,1,1175.56
6000026,0,-1
6000027,1,1856.44
6000028,0,-1
6000029,1,855.111
6000030,1,1022.67
6000031,0,-1
6000032,0,-1
6000033,0,-1
6000034,1,341.778
6000035,1,3861.78
6000036,1,1690.22
6000037,1,1359.11
6000038,1,2026.67
6000039,1,2694.22
6000040,1,1692.89
6000041,1,1025.33
6000042,0,-1
6000043,0,-1
6000044,1,1860.44
6000045,1,683.556
6000046,0,-1
6000047,0,-1
6000048,1,3863.11
