scenario,policy,delivery_ratio,drop_rate,backlog_rate,decision_switch_rate
hotspot_high_load,persistent_global_dijkstra,0.3106,0.17,0.5194,0.0
hotspot_high_load,persistent_global_dijkstra_purge,0.33019999999999994,0.4594,0.2104,0.0
hotspot_high_load,q_routing,0.31633333333333336,0.16746666666666668,0.5162,0.38766013066193733
hotspot_high_load,q_routing_purge,0.3396666666666666,0.4534,0.20693333333333333,0.37701393366984043
hotspot_high_load,qos_only_constrained,0.3004666666666666,0.17053333333333334,0.529,0.018933007662414344
hotspot_high_load,qos_only_constrained_purge,0.3243333333333333,0.47633333333333333,0.19933333333333333,0.018448591145484163
medium_load,persistent_global_dijkstra,0.728125,0.033854166666666664,0.23802083333333332,0.0
medium_load,persistent_global_dijkstra_purge,0.7333333333333333,0.140625,0.12604166666666666,0.0
medium_load,q_routing,0.7815972222222222,0.0036458333333333334,0.21475694444444443,0.26173218857077735
medium_load,q_routing_purge,0.7878472222222221,0.08645833333333333,0.12569444444444444,0.2501701255594139
medium_load,qos_only_constrained,0.7713541666666667,0.007638888888888889,0.22100694444444444,0.03919839874055611
medium_load,qos_only_constrained_purge,0.7789930555555555,0.09947916666666666,0.12152777777777778,0.03614650543157864
