config,policy,metric,n,mean,ci95_low,ci95_high
baseline,global_dijkstra,delivery_ratio,20,0.7234375,0.71015625,0.7361979166666666
baseline,global_dijkstra,drop_rate,20,0.022135416666666664,0.017447916666666664,0.02708333333333333
baseline,global_dijkstra,throughput_packets_per_slot,20,4.63,4.545000000000001,4.711666666666667
baseline,global_dijkstra,average_delay_slots,20,6.375718659940699,6.215780133082359,6.529394188409609
baseline,global_dijkstra,p95_delay_slots,20,12.812499999999996,12.272499999999997,13.354999999999995
baseline,global_dijkstra,mean_queue_packets,20,1.4318055555555553,1.3963888888888891,1.4666666666666663
baseline,global_dijkstra,global_load_imbalance,20,0.7413923256929162,0.7359104037392853,0.7466522597647649
baseline,mappo,delivery_ratio,60,0.7891493055555555,0.7836805555555556,0.7949652777777777
baseline,mappo,drop_rate,60,0.00685763888888889,0.005208333333333332,0.008680555555555554
baseline,mappo,throughput_packets_per_slot,60,5.050555555555556,5.015555555555555,5.087777777777777
baseline,mappo,average_delay_slots,60,5.762746558371498,5.677969206391831,5.847557482921998
baseline,mappo,p95_delay_slots,60,10.332499999999998,10.136666666666663,10.521687499999999
baseline,mappo,mean_queue_packets,60,1.229722222222222,1.2095601851851852,1.249513888888889
baseline,mappo,global_load_imbalance,60,0.7074230266837283,0.7037001463188657,0.7112304430776414
deliver_lo,global_dijkstra,delivery_ratio,20,0.7234375,0.71015625,0.7361979166666666
deliver_lo,global_dijkstra,drop_rate,20,0.022135416666666664,0.017447916666666664,0.02708333333333333
deliver_lo,global_dijkstra,throughput_packets_per_slot,20,4.63,4.545000000000001,4.711666666666667
deliver_lo,global_dijkstra,average_delay_slots,20,6.375718659940699,6.215780133082359,6.529394188409609
deliver_lo,global_dijkstra,p95_delay_slots,20,12.812499999999996,12.272499999999997,13.354999999999995
deliver_lo,global_dijkstra,mean_queue_packets,20,1.4318055555555553,1.3963888888888891,1.4666666666666663
deliver_lo,global_dijkstra,global_load_imbalance,20,0.7413923256929162,0.7359104037392853,0.7466522597647649
deliver_lo,mappo,delivery_ratio,60,0.7904513888888889,0.7844618055555556,0.7966145833333332
deliver_lo,mappo,drop_rate,60,0.00625,0.004861111111111111,0.007725694444444445
deliver_lo,mappo,throughput_packets_per_slot,60,5.058888888888888,5.020555555555556,5.098333333333332
deliver_lo,mappo,average_delay_slots,60,5.743400432426215,5.657017396947384,5.831928585739395
deliver_lo,mappo,p95_delay_slots,60,10.179166666666665,9.979979166666665,10.381666666666664
deliver_lo,mappo,mean_queue_packets,60,1.222939814814815,1.2023836805555554,1.2441209490740741
deliver_lo,mappo,global_load_imbalance,60,0.700225310334302,0.6967458915278195,0.7038226445706116
deliver_hi,global_dijkstra,delivery_ratio,20,0.7234375,0.71015625,0.7361979166666666
deliver_hi,global_dijkstra,drop_rate,20,0.022135416666666664,0.017447916666666664,0.02708333333333333
deliver_hi,global_dijkstra,throughput_packets_per_slot,20,4.63,4.545000000000001,4.711666666666667
deliver_hi,global_dijkstra,average_delay_slots,20,6.375718659940699,6.215780133082359,6.529394188409609
deliver_hi,global_dijkstra,p95_delay_slots,20,12.812499999999996,12.272499999999997,13.354999999999995
deliver_hi,global_dijkstra,mean_queue_packets,20,1.4318055555555553,1.3963888888888891,1.4666666666666663
deliver_hi,global_dijkstra,global_load_imbalance,20,0.7413923256929162,0.7359104037392853,0.7466522597647649
deliver_hi,mappo,delivery_ratio,60,0.7904513888888889,0.7842881944444445,0.7967881944444444
deliver_hi,mappo,drop_rate,60,0.008072916666666667,0.006423611111111112,0.009722222222222222
deliver_hi,mappo,throughput_packets_per_slot,60,5.058888888888888,5.019444444444445,5.099444444444444
deliver_hi,mappo,average_delay_slots,60,5.7464204375898715,5.661097206736662,5.832525649894903
deliver_hi,mappo,p95_delay_slots,60,10.356666666666666,10.129145833333332,10.573333333333332
deliver_hi,mappo,mean_queue_packets,60,1.2284027777777775,1.2072216435185184,1.2495150462962963
deliver_hi,mappo,global_load_imbalance,60,0.6965459187374979,0.69294818996717,0.7000749603012278
load_lo,global_dijkstra,delivery_ratio,20,0.7234375,0.71015625,0.7361979166666666
load_lo,global_dijkstra,drop_rate,20,0.022135416666666664,0.017447916666666664,0.02708333333333333
load_lo,global_dijkstra,throughput_packets_per_slot,20,4.63,4.545000000000001,4.711666666666667
load_lo,global_dijkstra,average_delay_slots,20,6.375718659940699,6.215780133082359,6.529394188409609
load_lo,global_dijkstra,p95_delay_slots,20,12.812499999999996,12.272499999999997,13.354999999999995
load_lo,global_dijkstra,mean_queue_packets,20,1.4318055555555553,1.3963888888888891,1.4666666666666663
load_lo,global_dijkstra,global_load_imbalance,20,0.7413923256929162,0.7359104037392853,0.7466522597647649
load_lo,mappo,delivery_ratio,60,0.7839409722222224,0.7787304687499998,0.7895833333333333
load_lo,mappo,drop_rate,60,0.008854166666666666,0.007465277777777777,0.01032986111111111
load_lo,mappo,throughput_packets_per_slot,60,5.017222222222222,4.9838749999999985,5.053333333333332
load_lo,mappo,average_delay_slots,60,5.7455145230734574,5.661861383558556,5.834005250009397
load_lo,mappo,p95_delay_slots,60,10.597499999999998,10.375,10.818354166666664
load_lo,mappo,mean_queue_packets,60,1.2367361111111113,1.217429976851852,1.257107060185185
load_lo,mappo,global_load_imbalance,60,0.7085385971494721,0.7048635304020962,0.7122150740837467
load_hi,global_dijkstra,delivery_ratio,20,0.7234375,0.71015625,0.7361979166666666
load_hi,global_dijkstra,drop_rate,20,0.022135416666666664,0.017447916666666664,0.02708333333333333
load_hi,global_dijkstra,throughput_packets_per_slot,20,4.63,4.545000000000001,4.711666666666667
load_hi,global_dijkstra,average_delay_slots,20,6.375718659940699,6.215780133082359,6.529394188409609
load_hi,global_dijkstra,p95_delay_slots,20,12.812499999999996,12.272499999999997,13.354999999999995
load_hi,global_dijkstra,mean_queue_packets,20,1.4318055555555553,1.3963888888888891,1.4666666666666663
load_hi,global_dijkstra,global_load_imbalance,20,0.7413923256929162,0.7359104037392853,0.7466522597647649
load_hi,mappo,delivery_ratio,60,0.7950520833333332,0.7889756944444445,0.8012152777777776
load_hi,mappo,drop_rate,60,0.002777777777777778,0.001996527777777777,0.0036458333333333334
load_hi,mappo,throughput_packets_per_slot,60,5.088333333333333,5.049444444444444,5.127777777777776
load_hi,mappo,average_delay_slots,60,5.799464075542681,5.714278126226423,5.887054147059018
load_hi,mappo,p95_delay_slots,60,10.010833333333332,9.813312499999999,10.2066875
load_hi,mappo,mean_queue_packets,60,1.2217824074074077,1.2019675925925926,1.242199652777778
load_hi,mappo,global_load_imbalance,60,0.6913803195936227,0.6874494029660067,0.695456344712253
