scenario,load,policy,episodes,policy_replicates,delivery_ratio,drop_rate,backlog_rate,decision_switch_rate,all_observed_seed_rates_within_budget
hotspot_high_load,2,global_dijkstra,10,1,0.9237499999999998,0.0,0.07625,0.1697381183317168,False
hotspot_high_load,2,persistent_global_dijkstra,10,1,0.9262500000000001,0.0,0.07375,0.0,True
hotspot_high_load,2,q_routing,30,3,0.9316666666666666,0.0,0.06833333333333333,0.21752786941322955,False
hotspot_high_load,2,qos_only_baseline,30,3,0.9083333333333332,0.0020833333333333333,0.08958333333333333,0.18695086113000411,False
hotspot_high_load,2,qos_only_constrained,30,3,0.9266666666666666,0.0,0.07333333333333333,0.0009140767824497258,True
hotspot_high_load,4,global_dijkstra,10,1,0.8400000000000002,0.005,0.155,0.1948798328108673,False
hotspot_high_load,4,persistent_global_dijkstra,10,1,0.8414285714285714,0.004285714285714286,0.15428571428571428,0.0,True
hotspot_high_load,4,q_routing,30,3,0.8733333333333332,0.0002380952380952381,0.12642857142857142,0.2481691417458333,False
hotspot_high_load,4,qos_only_baseline,30,3,0.8419047619047619,0.009523809523809525,0.14857142857142858,0.21694748329584101,False
hotspot_high_load,4,qos_only_constrained,30,3,0.8423809523809526,0.004523809523809524,0.1530952380952381,0.003178662599416456,True
hotspot_high_load,6,global_dijkstra,10,1,0.6895,0.035,0.2755,0.19561104805145668,False
hotspot_high_load,6,persistent_global_dijkstra,10,1,0.6895,0.0365,0.274,0.0,True
hotspot_high_load,6,q_routing,30,3,0.7201666666666666,0.013166666666666667,0.26666666666666666,0.29133695267302767,False
hotspot_high_load,6,qos_only_baseline,30,3,0.7031666666666667,0.030333333333333334,0.2665,0.2750083632022416,False
hotspot_high_load,6,qos_only_constrained,30,3,0.7006666666666667,0.024666666666666667,0.27466666666666667,0.006157258484309391,True
hotspot_high_load,8,global_dijkstra,10,1,0.5596153846153846,0.07538461538461538,0.365,0.19224806201550387,False
hotspot_high_load,8,persistent_global_dijkstra,10,1,0.553076923076923,0.07846153846153846,0.36846153846153845,0.0,True
hotspot_high_load,8,q_routing,30,3,0.5902564102564102,0.0558974358974359,0.35384615384615387,0.33637506323977756,False
hotspot_high_load,8,qos_only_baseline,30,3,0.5667948717948716,0.07205128205128206,0.36115384615384616,0.33388006013941757,False
hotspot_high_load,8,qos_only_constrained,30,3,0.571025641025641,0.06474358974358975,0.36423076923076925,0.00913089011127358,True
hotspot_high_load,16,global_dijkstra,10,1,0.29660000000000003,0.1724,0.531,0.197325147993861,False
hotspot_high_load,16,persistent_global_dijkstra,10,1,0.29960000000000003,0.1722,0.5282,0.0,True
hotspot_high_load,16,q_routing,30,3,0.30806666666666666,0.172,0.5199333333333334,0.4012674895483414,False
hotspot_high_load,16,qos_only_baseline,30,3,0.2829333333333333,0.18366666666666667,0.5334,0.3992472503826521,False
hotspot_high_load,16,qos_only_constrained,30,3,0.29113333333333336,0.17606666666666668,0.5328,0.018204946561111966,True
medium_load,2,global_dijkstra,10,1,0.9208333333333334,0.0,0.07916666666666666,0.15292353823088456,False
medium_load,2,persistent_global_dijkstra,10,1,0.9194444444444445,0.0,0.08055555555555556,0.0,True
medium_load,2,q_routing,30,3,0.9217592592592593,0.0,0.07824074074074074,0.1955915016163615,False
medium_load,2,qos_only_baseline,30,3,0.9189814814814815,0.0,0.08101851851851852,0.1353971593345433,False
medium_load,2,qos_only_constrained,30,3,0.9194444444444446,0.0,0.08055555555555556,0.016070736647248052,True
medium_load,4,global_dijkstra,10,1,0.8469696969696969,0.0030303030303030303,0.15,0.18866666666666668,False
medium_load,4,persistent_global_dijkstra,10,1,0.8507575757575758,0.0030303030303030303,0.1462121212121212,0.0,True
medium_load,4,q_routing,30,3,0.8755050505050507,0.0,0.12449494949494949,0.24667624077808722,False
medium_load,4,qos_only_baseline,30,3,0.873989898989899,0.000505050505050505,0.1255050505050505,0.1858222381272887,False
medium_load,4,qos_only_constrained,30,3,0.8593434343434344,0.0015151515151515152,0.13914141414141415,0.031092778282498873,True
medium_load,6,global_dijkstra,10,1,0.753125,0.0171875,0.2296875,0.18513189448441247,False
medium_load,6,persistent_global_dijkstra,10,1,0.7479166666666668,0.021354166666666667,0.23072916666666668,0.0,True
medium_load,6,q_routing,30,3,0.790798611111111,0.002777777777777778,0.2064236111111111,0.26264372009450865,False
medium_load,6,qos_only_baseline,30,3,0.8008680555555556,0.0036458333333333334,0.1954861111111111,0.2207650691916744,False
medium_load,6,qos_only_constrained,30,3,0.7892361111111111,0.0045138888888888885,0.20625,0.0457915166826953,True
medium_load,8,global_dijkstra,10,1,0.6103174603174603,0.05634920634920635,0.3333333333333333,0.2053742802303263,False
medium_load,8,persistent_global_dijkstra,10,1,0.6027777777777777,0.0630952380952381,0.3341269841269841,0.0,True
medium_load,8,q_routing,30,3,0.6462962962962963,0.03439153439153439,0.3193121693121693,0.296211548216349,False
medium_load,8,qos_only_baseline,30,3,0.6469576719576718,0.03267195767195767,0.32037037037037036,0.2678948740997043,False
medium_load,8,qos_only_constrained,30,3,0.6444444444444446,0.03531746031746032,0.3202380952380952,0.0632458998651777,True
medium_load,16,global_dijkstra,10,1,0.3416666666666667,0.14471544715447154,0.5136178861788618,0.2144385026737968,False
medium_load,16,persistent_global_dijkstra,10,1,0.3434959349593496,0.14552845528455285,0.5109756097560976,0.0,True
medium_load,16,q_routing,30,3,0.34966124661246617,0.143970189701897,0.5063685636856369,0.3547450852482572,False
medium_load,16,qos_only_baseline,30,3,0.34275067750677507,0.14715447154471545,0.5100948509485095,0.3332368931005723,False
medium_load,16,qos_only_constrained,30,3,0.34817073170731705,0.14491869918699188,0.5069105691056911,0.09842923698346656,False
