"scenario","policy_seed","log_sha256","training_updates","selected_update","selected_multiplier","max_multiplier_before_selection","upper_bound_hits_before_selection","lower_bound_hits_before_selection","last20_rollout_sampled_switch_rate","last20_proxy_mean","last20_multiplier_min","last20_multiplier_max","feature_dim","variant"
"hotspot_high_load","179055553","46f8691a1f2fd0062693c4cb23c2b3863e1e4b2f3079295d05cbd07fda7a9dd0","417","400","0.04226337153392542","0.2104588962508288","0","0","0.10541159387914666","0.1015785332924376","0.04226337153392542","0.05968409235962842","26","qos_only"
"hotspot_high_load","183895110","e7cbd6ea15dc30d0f8fd5eff829b51b83f6491f712c0691b36e0908081327d17","417","40","0.08811347408918432","0.24231127546677556","0","0","0.005996002664890073","0.005600187031814131","0.08811347408918432","0.19641696747220452","26","qos_only"
"hotspot_high_load","2136406109","cc1e62d69fc97ce3928eeb02140334a11b9666ebdcb67c322dde7fd2f614bc80","417","120","0.10215858538278143","0.2238472228451875","0","0","0.15242278265797676","0.14085888012001913","0.0718747574381735","0.10215858538278143","26","qos_only"
"hotspot_high_load","310818925","7aecfda9c0b2182fa8208eb4a60ad33641d74f3e8c53f28c27c8e18e7c92dab6","417","40","0.07355375122757864","0.19544191563474816","0","0","0.039657832001121864","0.04257305343829405","0.07355375122757864","0.14849994454343807","26","qos_only"
"hotspot_high_load","515636025","b9d4556a9131bb7cc71eb3c49942d7e92bbb25a0502615165a56a704574be861","417","40","0.06256376252450468","0.20627100252077135","0","0","0.015635945862639056","0.017050315002173494","0.06256376252450468","0.16159857258007027","26","qos_only"
"hotspot_high_load","626669596","1e2b17e4ec68bd21cc0e92d6a9ec5e759d1cf23dd45704336b73954d023c7349","417","40","0.07355266804545428","0.2206052768860685","0","0","0.01452143374770054","0.015036905158194714","0.07355266804545428","0.17333478915865758","26","qos_only"
"hotspot_high_load","746965870","de77bea8209223e2a300a5d7942bcd4c886a8cbddbf9a16c48cec02c82666a88","417","40","0.06982398804626441","0.2081435573436824","0","0","0.02048677012392542","0.02091672372286363","0.06982398804626441","0.16386906048720465","26","qos_only"
"hotspot_high_load","985998595","26727933f2c64c76f4f23120e41515b1f0d2c0b98afacdf4521b6148d182c9a5","417","40","0.11657446961326445","0.24247517850939387","0","0","0.03291777559882336","0.032874976164506124","0.11657446961326445","0.1979934867864736","26","qos_only"
"medium_load","179055553","5c0a81263d00353e9f53be56934b50b2e3ee8445d77f1e4a06dffec57e00532e","417","120","0.026517158601503617","0.21361916531279299","0","10","0.06404295361452451","0.06401199121804288","0.026517158601503617","0.07901204892776541","26","qos_only"
"medium_load","183895110","ff81d945adc954769b94110e81e20c62138f0673a171da0c1cab038769b85674","417","200","0.03685671769399927","0.21095576149668233","0","71","0.1452462772050401","0.1455740042962134","0.014347443885588285","0.04092345070315677","26","qos_only"
"medium_load","2136406109","a0490d3e586cb75a3e9fa1856caf076cc31de88ac72f304cea93744a4f9a2e3d","417","200","0.03481835035371882","0.20227812958480307","0","14","0.11150753199682863","0.10942801086542506","0.02560912313138466","0.04228487189137308","26","qos_only"
"medium_load","310818925","b85734dfe78ffccfdf8dfc88a2886d5a25672690a8b9a38d1bb6faf071e28f01","417","80","0.1032741761476197","0.18263108870566955","0","0","0.19111184355086794","0.18020787574350833","0.0356634442152978","0.1032741761476197","26","qos_only"
"medium_load","515636025","70381c840b625c257d583905ade385f9c2922514736fad94d4012d203e21ec35","417","160","0.039866488696711604","0.17865872885103365","0","4","0.140990990990991","0.1416290571292242","0.0197208061325673","0.039866488696711604","26","qos_only"
"medium_load","626669596","13025705475ed93cceb3072c7b18cea91eb8404c9d478819bc85b9678c53680e","417","360","0.006429779229717433","0.2116764719702628","0","18","0.08445511925375636","0.08325901542169352","0.006429779229717433","0.04074627284137245","26","qos_only"
"medium_load","746965870","8b053edd8be1022249d5413ec885dfd81b4d5001b795bab4a82705d9b589c4ac","417","320","0.020869207921443953","0.1780736813349209","0","13","0.10188079179689642","0.10037835049442949","0.020869207921443953","0.04274175456156387","26","qos_only"
"medium_load","985998595","333514ced795726a76594d555d0efef3ba57f61d1416ebccc9318686512f84b4","417","280","0.035936872585921355","0.23095324842924211","0","10","0.11912470693312494","0.12307171137072145","0.023028526884110584","0.035936872585921355","26","qos_only"
