group,baseline,metric,n_paired,mappo_mean,baseline_mean,mean_diff,median_diff,cohens_dz,wilcoxon_stat,raw_p,bh_p
tle_oneweb_24,global_dijkstra,delivery_ratio,50,0.3047916666666666,0.31750000000000006,-0.012708333333333337,-0.009765625,-0.6947733539964565,210.5,3.7493530507270154e-05,3.7493530507270154e-05
tle_oneweb_24,global_dijkstra,drop_rate,50,0.3086197916666667,0.17072916666666668,0.137890625,0.13736979166666669,7.64673922468765,0.0,7.551804758280675e-10,1.510360951656135e-09
tle_oneweb_24,global_dijkstra,throughput_packets_per_slot,50,1.9506666666666663,2.032,-0.08133333333333337,-0.0625,-0.6947733539964566,210.0,3.6761445031751735e-05,3.7493530507270154e-05
tle_oneweb_24,global_dijkstra,average_delay_slots,50,8.143928342453341,9.125224776877209,-0.9812964344238683,-0.9670852158437624,-1.637726623898581,10.0,7.638334409421077e-14,2.291500322826323e-13
tle_oneweb_24,global_dijkstra,p95_delay_slots,50,18.293999999999997,21.322,-3.028,-2.8281250000000018,-1.396526732959041,24.0,3.1742931936113884e-09,4.761439790417083e-09
tle_oneweb_24,global_dijkstra,mean_queue_packets,50,2.0917881944444443,2.584194444444444,-0.49240625,-0.505642361111111,-6.686361844223986,0.0,1.7763568394002505e-15,1.0658141036401503e-14
tle_oneweb_24,full_heuristic,delivery_ratio,50,0.3047916666666666,0.21312500000000004,0.09166666666666666,0.08919270833333336,3.845718669414716,0.0,7.553512643873762e-10,1.1330268965810644e-09
tle_oneweb_24,full_heuristic,drop_rate,50,0.3086197916666667,0.37854166666666667,-0.069921875,-0.06835937499999997,-3.4850402314984037,0.0,7.551804758280675e-10,1.1330268965810644e-09
tle_oneweb_24,full_heuristic,throughput_packets_per_slot,50,1.9506666666666663,1.3640000000000003,0.5866666666666667,0.5708333333333333,3.8457186694147167,0.0,7.546683182364461e-10,1.1330268965810644e-09
tle_oneweb_24,full_heuristic,average_delay_slots,50,8.143928342453341,7.861875872660345,0.28205246979299614,0.4336260097172029,0.3931988977793772,365.0,0.00784436585604098,0.009413239027249175
tle_oneweb_24,full_heuristic,p95_delay_slots,50,18.293999999999997,18.203999999999997,0.0899999999999995,-0.07812500000000178,0.040876214890141725,629.0,0.9389922173111831,0.9389922173111831
tle_oneweb_24,full_heuristic,mean_queue_packets,50,2.0917881944444443,2.2224444444444442,-0.13065625000000003,-0.12335069444444446,-1.5851719607609869,18.0,4.4941828036826337e-13,2.6965096822095802e-12
tle_starlink_24,global_dijkstra,delivery_ratio,50,0.3726041666666666,0.3983333333333334,-0.025729166666666674,-0.025390625000000028,-1.0660482758016636,95.5,1.6745009689506057e-07,2.5117514534259086e-07
tle_starlink_24,global_dijkstra,drop_rate,50,0.202734375,0.13489583333333333,0.06783854166666665,0.06575520833333334,3.5065686719847804,0.0,7.553512643873762e-10,2.266053793162129e-09
tle_starlink_24,global_dijkstra,throughput_packets_per_slot,50,2.384666666666667,2.5493333333333337,-0.16466666666666668,-0.16249999999999987,-1.0660482758016632,94.5,1.5891987077261155e-07,2.5117514534259086e-07
tle_starlink_24,global_dijkstra,average_delay_slots,50,9.061992040062618,8.739495975605486,0.3224960644571357,0.2979529417733442,0.6668498235612733,215.0,1.8759072675678112e-05,1.8759072675678112e-05
tle_starlink_24,global_dijkstra,p95_delay_slots,50,18.655749999999998,20.048,-1.392249999999999,-1.556249999999995,-0.9168472356381536,131.5,1.0364563056459403e-06,1.2437475667751283e-06
tle_starlink_24,global_dijkstra,mean_queue_packets,50,2.2256388888888887,2.3690833333333337,-0.14344444444444449,-0.1668402777777782,-1.6967513947398118,18.0,4.4941828036826337e-13,2.6965096822095802e-12
tle_starlink_24,full_heuristic,delivery_ratio,50,0.3726041666666666,0.12166666666666666,0.2509375,0.24772135416666663,9.785914162731736,0.0,7.553512643873762e-10,1.1330268965810644e-09
tle_starlink_24,full_heuristic,drop_rate,50,0.202734375,0.376875,-0.17414062500000005,-0.17057291666666669,-6.264334447082846,0.0,7.550097219539461e-10,1.1330268965810644e-09
tle_starlink_24,full_heuristic,throughput_packets_per_slot,50,2.384666666666667,0.7786666666666666,1.6060000000000003,1.5854166666666665,9.785914162731736,0.0,7.550097219539461e-10,1.1330268965810644e-09
tle_starlink_24,full_heuristic,average_delay_slots,50,9.061992040062618,8.940860184563753,0.12113185549886704,0.10259582629002661,0.09349452716048695,559.0,0.4547879869752496,0.4547879869752496
tle_starlink_24,full_heuristic,p95_delay_slots,50,18.655749999999998,18.301999999999996,0.3537500000000023,0.6593750000000078,0.09196029497683132,557.0,0.43710363268607655,0.4547879869752496
tle_starlink_24,full_heuristic,mean_queue_packets,50,2.2256388888888887,2.6597222222222223,-0.4340833333333334,-0.43003472222222205,-3.901873481414892,0.0,1.7763568394002505e-15,1.0658141036401503e-14
