scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,ci95_low,ci95_high,ci_method
frequent_break,delay_only,delivery_ratio,20,1,20,0.1484375,0.04610726057075156,0.1296875,0.16796874999999997,hierarchical_bootstrap_5000
frequent_break,delay_only,drop_rate,20,1,20,0.36796875000000007,0.08413938227531179,0.33384765625,0.40546875,hierarchical_bootstrap_5000
frequent_break,delay_only,throughput_packets_per_slot,20,1,20,0.9500000000000002,0.29508646765281,0.8266666666666665,1.0766666666666667,hierarchical_bootstrap_5000
frequent_break,delay_only,average_delay_slots,20,1,20,7.726565386768961,1.4863767185849062,7.039083798051712,8.311527275525487,hierarchical_bootstrap_5000
frequent_break,delay_only,p95_delay_slots,20,1,20,17.15,3.688067529921755,15.567437499999999,18.712562499999997,hierarchical_bootstrap_5000
frequent_break,delay_only,mean_queue_packets,20,1,20,2.5113888888888893,0.3850018775850185,2.3518645833333336,2.675003472222222,hierarchical_bootstrap_5000
frequent_break,delay_only,routing_switches,20,1,20,125.5,16.77560886023452,118.15,132.65,hierarchical_bootstrap_5000
frequent_break,delay_only,episode_reward,20,1,20,-36.91332133431443,3.197812735716216,-38.219078063917884,-35.58978694233858,hierarchical_bootstrap_5000
frequent_break,full_heuristic,delivery_ratio,20,1,20,0.2830729166666667,0.07121837668361188,0.25338541666666664,0.31354817708333327,hierarchical_bootstrap_5000
frequent_break,full_heuristic,drop_rate,20,1,20,0.2984375,0.08744809707487948,0.26093750000000004,0.33542317708333325,hierarchical_bootstrap_5000
frequent_break,full_heuristic,throughput_packets_per_slot,20,1,20,1.8116666666666663,0.45579761077511594,1.6166666666666671,2.003333333333333,hierarchical_bootstrap_5000
frequent_break,full_heuristic,average_delay_slots,20,1,20,7.55878617613873,0.8564441917151158,7.177497593693449,7.913466456876683,hierarchical_bootstrap_5000
frequent_break,full_heuristic,p95_delay_slots,20,1,20,15.987499999999997,2.553422625666023,14.924999999999997,17.09262499999999,hierarchical_bootstrap_5000
frequent_break,full_heuristic,mean_queue_packets,20,1,20,2.136736111111111,0.33551082002783533,1.9864444444444442,2.275487847222222,hierarchical_bootstrap_5000
frequent_break,full_heuristic,routing_switches,20,1,20,63.3,18.539005821297575,55.05,70.7,hierarchical_bootstrap_5000
frequent_break,full_heuristic,episode_reward,20,1,20,-31.87549180882761,3.695566048314889,-33.39179686309906,-30.28061696124854,hierarchical_bootstrap_5000
frequent_break,mappo,delivery_ratio,60,3,20,0.19366319444444444,0.07680734195677114,0.13237847222222224,0.2755273437499999,hierarchical_bootstrap_5000
frequent_break,mappo,drop_rate,60,3,20,0.3328993055555555,0.08421306731678456,0.26987630208333335,0.38854600694444447,hierarchical_bootstrap_5000
frequent_break,mappo,throughput_packets_per_slot,60,3,20,1.2394444444444446,0.49156698852333525,0.8494305555555556,1.7867083333333327,hierarchical_bootstrap_5000
frequent_break,mappo,average_delay_slots,60,3,20,8.34445168973881,1.2053328071791423,7.7065721738196675,9.073402389877321,hierarchical_bootstrap_5000
frequent_break,mappo,p95_delay_slots,60,3,20,18.774166666666662,3.055649001310366,17.503249999999994,20.023333333333326,hierarchical_bootstrap_5000
frequent_break,mappo,mean_queue_packets,60,3,20,2.4926157407407405,0.2782626995736551,2.3438379629629638,2.646806712962962,hierarchical_bootstrap_5000
frequent_break,mappo,routing_switches,60,3,20,149.6,96.72943218507724,20.3975,229.35,hierarchical_bootstrap_5000
frequent_break,mappo,episode_reward,60,3,20,-40.1026314067503,4.445559992092278,-43.63325626892462,-35.875984249421805,hierarchical_bootstrap_5000
frequent_break,random,delivery_ratio,20,1,20,0.15572916666666664,0.03690206163316323,0.14010416666666667,0.17161458333333332,hierarchical_bootstrap_5000
frequent_break,random,drop_rate,20,1,20,0.35572916666666665,0.0638581419943973,0.32864583333333336,0.3828125,hierarchical_bootstrap_5000
frequent_break,random,throughput_packets_per_slot,20,1,20,0.9966666666666665,0.23617319445224466,0.8949583333333333,1.0966666666666665,hierarchical_bootstrap_5000
frequent_break,random,average_delay_slots,20,1,20,8.419978119731915,1.3506270279016992,7.848709069936648,9.024567701735108,hierarchical_bootstrap_5000
frequent_break,random,p95_delay_slots,20,1,20,18.702499999999993,2.6255062168535854,17.572499999999998,19.79762499999999,hierarchical_bootstrap_5000
frequent_break,random,mean_queue_packets,20,1,20,2.541111111111111,0.27230068090020165,2.4257621527777777,2.657154513888889,hierarchical_bootstrap_5000
frequent_break,random,routing_switches,20,1,20,166.15,25.42952076457182,155.35,176.8,hierarchical_bootstrap_5000
frequent_break,random,episode_reward,20,1,20,-42.38559714781623,2.7248929552743064,-43.53059348678686,-41.196619701494356,hierarchical_bootstrap_5000
medium_load,delay_only,delivery_ratio,20,1,20,0.18255208333333334,0.025261052510536026,0.17186848958333334,0.19296875,hierarchical_bootstrap_5000
medium_load,delay_only,drop_rate,20,1,20,0.2427083333333333,0.03464721430453432,0.22786458333333334,0.25755208333333335,hierarchical_bootstrap_5000
medium_load,delay_only,throughput_packets_per_slot,20,1,20,1.1683333333333334,0.16167073606743057,1.0950000000000002,1.2349999999999999,hierarchical_bootstrap_5000
medium_load,delay_only,average_delay_slots,20,1,20,10.006956375421332,1.0993871168042582,9.52735286510368,10.459268610623791,hierarchical_bootstrap_5000
medium_load,delay_only,p95_delay_slots,20,1,20,20.877499999999998,2.217245505481733,19.952499999999997,21.880062499999998,hierarchical_bootstrap_5000
