scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
medium_load,mappo,7,11001,192,30,50,112,0.15625,0.2604166666666667,1.0,5.666666666666667,15.199999999999989,3.0694444444444446,27,20,-39.578557916848034,0.18181818181818182,0.15,0.11363636363636363
medium_load,mappo,7,11002,192,37,49,106,0.19270833333333334,0.2552083333333333,1.2333333333333334,5.72972972972973,18.0,2.9472222222222224,27,20,-39.596591831029244,0.10227272727272728,0.18571428571428572,0.4411764705882353
medium_load,mappo,7,11003,192,40,52,100,0.20833333333333334,0.2708333333333333,1.3333333333333333,6.975,21.049999999999997,2.826388888888889,20,23,-38.125884712688055,0.26595744680851063,0.14925373134328357,0.16129032258064516
medium_load,mappo,7,11004,192,38,41,113,0.19791666666666666,0.21354166666666666,1.2666666666666666,5.394736842105263,17.299999999999997,3.2305555555555556,32,43,-37.41392572806698,0.17757009345794392,0.2608695652173913,0.1794871794871795
medium_load,mappo,7,11005,192,24,47,121,0.125,0.24479166666666666,0.8,6.541666666666667,15.549999999999994,3.2777777777777777,23,29,-41.280552134310696,0.06422018348623854,0.19148936170212766,0.2222222222222222
medium_load,mappo,7,11006,192,32,41,119,0.16666666666666666,0.21354166666666666,1.0666666666666667,6.21875,16.45,3.129166666666667,34,43,-37.656352492306034,0.11711711711711711,0.2857142857142857,0.15625
medium_load,mappo,7,11007,192,18,60,114,0.09375,0.3125,0.6,6.055555555555555,18.15,3.2375,22,31,-45.05699714881227,0.07865168539325842,0.1,0.11627906976744186
medium_load,mappo,7,11008,192,16,46,130,0.08333333333333333,0.23958333333333334,0.5333333333333333,9.25,22.0,3.3041666666666667,27,40,-41.92759805157351,0.04081632653061224,0.08333333333333333,0.20588235294117646
medium_load,mappo,7,11009,192,28,53,111,0.14583333333333334,0.2760416666666667,0.9333333333333333,4.464285714285714,11.0,3.1694444444444443,29,36,-41.33052085524289,0.07368421052631578,0.2711864406779661,0.13157894736842105
medium_load,mappo,7,11010,192,34,54,104,0.17708333333333334,0.28125,1.1333333333333333,5.235294117647059,13.0,2.911111111111111,24,31,-38.48299947520561,0.10714285714285714,0.25757575757575757,0.19047619047619047
medium_load,mappo,7,11011,192,32,48,112,0.16666666666666666,0.25,1.0666666666666667,4.78125,10.899999999999999,3.0416666666666665,20,47,-37.450573143609,0.07317073170731707,0.2727272727272727,0.18181818181818182
