policy,generated_per_ep,delivered_per_ep,backlog_per_ep,drop_deadline,drop_ttl,drop_queue,drop_other,delivered_mean_hops,delivered_mean_delay,mean_queue
mappo,500.0,146.33333333333334,270.0,83.66666666666667,0.0,0.0,0.0,2.1161731207289294,10.223234624145785,6.7124999999999995
global_dijkstra,500.0,150.33333333333334,272.3333333333333,77.33333333333333,0.0,0.0,0.0,2.104212860310421,10.044345898004435,6.6685185185185185
q_routing,500.0,159.0,262.3333333333333,78.66666666666667,0.0,0.0,0.0,2.1761006289308176,10.454926624737945,6.578240740740742
full_heuristic,500.0,78.0,306.6666666666667,115.33333333333333,0.0,0.0,0.0,2.2051282051282053,10.461538461538462,7.712962962962963
