time_slot,src,dst,delay_ms,available,capacity_mbps,reliability,t_rem,is_cross,shell_src,shell_dst
2,6,24,2.7318878523455585,True,100.0,0.995,120,True,1,1
2,24,6,2.7318878523455585,True,100.0,0.995,120,True,1,1
2,7,8,1.0922225946682413,True,100.0,0.995,120,False,1,1
2,8,7,1.0922225946682413,True,100.0,0.995,120,False,1,1
2,8,9,3.6007518425916065,True,100.0,0.995,120,False,1,1
2,9,8,3.6007518425916065,True,100.0,0.995,120,False,1,1
2,9,10,4.59747420064099,True,100.0,0.995,120,False,1,1
2,10,9,4.59747420064099,True,100.0,0.995,120,False,1,1
2,10,11,0.40779366528161637,True,100.0,0.995,120,False,1,1
2,11,10,0.40779366528161637,True,100.0,0.995,120,False,1,1
2,10,16,1.7482532777974522,True,100.0,0.995,120,True,1,1
2,16,10,1.7482532777974522,True,100.0,0.995,120,True,1,1
2,11,12,4.345334554481464,True,100.0,0.995,120,False,1,1
2,12,11,4.345334554481464,True,100.0,0.995,120,False,1,1
2,11,16,1.992421389756713,True,100.0,0.995,120,True,1,1
2,16,11,1.992421389756713,True,100.0,0.995,120,True,1,1
2,12,17,1.315501279856762,True,100.0,0.995,120,True,1,1
2,17,12,1.315501279856762,True,100.0,0.995,120,True,1,1
2,13,14,1.4782162148489433,True,100.0,0.995,120,False,1,1
2,14,13,1.4782162148489433,True,100.0,0.995,120,False,1,1
2,14,15,7.991080844452405,True,100.0,0.995,120,False,1,1
2,15,14,7.991080844452405,True,100.0,0.995,120,False,1,1
2,15,16,1.2938771813075103,True,100.0,0.995,120,False,1,1
2,16,15,1.2938771813075103,True,100.0,0.995,120,False,1,1
2,15,21,1.5034430714301852,True,100.0,0.995,120,True,1,1
2,21,15,1.5034430714301852,True,100.0,0.995,120,True,1,1
2,16,17,4.997356341357524,True,100.0,0.995,120,False,1,1
2,17,16,4.997356341357524,True,100.0,0.995,120,False,1,1
2,16,21,1.3662715923939468,True,100.0,0.995,120,True,1,1
2,21,16,1.3662715923939468,True,100.0,0.995,120,True,1,1
2,17,18,4.248436844589225,True,100.0,0.995,120,False,1,1
2,18,17,4.248436844589225,True,100.0,0.995,120,False,1,1
2,17,23,1.4524099226725842,True,100.0,0.995,120,True,1,1
2,23,17,1.4524099226725842,True,100.0,0.995,120,True,1,1
2,19,20,2.2366017094348276,True,100.0,0.995,120,False,1,1
2,20,19,2.2366017094348276,True,100.0,0.995,120,False,1,1
2,20,21,2.4003818687378815,True,100.0,0.995,120,False,1,1
2,21,20,2.4003818687378815,True,100.0,0.995,120,False,1,1
2,21,22,2.2758190177800404,True,100.0,0.995,120,False,1,1
2,22,21,2.2758190177800404,True,100.0,0.995,120,False,1,1
2,22,23,2.4010473226627966,True,100.0,0.995,120,False,1,1
2,23,22,2.4010473226627966,True,100.0,0.995,120,False,1,1
2,23,24,2.2967149270895653,True,100.0,0.995,120,False,1,1
2,24,23,2.2967149270895653,True,100.0,0.995,120,False,1,1
3,1,2,0.38636995173890126,True,100.0,0.995,120,False,1,1
3,2,1,0.38636995173890126,True,100.0,0.995,120,False,1,1
3,1,8,1.104270075963639,True,100.0,0.995,120,True,1,1
3,8,1,1.104270075963639,True,100.0,0.995,120,True,1,1
3,2,3,4.641794283748439,True,100.0,0.995,120,False,1,1
3,3,2,4.641794283748439,True,100.0,0.995,120,False,1,1
3,2,8,1.2767423914872154,True,100.0,0.995,120,True,1,1
3,8,2,1.2767423914872154,True,100.0,0.995,120,True,1,1
3,3,4,4.596097730194325,True,100.0,0.995,120,False,1,1
3,4,3,4.596097730194325,True,100.0,0.995,120,False,1,1
3,4,5,3.32897223838518,True,100.0,0.995,120,False,1,1
3,5,4,3.32897223838518,True,100.0,0.995,120,False,1,1
3,5,6,1.3867263793362012,True,100.0,0.995,120,False,1,1
3,6,5,1.3867263793362012,True,100.0,0.995,120,False,1,1
3,5,12,0.3266749852042217,True,100.0,0.995,120,True,1,1
3,12,5,0.3266749852042217,True,100.0,0.995,120,True,1,1
3,5,23,3.0635569799787463,True,100.0,0.995,120,True,1,1
3,23,5,3.0635569799787463,True,100.0,0.995,120,True,1,1
3,5,24,2.434708689403318,True,100.0,0.995,120,True,1,1
3,24,5,2.434708689403318,True,100.0,0.995,120,True,1,1
3,6,24,2.688728796336302,True,100.0,0.995,120,True,1,1
3,24,6,2.688728796336302,True,100.0,0.995,120,True,1,1
3,7,8,1.0880861965378223,True,100.0,0.995,120,False,1,1
3,8,7,1.0880861965378223,True,100.0,0.995,120,False,1,1
