time_slot,src,dst,delay_ms,available,capacity_mbps,reliability,t_rem,is_cross,shell_src,shell_dst
2,11,12,3.0060138879429688,True,100.0,0.995,120,False,1,1
2,12,11,3.0060138879429688,True,100.0,0.995,120,False,1,1
2,11,17,6.175349138320871,True,100.0,0.995,120,True,1,1
2,17,11,6.175349138320871,True,100.0,0.995,120,True,1,1
2,12,18,5.838002500571048,True,100.0,0.995,120,True,1,1
2,18,12,5.838002500571048,True,100.0,0.995,120,True,1,1
2,13,14,0.93504248624872,True,100.0,0.995,120,False,1,1
2,14,13,0.93504248624872,True,100.0,0.995,120,False,1,1
2,14,15,2.605210739168676,True,100.0,0.995,120,False,1,1
2,15,14,2.605210739168676,True,100.0,0.995,120,False,1,1
2,15,16,3.5209547796570493,True,100.0,0.995,120,False,1,1
2,16,15,3.5209547796570493,True,100.0,0.995,120,False,1,1
2,16,17,3.5192414293959677,True,100.0,0.995,120,False,1,1
2,17,16,3.5192414293959677,True,100.0,0.995,120,False,1,1
2,16,21,6.534189794027372,True,100.0,0.995,80,True,1,1
2,21,16,6.534189794027372,True,100.0,0.995,80,True,1,1
2,17,18,3.518630070428712,True,100.0,0.995,120,False,1,1
2,18,17,3.518630070428712,True,100.0,0.995,120,False,1,1
2,17,23,6.24415161526949,True,100.0,0.995,120,True,1,1
2,23,17,6.24415161526949,True,100.0,0.995,120,True,1,1
2,18,24,5.8120564942582975,True,100.0,0.995,120,True,1,1
2,24,18,5.8120564942582975,True,100.0,0.995,120,True,1,1
2,19,20,3.297143182887603,True,100.0,0.995,120,False,1,1
2,20,19,3.297143182887603,True,100.0,0.995,120,False,1,1
2,20,21,3.0197411741485314,True,100.0,0.995,120,False,1,1
2,21,20,3.0197411741485314,True,100.0,0.995,120,False,1,1
2,21,22,0.6003729562210253,True,100.0,0.995,120,False,1,1
2,22,21,0.6003729562210253,True,100.0,0.995,120,False,1,1
2,22,23,3.0221440334637975,True,100.0,0.995,120,False,1,1
2,23,22,3.0221440334637975,True,100.0,0.995,120,False,1,1
2,23,24,3.3247527773411214,True,100.0,0.995,120,False,1,1
2,24,23,3.3247527773411214,True,100.0,0.995,120,False,1,1
3,1,2,3.495844404398577,True,100.0,0.995,120,False,1,1
3,2,1,3.495844404398577,True,100.0,0.995,120,False,1,1
3,2,3,1.7880884377385584,True,100.0,0.995,120,False,1,1
3,3,2,1.7880884377385584,True,100.0,0.995,120,False,1,1
3,3,4,1.755692839228348,True,100.0,0.995,120,False,1,1
3,4,3,1.755692839228348,True,100.0,0.995,120,False,1,1
3,4,5,1.759261250799328,True,100.0,0.995,120,False,1,1
3,5,4,1.759261250799328,True,100.0,0.995,120,False,1,1
