scenario,variant,metric,paired_samples,full_mean,ablated_mean,ablated_minus_full,median_difference,wilcoxon_statistic,raw_p_value,benjamini_hochberg_p
medium_load,no_queue,delivery_ratio,150,0.616875,0.5830555555555554,-0.033819444444444444,-0.036458333333333315,905.5,1.1049851657748971e-18,3.928836144977412e-18
medium_load,no_queue,drop_rate,150,0.050694444444444445,0.06881944444444445,0.018125,0.015625000000000007,582.5,5.412527904847584e-20,2.361830358478946e-19
medium_load,no_queue,throughput_packets_per_slot,150,3.9479999999999995,3.731555555555555,-0.21644444444444447,-0.23333333333333317,917.0,1.3589135854286318e-18,4.659132292898166e-18
medium_load,no_queue,average_delay_slots,150,6.252200258591874,6.351838606512231,0.09963834792035776,0.10415672679328125,3814.0,0.0005239012688648525,0.0009672023425197277
medium_load,no_queue,p95_delay_slots,150,12.831999999999997,13.973999999999997,1.1420000000000001,1.0,1160.5,6.512565608294764e-15,1.7863037097037065e-14
medium_load,no_queue,mean_queue_packets,150,1.6188796296296297,1.7014259259259261,0.0825462962962963,0.08819444444444435,764.0,9.808748582607067e-20,4.094086364914254e-19
medium_load,no_queue,routing_switches,150,35.74,38.84,3.1,4.0,3535.5,0.00034790309334390584,0.0006679739392202992
medium_load,no_queue,global_control_overhead_ratio,150,0.053864682210166354,0.05572136682279223,0.0018566846126258875,0.0016983783068895489,588.0,1.7155807677472576e-21,8.668197563354565e-21
medium_load,no_lifetime,delivery_ratio,150,0.616875,0.7384722222222223,0.12159722222222222,0.109375,0.0,2.2770166942232366e-26,3.348696256155991e-25
medium_load,no_lifetime,drop_rate,150,0.050694444444444445,0.020069444444444445,-0.030625,-0.03125,16.0,6.524661731312734e-26,6.263675262060224e-25
medium_load,no_lifetime,throughput_packets_per_slot,150,3.9479999999999995,4.726222222222223,0.7782222222222224,0.7000000000000002,0.0,2.2795857908598065e-26,3.348696256155991e-25
medium_load,no_lifetime,average_delay_slots,150,6.252200258591874,5.973941249327264,-0.27825900926461067,-0.2903754509671823,1385.0,1.0101909060693023e-15,2.8523037347839124e-15
medium_load,no_lifetime,p95_delay_slots,150,12.831999999999997,11.82833333333333,-1.003666666666665,-1.0,1625.5,3.314365892161177e-10,7.954478141186824e-10
medium_load,no_lifetime,mean_queue_packets,150,1.6188796296296297,1.349425925925926,-0.2694537037037037,-0.2569444444444444,1.0,2.3437243203542864e-26,3.348696256155991e-25
medium_load,no_lifetime,routing_switches,150,35.74,12.933333333333334,-22.80666666666667,-17.5,385.0,9.466934547840212e-23,5.680160728704127e-22
medium_load,no_lifetime,global_control_overhead_ratio,150,0.053864682210166354,0.057632067090065485,0.0037673848798991444,0.002746349973765598,65.0,8.434490885958948e-26,7.361010227745991e-25
medium_load,no_credit,delivery_ratio,150,0.616875,0.5229513888888889,-0.09392361111111111,-0.11458333333333331,1253.5,2.146447087886821e-16,6.647061949584994e-16
medium_load,no_credit,drop_rate,150,0.050694444444444445,0.10475694444444446,0.05406250000000001,0.062499999999999986,294.0,2.0348329242534676e-22,1.14908212193137e-21
medium_load,no_credit,throughput_packets_per_slot,150,3.9479999999999995,3.3468888888888886,-0.601111111111111,-0.7333333333333332,1249.5,2.014761538192163e-16,6.447236922214921e-16
medium_load,no_credit,average_delay_slots,150,6.252200258591874,7.299818399382451,1.0476181407905751,1.0355255231219576,165.0,6.051612560898266e-25,4.841290048718613e-24
medium_load,no_credit,p95_delay_slots,150,12.831999999999997,15.942333333333332,3.1103333333333354,3.0,180.0,4.014477769681452e-24,2.964537429918611e-23
medium_load,no_credit,mean_queue_packets,150,1.6188796296296297,1.9745000000000001,0.35562037037037036,0.45138888888888873,654.5,8.887556206933591e-21,4.266026979328123e-20
medium_load,no_credit,routing_switches,150,35.74,93.24,57.5,73.0,309.5,2.2473054776768607e-23,1.4382755057131908e-22
medium_load,no_credit,global_control_overhead_ratio,150,0.053864682210166354,0.05251770955732316,-0.0013469726528431843,-0.0013312178493220007,3130.0,2.0183678844192275e-06,4.122623763920124e-06
medium_load,no_packet_context,delivery_ratio,150,0.616875,0.6254166666666666,0.00854166666666667,-0.01041666666666663,4823.0,0.28913158280449913,0.3750896209355664
medium_load,no_packet_context,drop_rate,150,0.050694444444444445,0.04850694444444445,-0.0021874999999999998,-0.005208333333333329,3590.0,0.20034698982068821,0.28284280915861865
medium_load,no_packet_context,throughput_packets_per_slot,150,3.9479999999999995,4.002666666666667,0.05466666666666668,-0.06666666666666665,4816.0,0.28299678997032063,0.3750896209355664
medium_load,no_packet_context,average_delay_slots,150,6.252200258591874,6.336420087649258,0.08421982905738364,0.07081367025948726,4002.0,0.0018363605444735496,0.003205283859444741
medium_load,no_packet_context,p95_delay_slots,150,12.831999999999997,12.799999999999997,-0.03199999999999884,0.0,4023.0,0.6900159164473711,0.7613968733212372
medium_load,no_packet_context,mean_queue_packets,150,1.6188796296296297,1.6063333333333332,-0.0125462962962963,-0.015972222222222165,5132.5,0.3885352653131825,0.47819724961622456
medium_load,no_packet_context,routing_switches,150,35.74,56.846666666666664,21.106666666666666,21.5,792.5,2.5637526221093355e-19,1.0255010488437342e-18
medium_load,no_packet_context,global_control_overhead_ratio,150,0.053864682210166354,0.05362692090823881,-0.00023776130192754207,-0.0009548181508373596,5070.0,0.26627924973012906,0.3651829710584627
medium_load,flat_critic,delivery_ratio,150,0.616875,0.6649652777777777,0.04809027777777777,0.02083333333333337,1693.0,3.2657530652273587e-12,8.038776775944267e-12
medium_load,flat_critic,drop_rate,150,0.050694444444444445,0.042083333333333334,-0.008611111111111111,-0.0078125,1634.0,4.823813999182529e-09,1.1025860569560067e-08
medium_load,flat_critic,throughput_packets_per_slot,150,3.9479999999999995,4.255777777777778,0.30777777777777776,0.1333333333333333,1672.5,2.4587515187964256e-12,6.211582784327812e-12
medium_load,flat_critic,average_delay_slots,150,6.252200258591874,6.320429083875876,0.06822882528400091,0.02575448177649875,4235.0,0.0073989870861892165,0.012246599315071806
medium_load,flat_critic,p95_delay_slots,150,12.831999999999997,12.883999999999999,0.0520000000000014,0.0,4110.5,0.8468948562401379,0.8649138957346089
medium_load,flat_critic,mean_queue_packets,150,1.6188796296296297,1.541064814814815,-0.07781481481481482,-0.047222222222222276,2296.0,7.354051326972274e-10,1.7219242131447274e-09
medium_load,flat_critic,routing_switches,150,35.74,27.686666666666667,-8.053333333333333,-1.0,3585.0,0.0005026043886758448,0.0009460788492721785
medium_load,flat_critic,global_control_overhead_ratio,150,0.053864682210166354,0.05526342854129394,0.0013987463311275884,0.0002166282390299694,3940.0,0.0012300343547495677,0.002186727741777009
medium_load,no_ppo_protection,delivery_ratio,150,0.616875,0.6239583333333333,0.007083333333333332,-0.010416666666666685,4965.0,0.4338673009988808,0.5079422060474703
