episode,policy,workload_seed,generated,delivered,dropped,delivery_ratio,throughput_per_slot,mean_delay_slots,p95_delay_slots
0,dijkstra,21001,192,139,5,0.724,4.6333,6.273,13.0
1,dijkstra,21002,192,131,8,0.6823,4.3667,7.061,15.0
2,dijkstra,21003,192,150,3,0.7812,5.0,5.487,12.0
3,dijkstra,21004,192,141,4,0.7344,4.7,6.241,11.0
4,dijkstra,21005,192,129,7,0.6719,4.3,6.884,14.0
