scenario,policy,metric,n,mean,ci95_low,ci95_high
low_load,dqn_routing,delivery_ratio,150,0.9109090909090907,0.9076767676767675,0.9142424242424242
low_load,dqn_routing,drop_rate,150,0.0,0.0,0.0
low_load,dqn_routing,throughput_packets_per_slot,150,2.004,1.9968888888888887,2.0113333333333334
low_load,dqn_routing,average_delay_slots,150,3.752187114778746,3.71602413970431,3.7877998906186905
low_load,dqn_routing,p95_delay_slots,150,5.910999999999999,5.840333333333333,5.980333333333333
low_load,dqn_routing,mean_queue_packets,150,0.24829629629629632,0.24524999999999997,0.25126875000000004
low_load,mappo,delivery_ratio,400,0.9128030303030301,0.9108333333333333,0.9147348484848484
low_load,mappo,drop_rate,400,0.0005681818181818182,0.00030303030303030303,0.0008712121212121213
low_load,mappo,throughput_packets_per_slot,400,2.0081666666666664,2.003833333333333,2.0124166666666663
low_load,mappo,average_delay_slots,400,3.7935226461746283,3.7709350967622726,3.816485822529245
low_load,mappo,p95_delay_slots,400,6.038625,5.985746874999999,6.090999999999999
low_load,mappo,mean_queue_packets,400,0.25214583333333335,0.25020477430555554,0.2541597222222222
low_load,global_dijkstra,delivery_ratio,50,0.9106060606060603,0.9054545454545453,0.9160606060606059
low_load,global_dijkstra,drop_rate,50,0.0,0.0,0.0
low_load,global_dijkstra,throughput_packets_per_slot,50,2.003333333333333,1.9920000000000002,2.015333333333333
low_load,global_dijkstra,average_delay_slots,50,3.790553529672692,3.7298443921378333,3.8502798959137174
low_load,global_dijkstra,p95_delay_slots,50,6.054999999999999,5.898974999999998,6.21
low_load,global_dijkstra,mean_queue_packets,50,0.2515,0.2463611111111111,0.25655625
low_load,q_routing,delivery_ratio,400,0.9121969696969695,0.9102651515151515,0.9140909090909091
low_load,q_routing,drop_rate,400,0.0007196969696969698,0.0004166666666666667,0.0010606060606060607
low_load,q_routing,throughput_packets_per_slot,400,2.0068333333333332,2.0025833333333334,2.011
low_load,q_routing,average_delay_slots,400,3.800629350236211,3.7775370557718526,3.8242484474677356
low_load,q_routing,p95_delay_slots,400,6.0855,6.026996874999999,6.143634374999999
low_load,q_routing,mean_queue_packets,400,0.2528854166666667,0.2508888020833333,0.25492369791666664
medium_load,dqn_routing,delivery_ratio,150,0.7653472222222223,0.7611458333333333,0.7696527777777779
medium_load,dqn_routing,drop_rate,150,0.009479166666666669,0.008159722222222223,0.010833333333333334
medium_load,dqn_routing,throughput_packets_per_slot,150,4.8982222222222225,4.871333333333333,4.925777777777778
medium_load,dqn_routing,average_delay_slots,150,5.879755466409071,5.811927922436033,5.948920412743634
medium_load,dqn_routing,p95_delay_slots,150,10.983333333333333,10.820658333333332,11.154333333333332
medium_load,dqn_routing,mean_queue_packets,150,1.279814814814815,1.262564351851852,1.296483564814815
medium_load,mappo,delivery_ratio,400,0.7879817708333333,0.7856770833333333,0.7902994791666665
medium_load,mappo,drop_rate,400,0.00578125,0.005208333333333332,0.006393229166666665
medium_load,mappo,throughput_packets_per_slot,400,5.043083333333334,5.028333333333333,5.057916666666667
medium_load,mappo,average_delay_slots,400,5.762723392329333,5.7233116771455785,5.8038509492632855
medium_load,mappo,p95_delay_slots,400,10.246625,10.160121875,10.333249999999998
medium_load,mappo,mean_queue_packets,400,1.2272222222222222,1.2176101562500001,1.2370315972222223
medium_load,global_dijkstra,delivery_ratio,50,0.7348958333333333,0.7277057291666665,0.7422916666666666
