group,ratio_mean,ratio_ci95_low,ratio_ci95_high,n_paired
oneweb_24,0.9351697498673357,0.9103480797465738,0.9604422906422306,20
starlink_24,0.9277395680843813,0.9089692634656725,0.9472279493470404,20
