schema_version,evaluation_role,spec_sha256,training_freeze_sha256,job_id,arm,environment_variant,selected_checkpoint_sha256,decision_forced_switch_cost,scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio,avoidable_routing_switches,forced_routing_switches,switch_opportunities,avoidable_switch_rate,decision_avoidable_switches,decision_switch_opportunities,decision_forced_switches,decision_avoidable_switch_rate
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77011,192,153,0,39,0.796875,0.0,5.1,6.483660130718954,10.400000000000006,1.3666666666666667,8,11,10.369753108005822,0.21882438147890054,0.0312037037037037,0.6975998552579459,0.0,0.3323325596545411,0.054593524078966525,0.0,0.7717391304347826,0.7941176470588235,0.875,9,2,227,0.039647577092511016,9,227,2,0.039647577092511016
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77012,192,150,0,42,0.78125,0.0,5.0,5.526666666666666,9.0,1.1708333333333334,10,10,11.16512705109324,0.20091414930182858,0.026944444444444444,0.7208930878230743,0.0,0.3361928104575165,0.05655705572233242,0.0,0.8,0.75,0.78,7,3,248,0.028225806451612902,7,248,3,0.028225806451612902
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77013,192,157,2,33,0.8177083333333334,0.010416666666666666,5.233333333333333,5.407643312101911,10.0,1.15,10,8,13.413247777702054,0.17325520624054955,0.026203703703703705,0.7035949464601094,0.0,0.3634891823862412,0.05815317483217384,0.004738562091503268,0.8282828282828283,0.7346938775510204,0.8863636363636364,6,2,193,0.031088082901554404,6,193,2,0.031088082901554404
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77014,192,145,2,45,0.7552083333333334,0.010416666666666666,4.833333333333333,6.179310344827586,11.799999999999983,1.3319444444444444,12,8,10.159660624830597,0.20178605603405703,0.03061728395061729,0.7118288548083359,0.0,0.324911444334819,0.05616530539115998,0.004044117647058824,0.7835051546391752,0.7272727272727273,0.725,6,2,229,0.026200873362445413,6,229,2,0.026200873362445413
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77015,192,154,1,37,0.8020833333333334,0.005208333333333333,5.133333333333334,5.883116883116883,10.0,1.2472222222222222,10,6,11.83076593250511,0.19256734138940348,0.028487654320987654,0.7177042415699231,0.0,0.34613133584108813,0.05647713133948218,0.002564102564102564,0.7666666666666667,0.7719298245614035,0.9111111111111111,2,4,218,0.009174311926605505,2,218,4,0.009174311926605505
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77016,192,163,0,29,0.8489583333333334,0.0,5.433333333333334,5.257668711656442,8.0,1.0916666666666666,7,4,14.578705903241564,0.17986809722897137,0.024783950617283956,0.720142418548893,0.0,0.3817802377361202,0.058941124531668714,0.0,0.8387096774193549,0.8412698412698413,0.8888888888888888,4,0,211,0.018957345971563982,4,211,0,0.018957345971563982
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77017,192,151,3,38,0.7864583333333334,0.015625,5.033333333333333,5.364238410596027,10.0,1.2,11,10,11.520919969594484,0.1848522235755531,0.02746913580246914,0.7006380061095168,0.0,0.33990609064138483,0.05673742378817282,0.0066082202111613884,0.7888888888888889,0.7068965517241379,0.8863636363636364,9,1,209,0.0430622009569378,9,209,1,0.0430622009569378
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77018,192,155,0,37,0.8072916666666666,0.0,5.166666666666667,5.47741935483871,10.0,1.1597222222222223,8,15,12.298256959969937,0.19558412511125967,0.026543209876543204,0.7124795530983743,0.0,0.3518407790466614,0.05673011105326556,0.0,0.7843137254901961,0.8620689655172413,0.78125,11,4,222,0.04954954954954955,11,222,4,0.04954954954954955
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77019,192,150,2,40,0.78125,0.010416666666666666,5.0,5.98,10.549999999999983,1.2708333333333333,10,7,11.11256623317496,0.2079389865268469,0.029104938271604933,0.7042885638232104,0.0,0.3432123105652518,0.05742842053775163,0.004305555555555555,0.7894736842105263,0.7868852459016393,0.75,6,1,222,0.02702702702702703,6,222,1,0.02702702702702703
1,selected_checkpoint_independent_validation_gate,58fd1e77faafefcb67631c3a568116ad60ce2ba3c90c12de1262d6a3709caaf6,153b5cd85305f3f4c9a03fd549eea3e06785a0d1a447b96ec9005098c7d25742,medium_load/qos_only_constrained/seed_179055553,qos_only_constrained,qos_only,67dae57acea5755e8fe2b9d294bcb4df2da3af7f305b8f894f1ec2251e1c0386,0,medium_load,qos_only_constrained,179055553,77020,192,147,2,43,0.765625,0.010416666666666666,4.9,5.73469387755102,10.0,1.2375,9,14,10.638546958420994,0.19281135581955142,0.028456790123456793,0.6973879977851966,0.0,0.32735618956207196,0.05572210273591668,0.004603174603174604,0.7474747474747475,0.7543859649122807,0.8333333333333334,11,3,202,0.054455445544554455,11,202,3,0.054455445544554455
