scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,policy_seed_mean_std,ci95_low,ci95_high,bootstrap_standard_error,ci_method,ci_resamples,confidence_level
fault_links,delay_only,delivery_ratio,50,1,50,0.178125,0.024609874119853017,0.0,0.17145833333333332,0.18479166666666666,0.0033845520003208183,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,drop_rate,50,1,50,0.24906250000000005,0.030744386148046306,0.0,0.24052083333333335,0.2572916666666667,0.004270465871068346,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,throughput_packets_per_slot,50,1,50,1.1400000000000001,0.15750319436705928,0.0,1.0966666666666667,1.182,0.022013535109489207,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,average_delay_slots,50,1,50,10.107364588410649,1.073891633343269,0.0,9.818452469059412,10.413045503403506,0.1514480960582089,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,p95_delay_slots,50,1,50,20.949999999999996,2.3668846311434057,0.0,20.297925,21.609999999999996,0.3359821654100924,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,mean_queue_packets,50,1,50,2.9856111111111114,0.10466180884298108,0.0,2.9571659722222225,3.016194444444445,0.014811111141865584,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,routing_switches,50,1,50,177.32,17.48520073942416,0.0,172.51999999999998,182.06,2.4103340631628645,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,episode_reward,50,1,50,-15.750178952950089,1.4323031241953887,0.0,-16.138500859237766,-15.355778661801907,0.20164415088955903,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,global_delay_cost,50,1,50,0.3151811341856215,0.026247387489964014,0.0,0.30770249592005317,0.322190733060282,0.0036670099606975,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,global_queue_cost,50,1,50,0.06937098765432098,0.00240374557574434,0.0,0.06870492283950619,0.07003706790123458,0.00033508245129900517,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,global_load_imbalance,50,1,50,0.6382449933757774,0.00826804387752778,0.0,0.6358867120705529,0.6404171466049133,0.001169679857449764,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,global_switch_cost,50,1,50,0.2682940300153922,0.026726838769693066,0.0,0.26104705476969947,0.27550251386246927,0.0037294988319579885,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,global_throughput_reward,50,1,50,0.05419250117563148,0.007707678711731377,0.0,0.052073672463023905,0.05629086693102232,0.0010849794603259016,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,global_control_overhead_ratio,50,1,50,0.04105256966688305,0.0006519814658422319,0.0,0.04088101908440088,0.041237964772550505,9.042943262323073e-05,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,delay_only,global_drop_cost,50,1,50,0.07056224041658825,0.00904348351781262,0.0,0.06813710249768029,0.07303456586542112,0.0012768847853986216,crossed_pigeonhole_bootstrap_percentile,5000,0.95
