group,ratio_mean,ratio_ci95_low,ratio_ci95_high,n_paired
fr0.00,1.0843979293955277,1.0717908085013144,1.098931743601377,15
fr0.04,1.0797772011449978,1.0655154762807075,1.0949544139557288,15
fr0.08,1.0715537588204582,1.0575662695021042,1.0858058535230146,15
fr0.12,1.1049928090344663,1.0846988977499166,1.1267392158664056,15
fr0.16,1.1105133724492222,1.0852062748913138,1.1366388546392985,15
fr0.20,1.1231488605871636,1.0853131030199985,1.1618555981377958,15
