scenario,reference,baseline,metric,n_paired_workloads,sigma_d_paired,observed_diff_ref_minus_base,mde_abs,mde_rel_to_baseline,alpha,power,wilcoxon_p,is_null_at_alpha,observed_below_mde
fault_links,mappo,delay_only,delivery_ratio,50,0.043859581712014685,0.5344140624999999,0.017377340886309676,0.09755700146700169,0.05,0.8,7.551804758280675e-10,False,False
fault_links,mappo,delay_only,drop_rate,50,0.02650098492141757,-0.22096354166666668,0.010499795730525036,0.04215727269470528,0.05,0.8,7.550097219539461e-10,False,False
fault_links,mappo,delay_only,throughput_packets_per_slot,50,0.2807013229568941,3.42025,0.11121498167238196,0.0975570014670017,0.05,0.8,7.555220876380673e-10,False,False
fault_links,mappo,delay_only,average_delay_slots,50,1.1761647754982865,-3.8508383180051355,0.46600116655250173,0.046105111028331765,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,delay_only,p95_delay_slots,50,2.3895694498407543,-9.198,0.9467569292850614,0.04519126154105306,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,delay_only,mean_queue_packets,50,0.16327138118652812,-1.5565555555555557,0.06468877123558367,0.02166684435050531,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,delay_only,routing_switches,50,19.260737960569276,-130.1325,7.631181060055825,0.04303621170796202,0.05,0.8,7.553512643873762e-10,False,False
fault_links,mappo,full_heuristic,delivery_ratio,50,0.029827926793585865,0.3847265624999999,0.0118179433453658,0.03605092345583466,0.05,0.8,7.541564726440781e-10,False,False
fault_links,mappo,full_heuristic,drop_rate,50,0.02435450679579967,-0.14356770833333335,0.00964935255168251,0.056209820689412694,0.05,0.8,7.548390027588035e-10,False,False
fault_links,mappo,full_heuristic,throughput_packets_per_slot,50,0.1908987314789495,2.46225,0.0756348374103411,0.036050923455834646,0.05,0.8,7.544976683806673e-10,False,False
fault_links,mappo,full_heuristic,average_delay_slots,50,0.6664141688285921,-2.45599523072979,0.2640359467912769,0.030305342346285305,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,full_heuristic,p95_delay_slots,50,2.2070460710401756,-7.241999999999998,0.8744404399495093,0.04603771927711432,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,full_heuristic,mean_queue_packets,50,0.10021043215273849,-1.069861111111111,0.0397037721726725,0.015888393839732885,0.05,0.8,7.553512643873762e-10,False,False
fault_links,mappo,full_heuristic,routing_switches,50,19.203417166414603,-95.1525,7.608470333208495,0.05345279143746308,0.05,0.8,7.553512643873762e-10,False,False
fault_links,mappo,global_dijkstra,delivery_ratio,50,0.024853825273115998,0.008476562499999996,0.009847184520261957,0.01398623633592466,0.05,0.8,0.02158604710414344,False,True
fault_links,mappo,global_dijkstra,drop_rate,50,0.011935965198776472,-0.007421875,0.004729076930741668,0.1331353036220528,0.05,0.8,2.3530028761631406e-05,False,False
fault_links,mappo,global_dijkstra,throughput_packets_per_slot,50,0.1590644817479425,0.05425000000000004,0.06302198092967656,0.01398623633592467,0.05,0.8,0.02214060915658001,False,True
fault_links,mappo,global_dijkstra,average_delay_slots,50,0.28787419075026693,-0.21278634392158743,0.11405690044845017,0.017630451216077724,0.05,0.8,3.38235121510877e-06,False,False
fault_links,mappo,global_dijkstra,p95_delay_slots,50,1.1964933084831249,-1.3160000000000003,0.47405541225223574,0.036276049299987435,0.05,0.8,4.292781005212599e-08,False,False
fault_links,mappo,global_dijkstra,mean_queue_packets,50,0.06470436063787988,-0.05330555555555552,0.025636125283136166,0.017294116184632283,0.05,0.8,4.970538117718813e-06,False,False
fault_links,mappo,global_dijkstra,routing_switches,50,7.710780040082236,2.5675,3.0550417497291416,0.06846799080522505,0.05,0.8,0.020764292464085107,False,True
fault_links,mappo,ospf_ecmp,delivery_ratio,50,0.023625492775264954,0.00712239583333333,0.009360514294425245,0.013269482756420902,0.05,0.8,0.049456296669443484,False,True
fault_links,mappo,ospf_ecmp,drop_rate,50,0.01236605687889523,-0.006796875000000001,0.004899480966668484,0.1404030366567685,0.05,0.8,0.0003112004128161943,False,False
fault_links,mappo,ospf_ecmp,throughput_packets_per_slot,50,0.15120315376169577,0.04558333333333333,0.0599072914843216,0.01326948275642091,0.05,0.8,0.05173684486441064,True,True
fault_links,mappo,ospf_ecmp,average_delay_slots,50,0.29084879046021667,-0.2150371289303829,0.11523544869588943,0.017806431241593767,0.05,0.8,1.1033688904760197e-05,False,False
fault_links,mappo,ospf_ecmp,p95_delay_slots,50,1.2339722702619815,-1.3429999999999997,0.48890472611875974,0.037335221544006106,0.05,0.8,5.338408233963986e-08,False,False
fault_links,mappo,ospf_ecmp,mean_queue_packets,50,0.06531189328409095,-0.05002777777777775,0.025876832136249625,0.017495182017859906,0.05,0.8,3.586156610779767e-06,False,False
fault_links,mappo,ospf_ecmp,routing_switches,50,7.556346585784019,2.6875,2.993854600311907,0.0672776314676833,0.05,0.8,0.008048933838731797,False,True
fault_links,mappo,q_routing,delivery_ratio,50,0.03271172588590186,0.2867708333333333,0.012960516026606804,0.030440307986280998,0.05,0.8,7.551804758280675e-10,False,False
fault_links,mappo,q_routing,drop_rate,50,0.020411469500960767,-0.11621093749999999,0.008087105477605239,0.05603985389155304,0.05,0.8,7.553512643873762e-10,False,False
fault_links,mappo,q_routing,throughput_packets_per_slot,50,0.20935504566977192,1.8353333333333333,0.08294730257028356,0.030440307986281008,0.05,0.8,7.553512643873762e-10,False,False
fault_links,mappo,q_routing,average_delay_slots,50,0.535406223993874,-1.5484431970149277,0.21213007748418056,0.02717884783145603,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,q_routing,p95_delay_slots,50,1.3860455927580735,-6.937749999999999,0.54915678191993,0.029382778363537775,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,q_routing,mean_queue_packets,50,0.11266180607267066,-0.8495625,0.044637056090660605,0.019589529707196816,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,q_routing,routing_switches,50,15.043343203719642,-94.9675,5.960232467268966,0.041927701925848306,0.05,0.8,7.550097219539461e-10,False,False
fault_links,mappo,random,delivery_ratio,50,0.04474722152792656,0.5421223958333333,0.017729027315210033,0.1040334121185919,0.05,0.8,7.548390027588035e-10,False,False
fault_links,mappo,random,drop_rate,50,0.028712080844870674,-0.22013020833333333,0.011375840738123658,0.04582797779521071,0.05,0.8,7.548390027588035e-10,False,False
fault_links,mappo,random,throughput_packets_per_slot,50,0.2863822177787301,3.469583333333333,0.11346577481734424,0.1040334121185919,0.05,0.8,7.555220876380673e-10,False,False
fault_links,mappo,random,average_delay_slots,50,0.9979781498698673,-3.2261911219848547,0.39540291608906725,0.04169721607504277,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,random,p95_delay_slots,50,2.917817155260181,-8.507,1.1560507732108387,0.05706356548747908,0.05,0.8,7.555220876380673e-10,False,False
fault_links,mappo,random,mean_queue_packets,50,0.15949899829508826,-1.5644444444444443,0.06319413811553558,0.02111045201788394,0.05,0.8,1.7763568394002505e-15,False,False
fault_links,mappo,random,routing_switches,50,18.818992963850892,-200.1125,7.456159933698519,0.03015026257055608,0.05,0.8,7.551804758280675e-10,False,False
frequent_break,mappo,delay_only,delivery_ratio,50,0.09325712456944912,0.2771484375,0.036948844025943686,0.26255285170174636,0.05,0.8,7.555220876380673e-10,False,False
frequent_break,mappo,delay_only,drop_rate,50,0.05874603610005754,-0.13647135416666667,0.023275413380208033,0.0636411188977491,0.05,0.8,9.6301008016436e-10,False,False
frequent_break,mappo,delay_only,throughput_packets_per_slot,50,0.5968455972444744,1.77375,0.2364726017660396,0.2625528517017464,0.05,0.8,7.553512643873762e-10,False,False
frequent_break,mappo,delay_only,average_delay_slots,50,1.6313667855718443,-0.5717730740897872,0.64635401517565,0.07823219388973128,0.05,0.8,0.0036632546526647047,False,True
frequent_break,mappo,delay_only,p95_delay_slots,50,4.151433020733655,-2.430625,1.644814290333487,0.0890147359202017,0.05,0.8,8.630484972549368e-05,False,False
frequent_break,mappo,delay_only,mean_queue_packets,50,0.2586881843685156,-0.6781770833333333,0.10249328852584103,0.03990049513301335,0.05,0.8,1.7763568394002505e-15,False,False
frequent_break,mappo,delay_only,routing_switches,50,21.63945105211162,-78.01,8.573636656962158,0.06742400642467881,0.05,0.8,7.553512643873762e-10,False,False
frequent_break,mappo,full_heuristic,delivery_ratio,50,0.06606603573425637,0.18725260416666664,0.026175626377366874,0.11349865095877235,0.05,0.8,1.7763568394002505e-15,False,False
