scenario,policy,delivery_ratio,drop_rate,backlog_rate,decision_switch_rate
hotspot_high_load,q_routing,0.3058,0.16533333333333333,0.5288666666666667,0.391422766770541
hotspot_high_load,q_routing_purge0,0.319,0.649,0.032,0.3827704959393463
hotspot_high_load,q_routing_purge1,0.3313333333333333,0.4650666666666667,0.2036,0.38169523124125115
hotspot_high_load,qos_only_constrained,0.28846666666666665,0.1692,0.5423333333333333,0.01843476085139284
hotspot_high_load,qos_only_constrained_purge0,0.3031333333333333,0.6648666666666667,0.032,0.0171826674914148
hotspot_high_load,qos_only_constrained_purge0_direct,0.3167333333333333,0.6512666666666667,0.032,0.01876657606070295
hotspot_high_load,qos_only_constrained_purge1,0.313,0.495,0.192,0.016262879420774156
medium_load,q_routing,0.7901041666666666,0.003993055555555555,0.20590277777777777,0.25703296706001516
medium_load,q_routing_purge0,0.7699652777777778,0.1987847222222222,0.03125,0.2485517929585376
medium_load,q_routing_purge1,0.7956597222222221,0.08524305555555556,0.11909722222222222,0.2509296886965143
medium_load,qos_only_constrained,0.7817708333333334,0.009895833333333333,0.20833333333333334,0.04829861442213296
medium_load,qos_only_constrained_purge0,0.7605902777777778,0.20815972222222223,0.03125,0.0456998703416318
medium_load,qos_only_constrained_purge0_direct,0.7607638888888889,0.20798611111111112,0.03125,0.045683977079384396
medium_load,qos_only_constrained_purge1,0.7871527777777777,0.09496527777777777,0.11788194444444444,0.045983372098020094
