name,ok,drop,dropRate,avgDelay,p95Delay,avgHop,maxQ,jain,badFirstHop,ctrlBytes,flops,maskRatio,rLocal
dijkstra_delay,514,0,0,29.2884648633317,51.552563062287,2.59727626459144,32,0.466628573721061,30,22464,3026048,0,-0.748815924766566
add_q_load,514,0,0,26.7873972260214,45.1455820733893,2.59727626459144,2,0.59539893067865,22,28080,3026048,0,-0.668133000111885
add_life_mask,514,0,0,31.1878910965731,56.0826653450628,2.82684824902724,22,0.57318761259034,0,33696,3026048,0.0597629444791017,-0.617011747373633
try_risk_prog,514,0,0,30.5562402886232,52.491982298291,2.77626459143969,22,0.577310061430452,0,39312,3026048,0.0597629444791017,-0.617821224575324
